,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,01/22/20,1,0,0,0,0,0,0
1,01/23/20,1,0,0,0,0,0,0
2,01/24/20,3,0,0,2,0,0,0
3,01/25/20,3,0,0,0,0,0,0
4,01/26/20,4,0,0,1,0,0,0
5,01/27/20,5,0,0,1,0,0,0
6,01/28/20,8,0,0,3,0,0,0
7,01/29/20,8,0,0,0,0,0,0
8,01/30/20,9,0,0,1,0,0,0
9,01/31/20,10,0,0,1,0,0,0
10,02/01/20,10,0,0,0,0,0,0
11,02/02/20,10,0,0,0,0,0,0
12,02/03/20,10,0,0,0,0,0,0
13,02/04/20,11,0,0,1,0,0,0
14,02/05/20,11,0,0,0,0,0,0
15,02/06/20,16,0,1,5,0,1,1
16,02/07/20,16,0,1,0,0,0,0
17,02/08/20,17,0,1,1,0,0,0
18,02/09/20,18,0,1,1,0,0,0
19,02/10/20,18,0,1,0,0,0,0
20,02/11/20,18,0,1,0,0,0,0
21,02/12/20,18,0,1,0,0,0,0
22,02/13/20,18,0,1,0,0,0,0
23,02/14/20,18,0,2,0,0,1,1
24,02/15/20,18,0,2,0,0,0,0
25,02/16/20,20,1,2,2,1,0,1
26,02/17/20,22,1,2,2,0,0,0
27,02/18/20,22,1,2,0,0,0,0
28,02/19/20,23,1,2,1,0,0,0
29,02/20/20,24,1,2,1,0,0,0
30,02/21/20,26,1,2,2,0,0,0
31,02/22/20,26,1,2,0,0,0,0
32,02/23/20,28,1,2,2,0,0,0
33,02/24/20,30,1,5,2,0,3,3
34,02/25/20,31,1,5,1,0,0,0
35,02/26/20,32,1,5,1,0,0,0
36,02/27/20,32,1,5,0,0,0,0
37,02/28/20,34,1,6,2,0,1,1
38,02/29/20,39,1,9,5,0,3,3
39,03/01/20,40,1,9,1,0,0,0
40,03/02/20,41,1,12,1,0,3,3
41,03/03/20,42,1,12,1,0,0,0
42,03/04/20,42,1,12,0,0,0,0
43,03/05/20,44,1,12,2,0,0,0
44,03/06/20,45,1,12,1,0,0,0
45,03/07/20,45,1,12,0,0,0,0
46,03/08/20,45,1,13,0,0,1,1
47,03/09/20,45,1,15,0,0,2,2
48,03/10/20,47,1,17,2,0,2,2
49,03/11/20,48,1,17,1,0,0,0
50,03/12/20,49,1,20,1,0,3,3
51,03/13/20,50,1,20,1,0,0,0
52,03/14/20,53,1,20,3,0,0,0
53,03/15/20,59,1,20,6,0,0,0
54,03/16/20,67,1,20,8,0,0,0
55,03/17/20,77,1,22,10,0,2,2
56,03/18/20,100,1,22,23,0,0,0
57,03/19/20,108,1,26,8,0,4,4
58,03/20/20,135,2,26,27,1,0,1
59,03/21/20,153,2,28,18,0,2,2
60,03/22/20,169,2,28,16,0,0,0
61,03/23/20,195,2,28,26,0,0,0
62,03/24/20,215,2,29,20,0,1,1
63,03/25/20,235,2,29,20,0,0,0
64,03/26/20,252,2,29,17,0,0,0
65,03/27/20,267,2,29,15,0,0,0
66,03/28/20,283,2,30,16,0,1,1
67,03/29/20,298,2,30,15,0,0,0
68,03/30/20,306,5,39,8,3,9,12
69,03/31/20,322,5,39,16,0,0,0
70,04/01/20,329,5,39,7,0,0,0
71,04/02/20,339,5,45,10,0,6,6
72,04/03/20,348,5,50,9,0,5,5
73,04/04/20,355,5,50,7,0,0,0
74,04/05/20,363,5,50,8,0,0,0
75,04/06/20,373,5,57,10,0,7,7
76,04/07/20,376,5,57,3,0,0,0
77,04/08/20,379,5,61,3,0,4,4
78,04/09/20,380,5,67,1,0,6,6
79,04/10/20,382,6,91,2,1,24,25
80,04/11/20,385,6,99,3,0,8,8
81,04/12/20,388,6,109,3,0,10,10
82,04/13/20,393,6,109,5,0,0,0
83,04/14/20,393,6,124,0,0,15,15
84,04/15/20,395,6,124,2,0,0,0
85,04/16/20,395,6,155,0,0,31,31
86,04/17/20,395,6,166,0,0,11,11
87,04/18/20,398,6,178,3,0,12,12
88,04/19/20,420,6,189,22,0,11,11
89,04/20/20,422,6,203,2,0,14,14
90,04/21/20,425,6,217,3,0,14,14
91,04/22/20,426,6,236,1,0,19,19
92,04/23/20,427,6,253,1,0,17,17
93,04/24/20,428,6,264,1,0,11,11
94,04/25/20,429,6,275,1,0,11,11
95,04/26/20,429,6,281,0,0,6,6
