,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,01/22/20,2,0,0,0,0,0,0
1,01/23/20,3,0,0,1,0,0,0
2,01/24/20,5,0,0,2,0,0,0
3,01/25/20,7,0,0,2,0,0,0
4,01/26/20,8,0,2,1,0,2,2
5,01/27/20,8,0,2,0,0,0,0
6,01/28/20,14,0,5,6,0,3,3
7,01/29/20,14,0,5,0,0,0,0
8,01/30/20,14,0,5,0,0,0,0
9,01/31/20,19,0,5,5,0,0,0
10,02/01/20,19,0,5,0,0,0,0
11,02/02/20,19,0,5,0,0,0,0
12,02/03/20,19,0,5,0,0,0,0
13,02/04/20,25,0,5,6,0,0,0
14,02/05/20,25,0,5,0,0,0,0
15,02/06/20,25,0,5,0,0,0,0
16,02/07/20,25,0,5,0,0,0,0
17,02/08/20,32,0,10,7,0,5,5
18,02/09/20,32,0,10,0,0,0,0
19,02/10/20,32,0,10,0,0,0,0
20,02/11/20,33,0,10,1,0,0,0
21,02/12/20,33,0,10,0,0,0,0
22,02/13/20,33,0,12,0,0,2,2
23,02/14/20,33,0,12,0,0,0,0
24,02/15/20,33,0,12,0,0,0,0
25,02/16/20,34,0,14,1,0,2,2
26,02/17/20,35,0,15,1,0,1,1
27,02/18/20,35,0,15,0,0,0,0
28,02/19/20,35,0,15,0,0,0,0
29,02/20/20,35,0,15,0,0,0,0
30,02/21/20,35,0,17,0,0,2,2
31,02/22/20,35,0,17,0,0,0,0
32,02/23/20,35,0,21,0,0,4,4
33,02/24/20,35,0,21,0,0,0,0
34,02/25/20,37,0,22,2,0,1,1
35,02/26/20,40,0,22,3,0,0,0
36,02/27/20,40,0,22,0,0,0,0
37,02/28/20,41,0,28,1,0,6,6
38,02/29/20,42,0,28,1,0,0,0
39,03/01/20,42,1,28,0,1,0,1
40,03/02/20,43,1,31,1,0,3,3
41,03/03/20,43,1,31,0,0,0,0
42,03/04/20,43,1,31,0,0,0,0
43,03/05/20,47,1,31,4,0,0,0
44,03/06/20,48,1,31,1,0,0,0
45,03/07/20,50,1,31,2,0,0,0
46,03/08/20,50,1,31,0,0,0,0
47,03/09/20,50,1,31,0,0,0,0
48,03/10/20,53,1,33,3,0,2,2
49,03/11/20,59,1,34,6,0,1,1
50,03/12/20,70,1,34,11,0,0,0
51,03/13/20,75,1,35,5,0,1,1
52,03/14/20,82,1,35,7,0,0,0
53,03/15/20,114,1,35,32,0,0,0
54,03/16/20,147,1,35,33,0,0,0
55,03/17/20,177,1,41,30,0,6,6
56,03/18/20,212,1,42,35,0,1,1
57,03/19/20,272,1,42,60,0,0,0
58,03/20/20,322,1,42,50,0,0,0
59,03/21/20,411,1,42,89,0,0,0
60,03/22/20,599,1,44,188,0,2,2
61,03/23/20,721,1,44,122,0,0,0
62,03/24/20,827,4,52,106,3,8,11
63,03/25/20,934,4,70,107,0,18,18
64,03/26/20,1045,4,88,111,0,18,18
65,03/27/20,1136,5,97,91,1,9,10
66,03/28/20,1245,6,97,109,1,0,1
67,03/29/20,1388,7,97,143,1,0,1
68,03/30/20,1524,9,229,136,2,132,134
69,03/31/20,1651,10,342,127,1,113,114
70,04/01/20,1771,12,505,120,2,163,165
71,04/02/20,1875,15,505,104,3,0,3
72,04/03/20,1978,19,612,103,4,107,111
73,04/04/20,2067,20,674,89,1,62,63
74,04/05/20,2169,23,793,102,3,119,122
75,04/06/20,2220,26,793,51,3,0,3
76,04/07/20,2258,27,888,38,1,95,96
77,04/08/20,2369,30,888,111,3,0,3
78,04/09/20,2423,32,940,54,2,52,54
79,04/10/20,2473,33,1013,50,1,73,74
80,04/11/20,2518,35,1135,45,2,122,124
81,04/12/20,2551,38,1218,33,3,83,86
82,04/13/20,2579,40,1288,28,2,70,72
83,04/14/20,2613,41,1405,34,1,117,118
84,04/15/20,2643,43,1497,30,2,92,94
85,04/16/20,2672,46,1593,29,3,96,99
86,04/17/20,2700,47,1689,28,1,96,97
87,04/18/20,2733,47,1787,33,0,98,98
88,04/19/20,2765,47,1928,32,0,141,141
89,04/20/20,2792,47,1999,27,0,71,71
90,04/21/20,2811,48,2108,19,1,109,110
91,04/22/20,2826,49,2352,15,1,244,245
92,04/23/20,2839,50,2430,13,1,78,79
93,04/24/20,2907,51,2547,68,1,117,118
94,04/25/20,2907,51,2547,0,0,0,0
95,04/26/20,2922,51,2594,15,0,47,47
96,04/27/20,2931,52,2609,9,1,15,16
97,04/28/20,2938,54,2652,7,2,43,45
