dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
01/22/20,0,0,0,0,0,0,0
01/23/20,0,0,0,0,0,0,0
01/24/20,0,0,0,0,0,0,0
01/25/20,0,0,0,0,0,0,0
01/26/20,0,0,0,0,0,0,0
01/27/20,0,0,0,0,0,0,0
01/28/20,0,0,0,0,0,0,0
01/29/20,0,0,0,0,0,0,0
01/30/20,0,0,0,0,0,0,0
01/31/20,0,0,0,0,0,0,0
02/01/20,0,0,0,0,0,0,0
02/02/20,0,0,0,0,0,0,0
02/03/20,0,0,0,0,0,0,0
02/04/20,0,0,0,0,0,0,0
02/05/20,0,0,0,0,0,0,0
02/06/20,0,0,0,0,0,0,0
02/07/20,0,0,0,0,0,0,0
02/08/20,0,0,0,0,0,0,0
02/09/20,0,0,0,0,0,0,0
02/10/20,0,0,0,0,0,0,0
02/11/20,0,0,0,0,0,0,0
02/12/20,0,0,0,0,0,0,0
02/13/20,0,0,0,0,0,0,0
02/14/20,0,0,0,0,0,0,0
02/15/20,0,0,0,0,0,0,0
02/16/20,0,0,0,0,0,0,0
02/17/20,0,0,0,0,0,0,0
02/18/20,0,0,0,0,0,0,0
02/19/20,0,0,0,0,0,0,0
02/20/20,0,0,0,0,0,0,0
02/21/20,0,0,0,0,0,0,0
02/22/20,0,0,0,0,0,0,0
02/23/20,0,0,0,0,0,0,0
02/24/20,0,0,0,0,0,0,0
02/25/20,0,0,0,0,0,0,0
02/26/20,0,0,0,0,0,0,0
02/27/20,0,0,0,0,0,0,0
02/28/20,0,0,0,0,0,0,0
02/29/20,0,0,0,0,0,0,0
03/01/20,0,0,0,0,0,0,0
03/02/20,0,0,0,0,0,0,0
03/03/20,0,0,0,0,0,0,0
03/04/20,1,0,0,1,0,0,0
03/05/20,1,0,0,0,0,0,0
03/06/20,1,0,0,0,0,0,0
03/07/20,1,0,0,0,0,0,0
03/08/20,2,0,0,1,0,0,0
03/09/20,2,0,0,0,0,0,0
03/10/20,5,0,0,3,0,0,0
03/11/20,7,0,0,2,0,0,0
03/12/20,7,0,0,0,0,0,0
03/13/20,16,0,0,9,0,0,0
03/14/20,18,0,0,2,0,0,0
03/15/20,18,0,0,0,0,0,0
03/16/20,20,0,0,2,0,0,0
03/17/20,24,0,0,4,0,0,0
03/18/20,29,0,0,5,0,0,0
03/19/20,39,1,0,10,1,0,1
03/20/20,54,1,0,15,0,0,0
03/21/20,60,1,0,6,0,0,0
03/22/20,75,3,1,15,2,1,3
03/23/20,89,3,1,14,0,0,0
03/24/20,114,4,1,25,1,0,1
03/25/20,173,5,2,59,1,1,2
03/26/20,197,6,2,24,1,0,1
03/27/20,227,6,2,30,0,0,0
03/28/20,278,8,2,51,2,0,2
03/29/20,312,8,2,34,0,0,0
03/30/20,312,8,3,0,0,1,1
03/31/20,394,10,3,82,2,0,2
04/01/20,423,12,5,29,2,2,4
04/02/20,455,14,5,32,2,0,2
04/03/20,495,18,5,40,4,0,4
04/04/20,553,18,5,58,0,0,0
04/05/20,574,22,5,21,4,0,4
04/06/20,596,22,5,22,0,0,0
04/07/20,623,23,25,27,1,20,21
04/08/20,628,24,25,5,1,0,1
04/09/20,643,25,25,15,1,0,1
04/10/20,671,25,25,28,0,0,0
04/11/20,685,28,43,14,3,18,21
04/12/20,707,31,43,22,3,0,3
04/13/20,726,34,43,19,3,0,3
04/14/20,747,34,43,21,0,0,0
04/15/20,780,35,43,33,1,0,1
04/16/20,822,37,43,42,2,0,2
