,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,01/22/20,0,0,0,0,0,0,0
1,01/23/20,0,0,0,0,0,0,0
2,01/24/20,0,0,0,0,0,0,0
3,01/25/20,0,0,0,0,0,0,0
4,01/26/20,0,0,0,0,0,0,0
5,01/27/20,0,0,0,0,0,0,0
6,01/28/20,0,0,0,0,0,0,0
7,01/29/20,0,0,0,0,0,0,0
8,01/30/20,0,0,0,0,0,0,0
9,01/31/20,0,0,0,0,0,0,0
10,02/01/20,0,0,0,0,0,0,0
11,02/02/20,0,0,0,0,0,0,0
12,02/03/20,0,0,0,0,0,0,0
13,02/04/20,0,0,0,0,0,0,0
14,02/05/20,0,0,0,0,0,0,0
15,02/06/20,0,0,0,0,0,0,0
16,02/07/20,0,0,0,0,0,0,0
17,02/08/20,0,0,0,0,0,0,0
18,02/09/20,0,0,0,0,0,0,0
19,02/10/20,0,0,0,0,0,0,0
20,02/11/20,0,0,0,0,0,0,0
21,02/12/20,0,0,0,0,0,0,0
22,02/13/20,0,0,0,0,0,0,0
23,02/14/20,0,0,0,0,0,0,0
24,02/15/20,0,0,0,0,0,0,0
25,02/16/20,0,0,0,0,0,0,0
26,02/17/20,0,0,0,0,0,0,0
27,02/18/20,0,0,0,0,0,0,0
28,02/19/20,0,0,0,0,0,0,0
29,02/20/20,0,0,0,0,0,0,0
30,02/21/20,0,0,0,0,0,0,0
31,02/22/20,0,0,0,0,0,0,0
32,02/23/20,0,0,0,0,0,0,0
33,02/24/20,0,0,0,0,0,0,0
34,02/25/20,0,0,0,0,0,0,0
35,02/26/20,0,0,0,0,0,0,0
36,02/27/20,0,0,0,0,0,0,0
37,02/28/20,0,0,0,0,0,0,0
38,02/29/20,0,0,0,0,0,0,0
39,03/01/20,0,0,0,0,0,0,0
40,03/02/20,0,0,0,0,0,0,0
41,03/03/20,0,0,0,0,0,0,0
42,03/04/20,0,0,0,0,0,0,0
43,03/05/20,0,0,0,0,0,0,0
44,03/06/20,0,0,0,0,0,0,0
45,03/07/20,0,0,0,0,0,0,0
46,03/08/20,0,0,0,0,0,0,0
47,03/09/20,0,0,0,0,0,0,0
48,03/10/20,0,0,0,0,0,0,0
49,03/11/20,1,0,0,1,0,0,0
50,03/12/20,1,0,0,0,0,0,0
51,03/13/20,5,0,0,4,0,0,0
52,03/14/20,5,0,0,0,0,0,0
53,03/15/20,6,0,0,1,0,0,0
54,03/16/20,18,0,0,12,0,0,0
55,03/17/20,47,1,0,29,1,0,1
56,03/18/20,98,1,0,51,0,0,0
57,03/19/20,192,3,0,94,2,0,2
58,03/20/20,359,4,0,167,1,0,1
59,03/21/20,670,9,0,311,5,0,5
60,03/22/20,1236,30,0,566,21,0,21
61,03/23/20,1529,37,0,293,7,0,7
62,03/24/20,1872,44,0,343,7,0,7
63,03/25/20,2433,59,26,561,15,26,41
64,03/26/20,3629,75,26,1196,16,0,16
65,03/27/20,5698,92,42,2069,17,16,33
66,03/28/20,7402,108,70,1704,16,28,44
67,03/29/20,9217,131,105,1815,23,35,58
68,03/30/20,10827,168,162,1610,37,57,94
69,03/31/20,13531,214,243,2704,46,81,127
70,04/01/20,15679,277,333,2148,63,90,153
71,04/02/20,18135,356,415,2456,79,82,161
72,04/03/20,20921,425,484,2786,69,69,138
73,04/04/20,23934,501,786,3013,76,302,378
74,04/05/20,27069,574,1042,3135,73,256,329
75,04/06/20,30217,649,1326,3148,75,284,359
76,04/07/20,34109,725,1582,3892,76,256,332
77,04/08/20,38226,812,1846,4117,87,264,351
78,04/09/20,42282,908,2142,4056,96,296,392
79,04/10/20,47029,1006,2423,4747,98,281,379
80,04/11/20,52167,1101,2965,5138,95,542,637
81,04/12/20,56956,1198,3446,4789,97,481,578
82,04/13/20,61049,1296,3957,4093,98,511,609
83,04/14/20,65111,1403,4799,4062,107,842,949
84,04/15/20,69392,1518,5674,4281,115,875,990
85,04/16/20,74193,1643,7089,4801,125,1415,1540
86,04/17/20,78546,1769,8631,4353,126,1542,1668
87,04/18/20,82329,1890,10453,3783,121,1822,1943
88,04/19/20,86306,2017,11976,3977,127,1523,1650
89,04/20/20,90980,2140,13430,4674,123,1454,1577
90,04/21/20,95591,2259,14918,4611,119,1488,1607
91,04/22/20,98674,2376,16477,3083,117,1559,1676
92,04/23/20,101790,2491,18491,3116,115,2014,2129
93,04/24/20,104912,2600,21737,3122,109,3246,3355
94,04/25/20,107773,2706,25582,2861,106,3845,3951
95,04/26/20,110130,2805,29140,2357,99,3558,3657
96,04/27/20,112261,2900,33791,2131,95,4651,4746
97,04/28/20,114653,2992,38809,2392,92,5018,5110
