,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,03/05/20,0,0.0,0,0,0,0,0
1,03/06/20,0,0.0,0,0,0,0,0
2,03/07/20,0,0.0,0,0,0,0,0
3,03/08/20,1,0.0,0,1,0,0,0
4,03/09/20,1,0.0,0,0,0,0,0
5,03/10/20,5,0.0,0,4,0,0,0
6,03/11/20,5,0.0,0,0,0,0,0
7,03/12/20,10,0.0,0,5,0,0,0
8,03/13/20,10,0.0,0,0,0,0,0
9,03/14/20,10,0.0,0,0,0,0,0
10,03/15/20,16,0.0,0,6,0,0,0
11,03/16/20,17,0.0,0,1,0,0,0
12,03/17/20,22,0.0,0,5,0,0,0
13,03/18/20,31,0.0,0,9,0,0,0
14,03/19/20,39,0.0,0,8,0,0,0
15,03/20/20,71,1.0,0,32,1,0,1
16,03/21/20,77,1.0,0,6,0,0,0
17,03/22/20,98,1.0,0,21,0,0,0
18,03/23/20,116,2.0,0,18,1,0,1
19,03/24/20,137,2.0,0,21,0,0,0
20,03/25/20,183,2.0,0,46,0,0,0
21,03/26/20,231,3.0,21,48,1,21,22
22,03/27/20,267,3.0,49,36,0,28,28
23,03/28/20,304,4.0,51,37,1,2,3
24,03/29/20,342,5.0,66,38,1,15,16
25,03/30/20,401,9.0,106,59,4,40,44
26,03/31/20,495,9.0,121,94,0,15,15
27,04/01/20,586,11.0,142,91,2,21,23
28,04/02/20,653,12.0,173,67,1,31,32
29,04/03/20,757,15.0,206,104,3,33,36
30,04/04/20,902,21.0,235,145,6,29,35
31,04/05/20,998,22.0,258,96,1,23,24
32,04/06/20,1097,24.0,287,99,2,29,31
33,04/07/20,1211,,318,114,0,31,29
34,04/08/20,1440,27.0,361,229,0,43,48
35,04/09/20,1523,32.0,393,83,5,32,37
36,04/10/20,1660,38.0,426,137,6,33,39
37,04/11/20,1778,47.0,447,118,9,21,30
38,04/12/20,1875,50.0,493,97,3,46,49
39,04/13/20,1955,53.0,507,80,3,14,17
40,04/14/20,2058,67.0,518,103,14,11,25
41,04/15/20,2197,72.0,530,139,5,12,17
42,04/16/20,2350,81.0,552,153,9,22,31
43,04/17/20,2476,86.0,573,126,5,21,26
44,04/18/20,2666,91.0,608,190,5,35,40
45,04/19/20,2793,96.0,622,127,5,14,19
46,04/20/20,2927,105.0,630,134,9,8,17
47,04/21/20,3098,112.0,636,171,7,6,13
48,04/22/20,3206,127.0,645,108,15,9,24
49,04/23/20,3361,139.0,648,155,12,3,15
50,04/24/20,3528,153.0,651,167,14,3,17
51,04/25/20,3699,165.0,652,171,12,1,13
52,04/26/20,3841,178.0,657,142,13,5,18
53,04/27/20,3892,185.0,659,51,7,2,9
54,04/28/20,3994,190.0,660,102,5,1,6
55,04/29/20,4106,205.0,660,112,15,0,15
