,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,03/06/20,0,0,0,0,0,0,0
1,03/07/20,0,0,0,0,0,0,0
2,03/08/20,0,0,0,0,0,0,0
3,03/09/20,0,0,0,0,0,0,0
4,03/10/20,0,0,0,0,0,0,0
5,03/11/20,1,0,0,1,0,0,0
6,03/12/20,4,0,0,3,0,0,0
7,03/13/20,4,0,0,0,0,0,0
8,03/14/20,6,0,0,2,0,0,0
9,03/15/20,6,0,0,0,0,0,0
10,03/16/20,8,0,0,2,0,0,0
11,03/17/20,16,0,0,8,0,0,0
12,03/18/20,25,0,0,9,0,0,0
13,03/19/20,30,0,0,5,0,0,0
14,03/20/20,38,0,0,8,0,0,0
15,03/21/20,45,0,0,7,0,0,0
16,03/22/20,56,0,0,11,0,0,0
17,03/23/20,68,0,0,12,0,0,0
18,03/24/20,91,0,0,23,0,0,0
19,03/25/20,115,0,0,24,0,0,0
20,03/26/20,130,1,4,15,1,4,5
21,03/27/20,163,2,9,33,1,5,6
22,03/28/20,214,3,9,51,1,0,1
23,03/29/20,232,6,9,18,3,0,3
24,03/30/20,264,6,9,32,0,0,0
25,03/31/20,319,10,22,55,4,13,17
26,04/01/20,368,11,49,49,1,27,28
27,04/02/20,393,12,49,25,1,0,1
28,04/03/20,450,14,71,57,2,22,24
29,04/04/20,593,14,71,143,0,0,0
30,04/05/20,673,14,71,80,0,0,0
31,04/06/20,673,14,71,0,0,0,0
32,04/07/20,928,16,144,255,2,73,75
33,04/08/20,928,16,144,0,0,0,0
34,04/09/20,1207,23,173,279,7,29,36
35,04/10/20,1326,23,177,119,0,4,4
36,04/11/20,1479,33,191,153,10,14,24
37,04/12/20,1479,33,191,0,0,0,0
38,04/13/20,1625,35,213,146,2,22,24
39,04/14/20,1761,41,277,136,6,64,70
40,04/15/20,2014,46,354,253,5,77,82
41,04/16/20,2075,52,378,61,6,24,30
42,04/17/20,2323,61,423,248,9,45,54
43,04/18/20,2323,61,423,0,0,0,0
44,04/19/20,2538,67,466,215,6,43,49
45,04/20/20,2745,72,495,207,5,29,34
46,04/21/20,2931,82,565,186,10,70,80
47,04/22/20,3200,89,599,269,7,34,41
48,04/23/20,3308,92,643,108,3,44,47
49,04/24/20,3442,100,703,134,8,60,68
50,04/25/20,3576,112,809,134,12,106,118
51,04/26/20,4034,120,911,458,8,102,110
