,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,03/07/20,1,0,0,0,0,0,0
1,03/08/20,1,0,0,0,0,0,0
2,03/09/20,2,0,0,1,0,0,0
3,03/10/20,2,0,0,0,0,0,0
4,03/11/20,2,0,0,0,0,0,0
5,03/12/20,2,0,0,0,0,0,0
6,03/13/20,2,0,0,0,0,0,0
7,03/14/20,2,0,0,0,0,0,0
8,03/15/20,2,0,0,0,0,0,0
9,03/16/20,7,0,0,5,0,0,0
10,03/17/20,10,0,0,3,0,0,0
11,03/18/20,14,0,0,4,0,0,0
12,03/19/20,16,0,0,2,0,0,0
13,03/20/20,26,0,0,10,0,0,0
14,03/21/20,37,0,0,11,0,0,0
15,03/22/20,48,0,0,11,0,0,0
16,03/23/20,56,0,0,8,0,0,0
17,03/24/20,77,0,0,21,0,0,0
18,03/25/20,90,0,0,13,0,0,0
19,03/26/20,95,0,0,5,0,0,0
20,03/27/20,106,0,0,11,0,0,0
21,03/28/20,120,0,0,14,0,0,0
22,03/29/20,151,0,0,31,0,0,0
23,03/30/20,175,0,0,24,0,0,0
24,03/31/20,204,0,49,29,0,49,49
25,04/01/20,208,1,58,4,1,9,10
26,04/02/20,258,1,69,50,0,11,11
27,04/03/20,285,2,72,27,1,3,4
28,04/04/20,319,3,78,34,1,6,7
29,04/05/20,351,4,82,32,1,4,5
30,04/06/20,371,4,85,20,0,3,3
31,04/07/20,387,5,89,16,1,4,5
32,04/08/20,410,5,113,23,0,24,24
33,04/09/20,435,5,113,25,0,0,0
34,04/10/20,442,6,251,7,1,138,139
35,04/11/20,465,8,284,23,2,33,35
36,04/12/20,486,8,300,21,0,16,16
37,04/13/20,499,9,310,13,1,10,11
38,04/14/20,504,9,315,5,0,5,5
39,04/15/20,517,9,333,13,0,18,18
