,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,03/07/20,0,0,0,0,0,0,0
1,03/08/20,0,0,0,0,0,0,0
2,03/09/20,0,0,0,0,0,0,0
3,03/10/20,0,0,0,0,0,0,0
4,03/11/20,0,0,0,0,0,0,0
5,03/12/20,1,0,0,1,0,0,0
6,03/13/20,3,0,0,2,0,0,0
7,03/14/20,3,0,0,0,0,0,0
8,03/15/20,3,0,0,0,0,0,0
9,03/16/20,17,0,0,14,0,0,0
10,03/17/20,32,0,0,15,0,0,0
11,03/18/20,43,0,0,11,0,0,0
12,03/19/20,53,0,0,10,0,0,0
13,03/20/20,57,0,0,4,0,0,0
14,03/21/20,73,0,0,16,0,0,0
15,03/22/20,89,0,0,16,0,0,0
16,03/23/20,107,0,0,18,0,0,0
17,03/24/20,125,0,0,18,0,0,0
18,03/25/20,149,0,7,24,0,7,7
19,03/26/20,155,0,16,6,0,9,9
20,03/27/20,168,1,24,13,1,8,9
21,03/28/20,211,1,36,43,0,12,12
22,03/29/20,253,3,41,42,2,5,7
23,03/30/20,275,3,41,22,0,0,0
24,03/31/20,303,5,68,28,2,27,29
25,04/01/20,344,7,80,41,2,12,14
26,04/02/20,376,7,94,32,0,14,14
27,04/03/20,432,9,113,56,2,19,21
28,04/04/20,456,10,140,24,1,27,28
29,04/05/20,470,10,156,14,0,16,16
30,04/06/20,499,10,158,29,0,2,2
31,04/07/20,519,12,176,20,2,18,20
32,04/08/20,537,14,187,18,2,11,13
33,04/09/20,560,16,202,23,2,15,17
34,04/10/20,586,17,246,26,1,44,45
35,04/11/20,616,19,256,30,2,10,12
36,04/12/20,633,19,266,17,0,10,10
37,04/13/20,698,19,273,65,0,7,7
38,04/14/20,734,20,292,36,1,19,20
39,04/15/20,770,24,305,36,4,13,17
40,04/16/20,796,27,333,26,3,28,31
41,04/17/20,827,29,352,31,2,19,21
42,04/18/20,847,32,382,20,3,30,33
43,04/19/20,867,34,393,20,2,11,13
44,04/20/20,875,35,414,8,1,21,22
45,04/21/20,888,36,443,13,1,29,30
46,04/22/20,907,39,455,19,3,12,15
47,04/23/20,937,44,485,30,5,30,35
48,04/24/20,965,47,499,28,3,14,17
49,04/25/20,990,50,519,25,3,20,23
50,04/26/20,1015,50,532,25,0,13,13
