,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,03/01/20,88.0,0,0.0,0,0,0,0
1,03/02/20,122.0,0,0.0,34,0,0,0
2,03/03/20,164.0,0,0.0,42,0,0,0
3,03/04/20,218.0,0,0.0,54,0,0,0
4,03/05/20,332.0,0,0.0,114,0,0,0
5,03/06/20,471.0,0,0.0,139,0,0,0
6,03/07/20,642.0,0,0.0,171,0,0,0
7,03/08/20,886.0,0,0.0,244,0,0,0
8,03/09/20,1195.0,0,0.0,309,0,0,0
9,03/10/20,1509.0,0,0.0,314,0,0,0
10,03/11/20,1908.0,0,0.0,399,0,0,0
11,03/12/20,2492.0,0,0.0,584,0,0,0
12,03/13/20,3112.0,0,0.0,620,0,0,0
13,03/14/20,3800.0,0,0.0,688,0,0,0
14,03/15/20,4424.0,0,0.0,624,0,0,0
15,03/16/20,5243.0,0,0.0,819,0,0,0
16,03/17/20,5909.0,0,0.0,666,0,0,0
17,03/18/20,6610.0,0,0.0,701,0,0,0
18,03/19/20,7584.0,3,0.0,974,3,0,3
19,03/20/20,8459.0,3,0.0,875,0,0,0
20,03/21/20,9358.0,5,0.0,899,2,0,2
21,03/22/20,10362.0,8,0.0,1004,3,0,3
22,03/23/20,11587.0,15,0.0,1225,7,0,7
23,03/24/20,12527.0,24,0.0,940,9,0,9
24,03/25/20,13449.0,43,0.0,922,19,0,19
25,03/26/20,14790.0,60,0.0,1341,17,0,17
26,03/27/20,15986.0,92,0.0,1196,32,0,32
27,03/28/20,17326.0,92,0.0,1340,0,0,0
28,03/29/20,18507.0,132,0.0,1181,40,0,40
29,03/30/20,19792.0,184,0.0,1285,52,0,52
30,03/31/20,20892.0,259,0.0,1100,75,0,75
31,04/01/20,21978.0,337,0.0,1086,78,0,78
32,04/02/20,23312.0,417,0.0,1334,80,0,80
33,04/03/20,24223.0,479,56.0,911,62,56,118
34,04/04/20,25193.0,540,56.0,970,61,0,61
35,04/05/20,26140.0,617,56.0,947,77,0,77
36,04/06/20,27184.0,727,56.0,1044,110,0,110
37,04/07/20,27852.0,845,56.0,668,118,0,118
38,04/08/20,28590.0,959,56.0,738,114,0,114
39,04/09/20,29501.0,1076,56.0,911,117,0,117
40,04/10/20,30167.0,1281,56.0,666,205,0,205
41,04/11/20,31136.0,1392,595.0,969,111,539,650
42,04/12/20,31865.0,1487,,729,95,0,-67
43,04/13/20,32565.0,1602,595.0,700,115,0,129
44,04/14/20,32984.0,1768,595.0,419,166,0,171
45,04/15/20,33465.0,1921,595.0,481,153,0,153
46,04/16/20,34057.0,2093,617.0,592,172,22,337
47,04/17/20,34765.0,2227,629.0,708,134,12,146
48,04/18/20,35575.0,2308,3237.0,810,81,2608,2689
49,04/19/20,36481.0,2391,3237.0,906,83,0,83
50,04/20/20,37207.0,2468,3237.0,726,77,0,77
51,04/21/20,37565.0,2700,3237.0,358,232,0,232
52,04/22/20,37779.0,2813,3237.0,214,113,0,113
53,04/23/20,,2977,3237.0,0,164,0,164
54,04/24/20,37779.0,3085,3237.0,0,108,0,108
55,04/25/20,37779.0,3274,8342.0,0,189,5105,5294
56,04/26/20,37779.0,3315,8342.0,0,41,0,41
