,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,03/06/20,0,0,0.0,0,0,0,0
1,03/07/20,1,0,0.0,1,0,0,0
2,03/08/20,1,0,0.0,0,0,0,0
3,03/09/20,2,0,0.0,1,0,0,0
4,03/10/20,3,0,0.0,1,0,0,0
5,03/11/20,5,0,0.0,2,0,0,0
6,03/12/20,9,0,0.0,4,0,0,0
7,03/13/20,14,0,0.0,5,0,0,0
8,03/14/20,21,0,0.0,7,0,0,0
9,03/15/20,35,0,0.0,14,0,0,0
10,03/16/20,54,0,0.0,19,0,0,0
11,03/17/20,60,0,0.0,6,0,0,0
12,03/18/20,77,0,0.0,17,0,0,0
13,03/19/20,89,0,0.0,12,0,0,0
14,03/20/20,115,0,0.0,26,0,0,0
15,03/21/20,138,1,0.0,23,1,0,1
16,03/22/20,169,1,0.0,31,0,0,0
17,03/23/20,235,1,0.0,66,0,0,0
18,03/24/20,262,1,0.0,27,0,0,0
19,03/25/20,287,1,122.0,25,0,122,122
20,03/26/20,346,2,,59,1,0,-121
21,03/27/20,398,4,180.0,52,2,0,182
22,03/28/20,441,5,220.0,43,1,40,41
23,03/29/20,503,9,252.0,62,4,32,36
24,03/30/20,576,10,,73,1,0,-251
25,03/31/20,629,12,,53,2,0,2
26,04/01/20,689,17,,60,5,0,5
27,04/02/20,742,18,,53,1,0,1
28,04/03/20,789,22,,47,4,0,4
29,04/04/20,865,24,440.0,76,2,0,442
30,04/05/20,935,29,451.0,70,5,11,16
31,04/06/20,986,30,470.0,51,1,19,20
32,04/07/20,1069,34,549.0,83,4,79,83
33,04/08/20,1154,39,632.0,85,5,83,88
34,04/09/20,1242,50,675.0,88,11,43,54
35,04/10/20,1336,57,732.0,94,7,57,64
36,04/11/20,1427,64,793.0,91,7,61,68
37,04/12/20,1621,70,842.0,194,6,49,55
38,04/13/20,1650,70,842.0,29,0,0,0
39,04/14/20,1695,79,909.0,45,9,67,76
40,04/15/20,1809,87,940.0,114,8,31,39
41,04/16/20,1912,94,1020.0,103,7,80,87
42,04/17/20,2071,111,1066.0,159,17,46,63
43,04/18/20,2213,121,1118.0,142,10,52,62
44,04/19/20,2356,134,1160.0,143,13,42,55
45,04/20/20,2470,143,1202.0,114,9,42,51
46,04/21/20,2567,160,1254.0,97,17,52,69
47,04/22/20,2721,179,1317.0,154,19,63,82
48,04/23/20,2942,200,1536.0,221,21,219,240
49,04/24/20,3185,221,1594.0,243,21,58,79
50,04/25/20,3446,244,1654.0,261,23,60,83
51,04/26/20,3602,272,1774.0,156,28,120,148
52,04/27/20,3816,286,1842.0,214,14,68,82
53,04/28/20,4181,301,1912.0,365,15,70,85
54,04/29/20,4644,319,2043.0,463,18,131,149
