,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,03/07/20,0,0,0,0,0,0,0
1,03/08/20,0,0,0,0,0,0,0
2,03/09/20,0,0,0,0,0,0,0
3,03/10/20,0,0,0,0,0,0,0
4,03/11/20,0,0,0,0,0,0,0
5,03/12/20,1,0,0,1,0,0,0
6,03/13/20,4,0,0,3,0,0,0
7,03/14/20,6,0,0,2,0,0,0
8,03/15/20,10,0,0,4,0,0,0
9,03/16/20,12,0,0,2,0,0,0
10,03/17/20,21,0,0,9,0,0,0
11,03/18/20,34,0,0,13,0,0,0
12,03/19/20,50,0,0,16,0,0,0
13,03/20/20,80,1,0,30,1,0,1
14,03/21/20,140,1,0,60,0,0,0
15,03/22/20,207,1,0,67,0,0,0
16,03/23/20,249,1,0,42,0,0,0
17,03/24/20,320,1,0,71,0,0,0
18,03/25/20,377,2,0,57,1,0,1
19,03/26/20,485,6,0,108,4,0,4
20,03/27/20,579,8,0,94,2,0,2
21,03/28/20,663,13,0,84,5,0,5
22,03/29/20,758,14,0,95,1,0,1
23,03/30/20,847,16,0,89,2,0,2
24,03/31/20,937,20,0,90,4,0,4
25,04/01/20,1073,22,0,136,2,0,2
26,04/02/20,1177,26,0,104,4,0,4
27,04/03/20,1358,29,0,181,3,0,3
28,04/04/20,1455,35,0,97,6,0,6
29,04/05/20,1638,43,0,183,8,0,8
30,04/06/20,1738,51,0,100,8,0,8
31,04/07/20,1915,59,0,177,8,0,8
32,04/08/20,2003,67,0,88,8,0,8
33,04/09/20,2260,76,0,257,9,0,9
34,04/10/20,2469,82,0,209,6,0,6
35,04/11/20,2642,93,0,173,11,0,11
36,04/12/20,2781,96,0,139,3,0,3
37,04/13/20,2942,98,0,161,2,0,2
38,04/14/20,3087,111,0,145,13,0,13
39,04/15/20,3360,122,0,273,11,0,11
40,04/16/20,3624,129,0,264,7,0,7
41,04/17/20,3793,140,0,169,11,0,11
42,04/18/20,3974,152,0,181,12,0,12
43,04/19/20,4274,159,0,300,7,0,7
44,04/20/20,4512,169,0,238,10,0,10
45,04/21/20,4716,183,0,204,14,0,14
46,04/22/20,4894,193,0,178,10,0,10
47,04/23/20,5153,201,0,259,8,0,8
48,04/24/20,5434,209,0,281,8,0,8
49,04/25/20,5718,221,0,284,12,0,12
50,04/26/20,5911,227,0,193,6,0,6
51,04/27/20,6094,229,0,183,2,0,2
52,04/28/20,6342,239,0,248,10,0,10
53,04/29/20,6569,250,3413,227,11,3413,3424
