,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,03/04/20,2,0,0,0,0,0,0
1,03/05/20,2,0,0,0,0,0,0
2,03/06/20,2,0,0,0,0,0,0
3,03/07/20,2,0,0,0,0,0,0
4,03/08/20,4,0,0,2,0,0,0
5,03/09/20,4,0,0,0,0,0,0
6,03/10/20,4,0,0,0,0,0,0
7,03/11/20,4,0,0,0,0,0,0
8,03/12/20,6,0,0,2,0,0,0
9,03/13/20,6,0,0,0,0,0,0
10,03/14/20,7,0,0,1,0,0,0
11,03/15/20,13,0,0,6,0,0,0
12,03/16/20,13,0,0,0,0,0,0
13,03/17/20,17,0,0,4,0,0,0
14,03/18/20,26,0,0,9,0,0,0
15,03/19/20,39,0,0,13,0,0,0
16,03/20/20,44,0,0,5,0,0,0
17,03/21/20,55,0,0,11,0,0,0
18,03/22/20,65,0,0,10,0,0,0
19,03/23/20,78,0,0,13,0,0,0
20,03/24/20,101,1,0,23,1,0,1
21,03/25/20,108,1,0,7,0,0,0
22,03/26/20,137,1,0,29,0,0,0
23,03/27/20,158,1,0,21,0,0,0
24,03/28/20,187,2,0,29,1,0,1
25,03/29/20,214,2,0,27,0,0,0
26,03/30/20,314,3,0,100,1,0,1
27,03/31/20,314,3,0,0,0,0,0
28,04/01/20,415,4,56,101,1,56,57
29,04/02/20,415,4,91,0,0,35,35
30,04/03/20,479,5,101,64,1,10,11
31,04/04/20,540,7,144,61,2,43,45
32,04/05/20,621,9,146,81,2,2,4
33,04/06/20,669,9,147,48,0,1,1
34,04/07/20,715,9,151,46,0,4,4
35,04/08/20,788,18,211,73,9,60,69
36,04/09/20,788,18,227,0,0,16,16
37,04/10/20,819,21,234,31,3,7,10
38,04/11/20,885,22,234,66,1,0,1
39,04/12/20,929,23,236,44,1,2,3
40,04/13/20,985,23,239,56,0,3,3
41,04/14/20,1020,23,249,35,0,10,10
42,04/15/20,1139,32,365,119,9,116,125
