,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,03/06/20,0,0,0,0,0,0,0
1,03/07/20,0,0,0,0,0,0,0
2,03/08/20,0,0,0,0,0,0,0
3,03/09/20,0,0,0,0,0,0,0
4,03/10/20,0,0,0,0,0,0,0
5,03/11/20,3,0,0,3,0,0,0
6,03/12/20,5,0,0,2,0,0,0
7,03/13/20,10,0,0,5,0,0,0
8,03/14/20,10,0,0,0,0,0,0
9,03/15/20,13,0,0,3,0,0,0
10,03/16/20,17,0,0,4,0,0,0
11,03/17/20,23,0,0,6,0,0,0
12,03/18/20,28,0,0,5,0,0,0
13,03/19/20,35,0,0,7,0,0,0
14,03/20/20,43,0,0,8,0,0,0
15,03/21/20,57,0,0,14,0,0,0
16,03/22/20,57,0,0,0,0,0,0
17,03/23/20,65,0,0,8,0,0,0
18,03/24/20,83,0,0,18,0,0,0
19,03/25/20,100,1,0,17,1,0,1
20,03/26/20,112,1,0,12,0,0,0
21,03/27/20,136,1,0,24,0,0,0
22,03/28/20,191,1,0,55,0,0,0
23,03/29/20,237,2,2,46,1,2,3
24,03/30/20,237,2,26,0,0,24,24
25,03/31/20,281,4,26,44,2,0,2
26,04/01/20,315,5,26,34,1,0,1
27,04/02/20,363,6,26,48,1,0,1
28,04/03/20,403,7,26,40,1,0,1
29,04/04/20,495,10,26,92,3,0,3
30,04/05/20,543,11,54,48,1,28,29
31,04/06/20,624,12,130,81,1,76,77
32,04/07/20,686,12,133,62,0,3,3
33,04/08/20,794,13,171,108,1,38,39
34,04/09/20,865,16,201,71,3,30,33
35,04/10/20,1091,19,217,226,3,16,19
36,04/11/20,1091,19,235,0,0,18,18
37,04/12/20,1174,20,235,83,1,0,1
38,04/13/20,1245,26,295,71,6,60,66
39,04/14/20,1345,31,304,100,5,9,14
40,04/15/20,1407,36,340,62,5,36,41
41,04/16/20,1484,36,353,77,0,13,13
42,04/17/20,1597,44,353,113,8,0,8
43,04/18/20,1711,51,382,114,7,29,36
44,04/19/20,1798,53,465,87,2,83,85
45,04/20/20,1845,55,487,47,2,22,24
46,04/21/20,1971,58,501,126,3,14,17
47,04/22/20,2072,65,529,101,7,28,35
48,04/23/20,2210,71,547,138,6,18,24
49,04/24/20,2379,78,573,169,7,26,33
50,04/25/20,2521,84,614,142,6,41,47
51,04/26/20,2660,93,614,139,9,0,9
52,04/27/20,2726,99,650,66,6,36,42
53,04/28/20,2823,104,666,97,5,16,21
54,04/29/20,2974,110,705,151,6,39,45
