,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,03/04/20,0,0,0.0,0,0,0,0
1,03/05/20,0,0,0.0,0,0,0,0
2,03/06/20,0,0,0.0,0,0,0,0
3,03/07/20,2,0,0.0,2,0,0,0
4,03/08/20,2,0,0.0,0,0,0,0
5,03/09/20,7,0,0.0,5,0,0,0
6,03/10/20,7,0,0.0,0,0,0,0
7,03/11/20,9,0,0.0,2,0,0,0
8,03/12/20,10,0,0.0,1,0,0,0
9,03/13/20,12,0,0.0,2,0,0,0
10,03/14/20,13,0,0.0,1,0,0,0
11,03/15/20,19,0,0.0,6,0,0,0
12,03/16/20,28,1,0.0,9,1,0,1
13,03/17/20,33,1,0.0,5,0,0,0
14,03/18/20,60,1,0.0,27,0,0,0
15,03/19/20,60,1,0.0,0,0,0,0
16,03/20/20,81,1,0.0,21,0,0,0
17,03/21/20,152,1,0.0,71,0,0,0
18,03/22/20,195,3,0.0,43,2,0,2
19,03/23/20,298,5,0.0,103,2,0,2
20,03/24/20,298,5,0.0,0,0,0,0
21,03/25/20,424,7,0.0,126,2,0,2
22,03/26/20,456,9,0.0,32,2,0,2
23,03/27/20,456,9,0.0,0,0,0,0
24,03/28/20,539,13,0.0,83,4,0,4
25,03/29/20,774,16,0.0,235,3,0,3
26,03/30/20,925,18,0.0,151,2,0,2
27,03/31/20,1083,22,0.0,158,4,0,4
28,04/01/20,1293,26,0.0,210,4,0,4
29,04/02/20,1554,31,0.0,261,5,0,5
30,04/03/20,1554,31,0.0,0,0,0,0
31,04/04/20,1917,40,0.0,363,9,0,9
32,04/05/20,2049,44,0.0,132,4,0,4
33,04/06/20,2049,44,0.0,0,0,0,0
34,04/07/20,2417,51,0.0,368,7,0,7
35,04/08/20,2552,63,0.0,135,12,0,12
36,04/09/20,2792,67,0.0,240,4,0,4
37,04/10/20,3065,72,0.0,273,5,0,5
38,04/11/20,3207,80,0.0,142,8,0,8
39,04/12/20,3319,82,0.0,112,2,0,2
40,04/13/20,3319,82,0.0,0,0,0,0
41,04/14/20,3553,97,0.0,234,15,0,15
42,04/15/20,3656,107,0.0,103,10,0,10
43,04/16/20,3656,107,0.0,0,0,0,0
44,04/17/20,3931,109,0.0,275,2,0,2
45,04/18/20,4246,119,2633.0,315,10,2633,2643
46,04/19/20,4377,120,2633.0,131,1,0,1
47,04/20/20,4377,120,,0,0,0,-570
48,04/21/20,4439,124,2633.0,62,4,0,4
49,04/22/20,4761,140,3317.0,322,16,684,1270
50,04/23/20,4917,150,3317.0,156,10,0,10
51,04/24/20,4917,150,3317.0,0,0,0,0
52,04/25/20,5253,166,3701.0,336,16,384,400
53,04/26/20,5490,174,3701.0,237,8,0,8
