,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,03/07/20,1,0,0,0,0,0,0
1,03/08/20,1,0,0,0,0,0,0
2,03/09/20,1,0,0,0,0,0,0
3,03/10/20,2,0,0,1,0,0,0
4,03/11/20,2,0,0,0,0,0,0
5,03/12/20,4,0,0,2,0,0,0
6,03/13/20,6,0,0,2,0,0,0
7,03/14/20,6,0,0,0,0,0,0
8,03/15/20,28,0,0,22,0,0,0
9,03/16/20,39,0,0,11,0,0,0
10,03/17/20,51,0,0,12,0,0,0
11,03/18/20,63,0,0,12,0,0,0
12,03/19/20,78,0,0,15,0,0,0
13,03/20/20,112,0,0,34,0,0,0
14,03/21/20,136,0,0,24,0,0,0
15,03/22/20,181,1,0,45,1,0,1
16,03/23/20,257,1,0,76,0,0,0
17,03/24/20,299,1,0,42,0,0,0
18,03/25/20,346,1,0,47,0,0,0
19,03/26/20,402,1,0,56,0,0,0
20,03/27/20,480,2,0,78,1,0,1
21,03/28/20,602,2,0,122,0,0,0
22,03/29/20,719,2,0,117,0,0,0
23,03/30/20,806,4,0,87,2,0,2
24,03/31/20,887,5,0,81,1,0,1
25,04/01/20,1012,7,0,125,2,0,2
26,04/02/20,1074,7,0,62,0,0,0
27,04/03/20,1246,7,0,172,0,0,0
28,04/04/20,1428,8,0,182,1,0,1
29,04/05/20,1605,8,0,177,0,0,0
30,04/06/20,1675,13,0,70,5,0,5
31,04/07/20,1738,13,0,63,0,0,0
32,04/08/20,1846,13,0,108,0,0,0
33,04/09/20,1976,13,0,130,0,0,0
34,04/10/20,2102,17,0,126,4,0,4
35,04/11/20,2206,18,0,104,1,0,1
36,04/12/20,2303,18,0,97,0,0,0
37,04/13/20,2363,18,218,60,0,218,218
38,04/14/20,2412,19,218,49,1,0,1
39,04/15/20,2542,20,218,130,1,0,1
40,04/16/20,2683,21,357,141,1,139,140
41,04/17/20,2805,23,443,122,2,86,88
42,04/18/20,2931,25,565,126,2,122,124
43,04/19/20,3069,27,679,138,2,114,116
44,04/20/20,3213,28,776,144,1,97,98
45,04/21/20,3296,32,888,83,4,112,116
46,04/22/20,3445,34,970,149,2,82,84
47,04/23/20,3612,35,1050,167,1,80,81
48,04/24/20,3782,39,1252,170,4,202,206
49,04/25/20,3948,41,1399,166,2,147,149
50,04/26/20,4123,41,1568,175,0,169,169
51,04/27/20,4233,41,1641,110,0,73,73
52,04/28/20,4343,45,1704,110,4,63,67
53,04/29/20,4495,45,1790,152,0,86,86
