,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,03/06/20,0,0,0,0,0,0,0
1,03/07/20,0,0,0,0,0,0,0
2,03/08/20,0,0,0,0,0,0,0
3,03/09/20,0,0,0,0,0,0,0
4,03/10/20,0,0,0,0,0,0,0
5,03/11/20,0,0,0,0,0,0,0
6,03/12/20,0,0,0,0,0,0,0
7,03/13/20,0,0,0,0,0,0,0
8,03/14/20,0,0,0,0,0,0,0
9,03/15/20,0,0,0,0,0,0,0
10,03/16/20,0,0,0,0,0,0,0
11,03/17/20,0,0,0,0,0,0,0
12,03/18/20,1,0,0,1,0,0,0
13,03/19/20,2,0,0,1,0,0,0
14,03/20/20,7,0,0,5,0,0,0
15,03/21/20,11,0,0,4,0,0,0
16,03/22/20,12,0,0,1,0,0,0
17,03/23/20,16,0,0,4,0,0,0
18,03/24/20,20,0,0,4,0,0,0
19,03/25/20,39,0,0,19,0,0,0
20,03/26/20,51,0,0,12,0,0,0
21,03/27/20,76,0,0,25,0,0,0
22,03/28/20,96,0,0,20,0,0,0
23,03/29/20,113,0,0,17,0,0,0
24,03/30/20,126,1,0,13,1,0,1
25,03/31/20,162,1,0,36,0,0,0
26,04/01/20,191,1,0,29,0,0,0
27,04/02/20,217,2,0,26,1,0,1
28,04/03/20,237,2,0,20,0,0,0
29,04/04/20,282,2,0,45,0,0,0
30,04/05/20,324,3,0,42,1,0,1
31,04/06/20,345,4,0,21,1,0,1
32,04/07/20,412,4,0,67,0,0,0
33,04/08/20,462,4,0,50,0,0,0
34,04/09/20,523,5,0,61,1,0,1
35,04/10/20,554,5,63,31,0,63,63
36,04/11/20,577,5,63,23,0,0,0
37,04/12/20,611,8,83,34,3,20,23
38,04/13/20,626,9,85,15,1,2,3
39,04/14/20,640,9,147,14,0,62,62
40,04/15/20,702,10,211,62,1,64,65
41,04/16/20,739,13,223,37,3,12,15
42,04/17/20,754,13,223,15,0,0,0
43,04/18/20,785,16,255,31,3,32,35
44,04/19/20,863,18,265,78,2,10,12
45,04/20/20,902,24,290,39,6,25,31
46,04/21/20,914,26,330,12,2,40,42
47,04/22/20,939,26,330,25,0,0,0
48,04/23/20,967,29,380,28,3,50,53
49,04/24/20,988,32,439,21,3,59,62
50,04/25/20,1020,32,439,32,0,0,0
51,04/26/20,1044,34,455,24,2,16,18
52,04/27/20,1063,36,455,19,2,0,2
53,04/28/20,1079,37,481,16,1,26,27
54,04/29/20,1095,38,504,16,1,23,24
