,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,03/07/20,0,0,0.0,0,0,0,0
1,03/08/20,0,0,0.0,0,0,0,0
2,03/09/20,0,0,0.0,0,0,0,0
3,03/10/20,0,0,0.0,0,0,0,0
4,03/11/20,0,0,0.0,0,0,0,0
5,03/12/20,1,0,0.0,1,0,0,0
6,03/13/20,1,0,0.0,0,0,0,0
7,03/14/20,2,0,0.0,1,0,0,0
8,03/15/20,3,0,0.0,1,0,0,0
9,03/16/20,3,0,0.0,0,0,0,0
10,03/17/20,10,0,0.0,7,0,0,0
11,03/18/20,15,0,0.0,5,0,0,0
12,03/19/20,18,0,0.0,3,0,0,0
13,03/20/20,19,0,0.0,1,0,0,0
14,03/21/20,23,0,0.0,4,0,0,0
15,03/22/20,24,0,0.0,1,0,0,0
16,03/23/20,26,0,0.0,2,0,0,0
17,03/24/20,29,0,0.0,3,0,0,0
18,03/25/20,44,0,7.0,15,0,7,7
19,03/26/20,53,0,12.0,9,0,5,5
20,03/27/20,70,0,17.0,17,0,5,5
21,03/28/20,82,0,18.0,12,0,1,1
22,03/29/20,86,0,20.0,4,0,2,2
23,03/30/20,94,0,24.0,8,0,4,4
24,03/31/20,109,0,26.0,15,0,2,2
25,04/01/20,130,0,31.0,21,0,5,5
26,04/02/20,150,0,31.0,20,0,0,0
27,04/03/20,162,0,37.0,12,0,6,6
28,04/04/20,187,0,49.0,25,0,12,12
29,04/05/20,197,0,50.0,10,0,1,1
30,04/06/20,210,0,52.0,13,0,2,2
31,04/07/20,216,0,62.0,6,0,10,10
32,04/08/20,221,0,62.0,5,0,0,0
33,04/09/20,230,0,94.0,9,0,32,32
34,04/10/20,253,0,105.0,23,0,11,11
35,04/11/20,261,0,129.0,8,0,24,24
36,04/12/20,261,0,137.0,0,0,8,8
37,04/13/20,275,1,138.0,14,1,1,2
38,04/14/20,275,1,140.0,0,0,2,2
39,04/15/20,287,2,,12,1,0,-10
40,04/16/20,296,2,148.0,9,0,0,19
41,04/17/20,296,2,148.0,0,0,0,0
42,04/18/20,305,2,206.0,9,0,58,58
43,04/19/20,309,2,227.0,4,0,21,21
44,04/20/20,313,2,233.0,4,0,6,6
45,04/21/20,320,6,237.0,7,4,4,8
46,04/22/20,322,6,254.0,2,0,17,17
47,04/23/20,326,7,275.0,4,1,21,22
48,04/24/20,349,7,321.0,23,0,46,46
49,04/25/20,349,7,321.0,0,0,0,0
50,04/26/20,362,7,334.0,13,0,13,13
51,04/27/20,370,7,342.0,8,0,8,8
52,04/28/20,389,7,343.0,19,0,1,1
53,04/29/20,536,7,362.0,147,0,19,19
