,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,01/22/20,0,0,0.0,0,0,0,0
1,01/23/20,0,0,0.0,0,0,0,0
2,01/24/20,0,0,0.0,0,0,0,0
3,01/25/20,0,0,0.0,0,0,0,0
4,01/26/20,0,0,0.0,0,0,0,0
5,01/27/20,0,0,0.0,0,0,0,0
6,01/28/20,0,0,0.0,0,0,0,0
7,01/29/20,0,0,0.0,0,0,0,0
8,01/30/20,0,0,0.0,0,0,0,0
9,01/31/20,2,0,0.0,2,0,0,0
10,02/01/20,2,0,0.0,0,0,0,0
11,02/02/20,2,0,0.0,0,0,0,0
12,02/03/20,2,0,0.0,0,0,0,0
13,02/04/20,2,0,0.0,0,0,0,0
14,02/05/20,2,0,0.0,0,0,0,0
15,02/06/20,2,0,0.0,0,0,0,0
16,02/07/20,3,0,0.0,1,0,0,0
17,02/08/20,3,0,0.0,0,0,0,0
18,02/09/20,3,0,0.0,0,0,0,0
19,02/10/20,8,0,0.0,5,0,0,0
20,02/11/20,8,0,0.0,0,0,0,0
21,02/12/20,9,0,1.0,1,0,1,1
22,02/13/20,9,0,1.0,0,0,0,0
23,02/14/20,9,0,1.0,0,0,0,0
24,02/15/20,9,0,1.0,0,0,0,0
25,02/16/20,9,0,8.0,0,0,7,7
26,02/17/20,9,0,8.0,0,0,0,0
27,02/18/20,9,0,8.0,0,0,0,0
28,02/19/20,9,0,8.0,0,0,0,0
29,02/20/20,9,0,8.0,0,0,0,0
30,02/21/20,9,0,8.0,0,0,0,0
31,02/22/20,9,0,8.0,0,0,0,0
32,02/23/20,9,0,8.0,0,0,0,0
33,02/24/20,13,0,8.0,4,0,0,0
34,02/25/20,13,0,8.0,0,0,0,0
35,02/26/20,13,0,8.0,0,0,0,0
36,02/27/20,15,0,8.0,2,0,0,0
37,02/28/20,20,0,8.0,5,0,0,0
38,02/29/20,23,0,8.0,3,0,0,0
39,03/01/20,36,0,8.0,13,0,0,0
40,03/02/20,40,0,8.0,4,0,0,0
41,03/03/20,51,0,8.0,11,0,0,0
42,03/04/20,85,0,8.0,34,0,0,0
43,03/05/20,115,1,8.0,30,1,0,1
44,03/06/20,163,2,8.0,48,1,0,1
45,03/07/20,206,2,18.0,43,0,10,10
46,03/08/20,273,3,18.0,67,1,0,1
47,03/09/20,321,4,18.0,48,1,0,1
48,03/10/20,382,6,18.0,61,2,0,2
49,03/11/20,456,8,18.0,74,2,0,2
50,03/12/20,456,8,18.0,0,0,0,0
51,03/13/20,798,8,18.0,342,0,0,0
52,03/14/20,1140,21,18.0,342,13,0,13
53,03/15/20,1140,21,18.0,0,0,0,0
54,03/16/20,1543,55,20.0,403,34,2,36
55,03/17/20,1950,55,52.0,407,0,32,32
56,03/18/20,2626,71,65.0,676,16,13,29
57,03/19/20,2689,137,65.0,63,66,0,66
58,03/20/20,3983,177,65.0,1294,40,0,40
59,03/21/20,5018,233,65.0,1035,56,0,56
60,03/22/20,5683,281,65.0,665,48,0,48
61,03/23/20,6650,335,65.0,967,54,0,54
62,03/24/20,8077,422,135.0,1427,87,70,157
63,03/25/20,9529,465,135.0,1452,43,0,43
64,03/26/20,11658,578,135.0,2129,113,0,113
65,03/27/20,14543,759,135.0,2885,181,0,181
66,03/28/20,17089,1019,135.0,2546,260,0,260
67,03/29/20,19522,1228,135.0,2433,209,0,209
68,03/30/20,22141,1408,135.0,2619,180,0,180
69,03/31/20,25150,1789,135.0,3009,381,0,381
70,04/01/20,29474,2352,135.0,4324,563,0,563
71,04/02/20,33718,2921,135.0,4244,569,0,569
72,04/03/20,38168,3605,135.0,4450,684,0,684
73,04/04/20,41903,4313,135.0,3735,708,0,708
74,04/05/20,47806,4934,135.0,5903,621,0,621
75,04/06/20,51608,5373,135.0,3802,439,0,439
76,04/07/20,55242,6159,135.0,3634,786,0,786
77,04/08/20,60733,7097,135.0,5491,938,0,938
78,04/09/20,65077,7978,135.0,4344,881,0,881
79,04/10/20,73758,8958,344.0,8681,980,209,1189
80,04/11/20,78991,9875,344.0,5233,917,0,917
81,04/12/20,84279,10612,344.0,5288,737,0,737
82,04/13/20,88621,11329,,4342,717,0,373
83,04/14/20,93873,12107,,5252,778,0,778
84,04/15/20,98476,12868,,4603,761,0,761
85,04/16/20,103093,13729,,4617,861,0,861
86,04/17/20,108692,14576,,5599,847,0,847
87,04/18/20,114217,15464,,5525,888,0,888
88,04/19/20,120067,16060,,5850,596,0,596
89,04/20/20,124743,16509,,4676,449,0,449
90,04/21/20,129044,17337,,4301,828,0,828
91,04/22/20,133495,18100,,4451,763,0,763
92,04/23/20,138078,18738,,4583,638,0,638
93,04/24/20,143464,19506,,5386,768,0,768
94,04/25/20,148377,20319,,4913,813,0,813
95,04/26/20,152840,20732,344.0,4463,413,0,413
