,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,01/22/20,0,0,0,0,0,0,0
1,01/23/20,0,0,0,0,0,0,0
2,01/24/20,0,0,0,0,0,0,0
3,01/25/20,0,0,0,0,0,0,0
4,01/26/20,0,0,0,0,0,0,0
5,01/27/20,0,0,0,0,0,0,0
6,01/28/20,0,0,0,0,0,0,0
7,01/29/20,0,0,0,0,0,0,0
8,01/30/20,0,0,0,0,0,0,0
9,01/31/20,0,0,0,0,0,0,0
10,02/01/20,0,0,0,0,0,0,0
11,02/02/20,0,0,0,0,0,0,0
12,02/03/20,0,0,0,0,0,0,0
13,02/04/20,0,0,0,0,0,0,0
14,02/05/20,0,0,0,0,0,0,0
15,02/06/20,0,0,0,0,0,0,0
16,02/07/20,0,0,0,0,0,0,0
17,02/08/20,0,0,0,0,0,0,0
18,02/09/20,0,0,0,0,0,0,0
19,02/10/20,0,0,0,0,0,0,0
20,02/11/20,0,0,0,0,0,0,0
21,02/12/20,0,0,0,0,0,0,0
22,02/13/20,0,0,0,0,0,0,0
23,02/14/20,0,0,0,0,0,0,0
24,02/15/20,0,0,0,0,0,0,0
25,02/16/20,0,0,0,0,0,0,0
26,02/17/20,0,0,0,0,0,0,0
27,02/18/20,0,0,0,0,0,0,0
28,02/19/20,0,0,0,0,0,0,0
29,02/20/20,0,0,0,0,0,0,0
30,02/21/20,0,0,0,0,0,0,0
31,02/22/20,0,0,0,0,0,0,0
32,02/23/20,0,0,0,0,0,0,0
33,02/24/20,0,0,0,0,0,0,0
34,02/25/20,0,0,0,0,0,0,0
35,02/26/20,0,0,0,0,0,0,0
36,02/27/20,0,0,0,0,0,0,0
37,02/28/20,0,0,0,0,0,0,0
38,02/29/20,0,0,0,0,0,0,0
39,03/01/20,0,0,0,0,0,0,0
40,03/02/20,0,0,0,0,0,0,0
41,03/03/20,0,0,0,0,0,0,0
42,03/04/20,0,0,0,0,0,0,0
43,03/05/20,0,0,0,0,0,0,0
44,03/06/20,0,0,0,0,0,0,0
45,03/07/20,0,0,0,0,0,0,0
46,03/08/20,0,0,0,0,0,0,0
47,03/09/20,0,0,0,0,0,0,0
48,03/10/20,0,0,0,0,0,0,0
49,03/11/20,0,0,0,0,0,0,0
50,03/12/20,0,0,0,0,0,0,0
51,03/13/20,0,0,0,0,0,0,0
52,03/14/20,0,0,0,0,0,0,0
53,03/15/20,0,0,0,0,0,0,0
54,03/16/20,0,0,0,0,0,0,0
55,03/17/20,0,0,0,0,0,0,0
56,03/18/20,0,0,0,0,0,0,0
57,03/19/20,0,0,0,0,0,0,0
58,03/20/20,1,0,0,1,0,0,0
59,03/21/20,3,0,0,2,0,0,0
60,03/22/20,3,0,0,0,0,0,0
61,03/23/20,3,1,0,0,1,0,1
62,03/24/20,3,1,0,0,0,0,0
63,03/25/20,3,1,0,0,0,0,0
64,03/26/20,3,1,0,0,0,0,0
65,03/27/20,5,1,0,2,0,0,0
66,03/28/20,7,1,0,2,0,0,0
67,03/29/20,7,1,0,0,0,0,0
68,03/30/20,7,1,0,0,0,0,0
69,03/31/20,8,1,0,1,0,0,0
70,04/01/20,8,1,0,0,0,0,0
71,04/02/20,9,1,0,1,0,0,0
72,04/03/20,9,1,0,0,0,0,0
73,04/04/20,9,1,0,0,0,0,0
74,04/05/20,9,1,0,0,0,0,0
75,04/06/20,10,1,0,1,0,0,0
76,04/07/20,11,2,0,1,1,0,1
77,04/08/20,11,3,0,0,1,0,1
78,04/09/20,11,3,0,0,0,0,0
79,04/10/20,13,3,0,2,0,0,0
80,04/11/20,14,3,0,1,0,0,0
81,04/12/20,14,3,0,0,0,0,0
82,04/13/20,17,3,0,3,0,0,0
83,04/14/20,17,3,0,0,0,0,0
84,04/15/20,23,3,1,6,0,1,1
85,04/16/20,23,3,1,0,0,0,0
86,04/17/20,24,3,2,1,0,1,1
87,04/18/20,25,3,2,1,0,0,0
88,04/19/20,25,3,2,0,0,0,0
89,04/20/20,25,3,2,0,0,0,0
90,04/21/20,28,3,2,3,0,0,0
91,04/22/20,28,4,2,0,1,0,1
92,04/23/20,28,4,2,0,0,0,0
93,04/24/20,29,4,2,1,0,0,0
94,04/25/20,31,4,2,2,0,0,0
95,04/26/20,31,4,2,0,0,0,0
96,04/27/20,32,4,5,1,0,3,3
97,04/28/20,32,4,5,0,0,0,0
