dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
01/22/20,0,0,0,0,0,0,0
01/23/20,0,0,0,0,0,0,0
01/24/20,0,0,0,0,0,0,0
01/25/20,0,0,0,0,0,0,0
01/26/20,0,0,0,0,0,0,0
01/27/20,0,0,0,0,0,0,0
01/28/20,0,0,0,0,0,0,0
01/29/20,0,0,0,0,0,0,0
01/30/20,0,0,0,0,0,0,0
01/31/20,0,0,0,0,0,0,0
02/01/20,0,0,0,0,0,0,0
02/02/20,0,0,0,0,0,0,0
02/03/20,0,0,0,0,0,0,0
02/04/20,0,0,0,0,0,0,0
02/05/20,0,0,0,0,0,0,0
02/06/20,0,0,0,0,0,0,0
02/07/20,0,0,0,0,0,0,0
02/08/20,0,0,0,0,0,0,0
02/09/20,0,0,0,0,0,0,0
02/10/20,0,0,0,0,0,0,0
02/11/20,0,0,0,0,0,0,0
02/12/20,0,0,0,0,0,0,0
02/13/20,0,0,0,0,0,0,0
02/14/20,0,0,0,0,0,0,0
02/15/20,0,0,0,0,0,0,0
02/16/20,0,0,0,0,0,0,0
02/17/20,0,0,0,0,0,0,0
02/18/20,0,0,0,0,0,0,0
02/19/20,0,0,0,0,0,0,0
02/20/20,0,0,0,0,0,0,0
02/21/20,0,0,0,0,0,0,0
02/22/20,0,0,0,0,0,0,0
02/23/20,0,0,0,0,0,0,0
02/24/20,0,0,0,0,0,0,0
02/25/20,0,0,0,0,0,0,0
02/26/20,0,0,0,0,0,0,0
02/27/20,0,0,0,0,0,0,0
02/28/20,0,0,0,0,0,0,0
02/29/20,0,0,0,0,0,0,0
03/01/20,0,0,0,0,0,0,0
03/02/20,1,0,0,1,0,0,0
03/03/20,1,0,0,0,0,0,0
03/04/20,1,0,0,0,0,0,0
03/05/20,1,0,0,0,0,0,0
03/06/20,1,0,0,0,0,0,0
03/07/20,1,0,0,0,0,0,0
03/08/20,1,0,0,0,0,0,0
03/09/20,1,0,0,0,0,0,0
03/10/20,1,0,0,0,0,0,0
03/11/20,1,0,0,0,0,0,0
03/12/20,1,0,1,0,0,1,1
03/13/20,1,0,0,0,0,-1,-1
03/14/20,1,0,1,0,0,1,1
03/15/20,1,0,1,0,0,0,0
03/16/20,2,0,1,1,0,0,0
03/17/20,39,0,1,37,0,0,0
03/18/20,39,0,1,0,0,0,0
03/19/20,53,0,1,14,0,0,0
03/20/20,75,0,1,22,0,0,0
03/21/20,88,0,1,13,0,0,0
03/22/20,113,1,1,25,1,0,1
03/23/20,133,1,1,20,0,0,0
03/24/20,164,1,1,31,0,0,0
03/25/20,188,1,1,24,0,0,0
03/26/20,224,3,1,36,2,0,2
03/27/20,267,3,1,43,0,0,0
03/28/20,308,3,1,41,0,0,0
03/29/20,334,6,1,26,3,0,3
03/30/20,370,8,10,36,2,9,11
03/31/20,376,12,10,6,4,0,4
04/01/20,390,14,10,14,2,0,2
04/02/20,428,15,10,38,1,0,1
04/03/20,439,16,16,11,1,6,7
04/04/20,466,17,21,27,1,5,6
04/05/20,501,18,26,35,1,5,6
04/06/20,525,21,31,24,3,5,8
04/07/20,545,22,39,20,1,8,9
04/08/20,564,23,52,19,1,13,14
04/09/20,583,25,58,19,2,6,8
04/10/20,601,26,71,18,1,13,14
04/11/20,601,26,71,0,0,0,0
04/12/20,638,29,128,37,3,57,60
04/13/20,646,29,128,8,0,0,0
04/14/20,659,31,128,13,2,0,2
04/15/20,673,33,169,14,2,41,43
04/16/20,673,33,169,0,0,0,0
