dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
01/22/20,0,0,0,0,0,0,0
01/23/20,0,0,0,0,0,0,0
01/24/20,0,0,0,0,0,0,0
01/25/20,0,0,0,0,0,0,0
01/26/20,0,0,0,0,0,0,0
01/27/20,0,0,0,0,0,0,0
01/28/20,0,0,0,0,0,0,0
01/29/20,0,0,0,0,0,0,0
01/30/20,0,0,0,0,0,0,0
01/31/20,0,0,0,0,0,0,0
02/01/20,0,0,0,0,0,0,0
02/02/20,0,0,0,0,0,0,0
02/03/20,0,0,0,0,0,0,0
02/04/20,0,0,0,0,0,0,0
02/05/20,0,0,0,0,0,0,0
02/06/20,0,0,0,0,0,0,0
02/07/20,0,0,0,0,0,0,0
02/08/20,0,0,0,0,0,0,0
02/09/20,0,0,0,0,0,0,0
02/10/20,0,0,0,0,0,0,0
02/11/20,0,0,0,0,0,0,0
02/12/20,0,0,0,0,0,0,0
02/13/20,0,0,0,0,0,0,0
02/14/20,0,0,0,0,0,0,0
02/15/20,0,0,0,0,0,0,0
02/16/20,0,0,0,0,0,0,0
02/17/20,0,0,0,0,0,0,0
02/18/20,0,0,0,0,0,0,0
02/19/20,0,0,0,0,0,0,0
02/20/20,0,0,0,0,0,0,0
02/21/20,0,0,0,0,0,0,0
02/22/20,0,0,0,0,0,0,0
02/23/20,0,0,0,0,0,0,0
02/24/20,0,0,0,0,0,0,0
02/25/20,0,0,0,0,0,0,0
02/26/20,0,0,0,0,0,0,0
02/27/20,0,0,0,0,0,0,0
02/28/20,0,0,0,0,0,0,0
02/29/20,0,0,0,0,0,0,0
03/01/20,3,0,0,3,0,0,0
03/02/20,3,0,0,0,0,0,0
03/03/20,3,0,0,0,0,0,0
03/04/20,3,0,0,0,0,0,0
03/05/20,6,0,0,3,0,0,0
03/06/20,6,0,0,0,0,0,0
03/07/20,9,0,0,3,0,0,0
03/08/20,9,0,0,0,0,0,0
03/09/20,9,0,0,0,0,0,0
03/10/20,11,0,0,2,0,0,0
03/11/20,11,0,3,0,0,3,3
03/12/20,11,0,3,0,0,0,0
03/13/20,15,1,3,4,1,0,1
03/14/20,15,1,3,0,0,0,0
03/15/20,23,1,6,8,0,3,3
03/16/20,28,1,6,5,0,0,0
03/17/20,28,1,6,0,0,0,0
03/18/20,28,1,6,0,0,0,0
03/19/20,44,1,6,16,0,0,0
03/20/20,44,1,6,0,0,0,0
03/21/20,53,1,11,9,0,5,5
03/22/20,65,1,10,12,0,-1,-1
03/23/20,72,1,10,7,0,0,0
03/24/20,87,1,10,15,0,0,0
03/25/20,93,2,10,6,1,0,1
03/26/20,122,3,15,29,1,5,6
03/27/20,165,3,15,43,0,0,0
03/28/20,182,4,15,17,1,0,1
03/29/20,209,4,15,27,0,0,0
03/30/20,273,4,26,64,0,11,11
03/31/20,298,5,26,25,1,0,1
04/01/20,359,5,26,61,0,0,0
04/02/20,400,5,26,41,0,0,0
04/03/20,443,5,32,43,0,6,6
04/04/20,521,5,32,78,0,0,0
04/05/20,584,7,32,63,2,0,2
04/06/20,641,7,44,57,0,12,12
04/07/20,717,8,44,76,1,0,1
04/08/20,822,8,63,105,0,19,19
04/09/20,926,9,101,104,1,38,39
04/10/20,991,10,159,65,1,58,59
04/11/20,1058,11,200,67,1,41,42
04/12/20,1098,11,250,40,0,50,50
04/13/20,1148,12,289,50,1,39,40
04/14/20,1197,13,351,49,1,62,63
04/15/20,1253,13,404,56,0,53,53
04/16/20,1283,15,460,30,2,56,58
