,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,01/22/20,0,0,0,0,0,0,0
1,01/23/20,0,0,0,0,0,0,0
2,01/24/20,0,0,0,0,0,0,0
3,01/25/20,0,0,0,0,0,0,0
4,01/26/20,0,0,0,0,0,0,0
5,01/27/20,0,0,0,0,0,0,0
6,01/28/20,0,0,0,0,0,0,0
7,01/29/20,0,0,0,0,0,0,0
8,01/30/20,0,0,0,0,0,0,0
9,01/31/20,0,0,0,0,0,0,0
10,02/01/20,0,0,0,0,0,0,0
11,02/02/20,0,0,0,0,0,0,0
12,02/03/20,0,0,0,0,0,0,0
13,02/04/20,0,0,0,0,0,0,0
14,02/05/20,0,0,0,0,0,0,0
15,02/06/20,0,0,0,0,0,0,0
16,02/07/20,0,0,0,0,0,0,0
17,02/08/20,0,0,0,0,0,0,0
18,02/09/20,0,0,0,0,0,0,0
19,02/10/20,0,0,0,0,0,0,0
20,02/11/20,0,0,0,0,0,0,0
21,02/12/20,0,0,0,0,0,0,0
22,02/13/20,0,0,0,0,0,0,0
23,02/14/20,0,0,0,0,0,0,0
24,02/15/20,0,0,0,0,0,0,0
25,02/16/20,0,0,0,0,0,0,0
26,02/17/20,0,0,0,0,0,0,0
27,02/18/20,0,0,0,0,0,0,0
28,02/19/20,0,0,0,0,0,0,0
29,02/20/20,0,0,0,0,0,0,0
30,02/21/20,0,0,0,0,0,0,0
31,02/22/20,0,0,0,0,0,0,0
32,02/23/20,0,0,0,0,0,0,0
33,02/24/20,0,0,0,0,0,0,0
34,02/25/20,0,0,0,0,0,0,0
35,02/26/20,0,0,0,0,0,0,0
36,02/27/20,0,0,0,0,0,0,0
37,02/28/20,0,0,0,0,0,0,0
38,02/29/20,0,0,0,0,0,0,0
39,03/01/20,0,0,0,0,0,0,0
40,03/02/20,0,0,0,0,0,0,0
41,03/03/20,0,0,0,0,0,0,0
42,03/04/20,0,0,0,0,0,0,0
43,03/05/20,0,0,0,0,0,0,0
44,03/06/20,0,0,0,0,0,0,0
45,03/07/20,0,0,0,0,0,0,0
46,03/08/20,3,0,0,3,0,0,0
47,03/09/20,3,0,0,0,0,0,0
48,03/10/20,3,0,0,0,0,0,0
49,03/11/20,3,0,0,0,0,0,0
50,03/12/20,3,0,0,0,0,0,0
51,03/13/20,3,0,0,0,0,0,0
52,03/14/20,3,0,0,0,0,0,0
53,03/15/20,5,0,0,2,0,0,0
54,03/16/20,8,0,2,3,0,2,2
55,03/17/20,10,0,3,2,0,1,1
56,03/18/20,14,1,3,4,1,0,1
57,03/19/20,17,1,3,3,0,0,0
58,03/20/20,20,1,3,3,0,0,0
59,03/21/20,25,2,3,5,1,0,1
60,03/22/20,27,2,3,2,0,0,0
61,03/23/20,33,3,3,6,1,0,1
62,03/24/20,39,4,5,6,1,2,3
63,03/25/20,39,5,7,0,1,2,3
64,03/26/20,44,5,11,5,0,4,4
65,03/27/20,48,5,11,4,0,0,0
66,03/28/20,48,5,15,0,0,4,4
67,03/29/20,48,5,15,0,0,0,0
68,03/30/20,49,5,19,1,0,4,4
69,03/31/20,51,5,25,2,0,6,6
70,04/01/20,54,6,25,3,1,0,1
71,04/02/20,56,6,25,2,0,0,0
72,04/03/20,61,6,26,5,0,1,1
73,04/04/20,70,8,30,9,2,4,6
74,04/05/20,88,9,33,18,1,3,4
75,04/06/20,123,12,33,35,3,0,3
76,04/07/20,164,17,33,41,5,0,5
77,04/08/20,218,20,33,54,3,0,3
78,04/09/20,330,21,33,112,1,0,1
79,04/10/20,424,27,33,94,6,0,6
80,04/11/20,482,30,36,58,3,3,6
81,04/12/20,621,34,39,139,4,3,7
82,04/13/20,803,39,42,182,5,3,8
83,04/14/20,1012,46,42,209,7,0,7
84,04/15/20,1231,50,49,219,4,7,11
