dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
01/22/20,0,0,0,0,0,0,0
01/23/20,0,0,0,0,0,0,0
01/24/20,0,0,0,0,0,0,0
01/25/20,0,0,0,0,0,0,0
01/26/20,0,0,0,0,0,0,0
01/27/20,0,0,0,0,0,0,0
01/28/20,0,0,0,0,0,0,0
01/29/20,0,0,0,0,0,0,0
01/30/20,0,0,0,0,0,0,0
01/31/20,0,0,0,0,0,0,0
02/01/20,0,0,0,0,0,0,0
02/02/20,0,0,0,0,0,0,0
02/03/20,0,0,0,0,0,0,0
02/04/20,0,0,0,0,0,0,0
02/05/20,0,0,0,0,0,0,0
02/06/20,0,0,0,0,0,0,0
02/07/20,0,0,0,0,0,0,0
02/08/20,0,0,0,0,0,0,0
02/09/20,0,0,0,0,0,0,0
02/10/20,0,0,0,0,0,0,0
02/11/20,0,0,0,0,0,0,0
02/12/20,0,0,0,0,0,0,0
02/13/20,0,0,0,0,0,0,0
02/14/20,0,0,0,0,0,0,0
02/15/20,0,0,0,0,0,0,0
02/16/20,0,0,0,0,0,0,0
02/17/20,0,0,0,0,0,0,0
02/18/20,0,0,0,0,0,0,0
02/19/20,0,0,0,0,0,0,0
02/20/20,0,0,0,0,0,0,0
02/21/20,0,0,0,0,0,0,0
02/22/20,0,0,0,0,0,0,0
02/23/20,0,0,0,0,0,0,0
02/24/20,0,0,0,0,0,0,0
02/25/20,0,0,0,0,0,0,0
02/26/20,0,0,0,0,0,0,0
02/27/20,0,0,0,0,0,0,0
02/28/20,0,0,0,0,0,0,0
02/29/20,0,0,0,0,0,0,0
03/01/20,0,0,0,0,0,0,0
03/02/20,0,0,0,0,0,0,0
03/03/20,0,0,0,0,0,0,0
03/04/20,0,0,0,0,0,0,0
03/05/20,0,0,0,0,0,0,0
03/06/20,0,0,0,0,0,0,0
03/07/20,0,0,0,0,0,0,0
03/08/20,0,0,0,0,0,0,0
03/09/20,0,0,0,0,0,0,0
03/10/20,0,0,0,0,0,0,0
03/11/20,2,0,0,2,0,0,0
03/12/20,2,0,0,0,0,0,0
03/13/20,3,0,0,1,0,0,0
03/14/20,10,0,0,7,0,0,0
03/15/20,10,0,0,0,0,0,0
03/16/20,11,0,0,1,0,0,0
03/17/20,11,0,0,0,0,0,0
03/18/20,12,0,0,1,0,0,0
03/19/20,12,0,0,0,0,0,0
03/20/20,15,0,0,3,0,0,0
03/21/20,19,0,0,4,0,0,0
03/22/20,24,0,0,5,0,0,0
03/23/20,27,0,0,3,0,0,0
03/24/20,29,0,0,2,0,0,0
03/25/20,32,0,0,3,0,0,0
03/26/20,43,0,0,11,0,0,0
03/27/20,61,0,0,18,0,0,0
03/28/20,74,0,0,13,0,0,0
03/29/20,81,1,0,7,1,0,1
03/30/20,97,4,0,16,3,0,3
03/31/20,107,6,0,10,2,0,2
04/01/20,115,7,1,8,1,1,2
04/02/20,123,8,1,8,1,0,1
04/03/20,132,9,1,9,1,0,1
04/04/20,139,10,1,7,1,0,1
04/05/20,157,10,2,18,0,1,1
04/06/20,183,11,2,26,1,0,1
04/07/20,194,14,2,11,3,0,3
04/08/20,210,15,2,16,1,0,1
04/09/20,264,18,2,54,3,0,3
04/10/20,268,19,2,4,1,0,1
04/11/20,275,20,2,7,1,0,1
04/12/20,300,24,2,25,4,0,4
04/13/20,330,27,2,30,3,0,3
04/14/20,354,28,6,24,1,4,5
04/15/20,397,28,7,43,0,1,1
04/16/20,441,29,14,44,1,7,8
