dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
01/22/20,0,0,0,0,0,0,0
01/23/20,0,0,0,0,0,0,0
01/24/20,0,0,0,0,0,0,0
01/25/20,0,0,0,0,0,0,0
01/26/20,0,0,0,0,0,0,0
01/27/20,0,0,0,0,0,0,0
01/28/20,0,0,0,0,0,0,0
01/29/20,0,0,0,0,0,0,0
01/30/20,0,0,0,0,0,0,0
01/31/20,0,0,0,0,0,0,0
02/01/20,0,0,0,0,0,0,0
02/02/20,0,0,0,0,0,0,0
02/03/20,0,0,0,0,0,0,0
02/04/20,0,0,0,0,0,0,0
02/05/20,0,0,0,0,0,0,0
02/06/20,0,0,0,0,0,0,0
02/07/20,0,0,0,0,0,0,0
02/08/20,0,0,0,0,0,0,0
02/09/20,0,0,0,0,0,0,0
02/10/20,0,0,0,0,0,0,0
02/11/20,0,0,0,0,0,0,0
02/12/20,0,0,0,0,0,0,0
02/13/20,0,0,0,0,0,0,0
02/14/20,0,0,0,0,0,0,0
02/15/20,0,0,0,0,0,0,0
02/16/20,0,0,0,0,0,0,0
02/17/20,0,0,0,0,0,0,0
02/18/20,0,0,0,0,0,0,0
02/19/20,0,0,0,0,0,0,0
02/20/20,0,0,0,0,0,0,0
02/21/20,0,0,0,0,0,0,0
02/22/20,0,0,0,0,0,0,0
02/23/20,0,0,0,0,0,0,0
02/24/20,0,0,0,0,0,0,0
02/25/20,0,0,0,0,0,0,0
02/26/20,0,0,0,0,0,0,0
02/27/20,0,0,0,0,0,0,0
02/28/20,0,0,0,0,0,0,0
02/29/20,0,0,0,0,0,0,0
03/01/20,0,0,0,0,0,0,0
03/02/20,0,0,0,0,0,0,0
03/03/20,0,0,0,0,0,0,0
03/04/20,0,0,0,0,0,0,0
03/05/20,0,0,0,0,0,0,0
03/06/20,0,0,0,0,0,0,0
03/07/20,0,0,0,0,0,0,0
03/08/20,4,0,0,4,0,0,0
03/09/20,4,0,0,0,0,0,0
03/10/20,4,0,0,0,0,0,0
03/11/20,7,1,0,3,1,0,1
03/12/20,7,1,0,0,0,0,0
03/13/20,23,1,0,16,0,0,0
03/14/20,41,2,0,18,1,0,1
03/15/20,51,2,0,10,0,0,0
03/16/20,52,2,0,1,0,0,0
03/17/20,67,2,0,15,0,0,0
03/18/20,92,2,0,25,0,0,0
03/19/20,94,3,0,2,1,0,1
03/20/20,127,3,0,33,0,0,0
03/21/20,163,3,3,36,0,3,3
03/22/20,187,3,3,24,0,0,0
03/23/20,201,3,3,14,0,0,0
03/24/20,218,3,3,17,0,0,0
03/25/20,242,3,4,24,0,1,1
03/26/20,264,3,8,22,0,4,4
03/27/20,293,3,9,29,0,1,1
03/28/20,331,7,11,38,4,2,6
03/29/20,346,8,14,15,1,3,4
03/30/20,359,8,17,13,0,3,3
03/31/20,399,8,17,40,0,0,0
04/01/20,422,10,20,23,2,3,5
04/02/20,457,10,25,35,0,5,5
04/03/20,485,14,30,28,4,5,9
04/04/20,503,17,34,18,3,4,7
04/05/20,531,20,37,28,3,3,6
04/06/20,549,22,39,18,2,2,4
04/07/20,577,23,42,28,1,3,4
04/08/20,593,24,42,16,1,0,1
04/09/20,618,24,48,25,0,6,6
04/10/20,635,25,54,17,1,6,7
04/11/20,661,28,62,26,3,8,11
04/12/20,675,29,68,14,1,6,7
04/13/20,685,32,71,10,3,3,6
04/14/20,713,35,81,28,3,10,13
04/15/20,747,36,105,34,1,24,25
04/16/20,800,38,122,53,2,17,19
