,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,01/22/20,0,0,0,0,0,0,0
1,01/23/20,0,0,0,0,0,0,0
2,01/24/20,0,0,0,0,0,0,0
3,01/25/20,0,0,0,0,0,0,0
4,01/26/20,0,0,0,0,0,0,0
5,01/27/20,0,0,0,0,0,0,0
6,01/28/20,0,0,0,0,0,0,0
7,01/29/20,0,0,0,0,0,0,0
8,01/30/20,0,0,0,0,0,0,0
9,01/31/20,0,0,0,0,0,0,0
10,02/01/20,0,0,0,0,0,0,0
11,02/02/20,0,0,0,0,0,0,0
12,02/03/20,0,0,0,0,0,0,0
13,02/04/20,0,0,0,0,0,0,0
14,02/05/20,0,0,0,0,0,0,0
15,02/06/20,0,0,0,0,0,0,0
16,02/07/20,0,0,0,0,0,0,0
17,02/08/20,0,0,0,0,0,0,0
18,02/09/20,0,0,0,0,0,0,0
19,02/10/20,0,0,0,0,0,0,0
20,02/11/20,0,0,0,0,0,0,0
21,02/12/20,0,0,0,0,0,0,0
22,02/13/20,0,0,0,0,0,0,0
23,02/14/20,0,0,0,0,0,0,0
24,02/15/20,0,0,0,0,0,0,0
25,02/16/20,0,0,0,0,0,0,0
26,02/17/20,0,0,0,0,0,0,0
27,02/18/20,0,0,0,0,0,0,0
28,02/19/20,0,0,0,0,0,0,0
29,02/20/20,0,0,0,0,0,0,0
30,02/21/20,0,0,0,0,0,0,0
31,02/22/20,0,0,0,0,0,0,0
32,02/23/20,0,0,0,0,0,0,0
33,02/24/20,0,0,0,0,0,0,0
34,02/25/20,0,0,0,0,0,0,0
35,02/26/20,0,0,0,0,0,0,0
36,02/27/20,0,0,0,0,0,0,0
37,02/28/20,0,0,0,0,0,0,0
38,02/29/20,0,0,0,0,0,0,0
39,03/01/20,6,0,0,6,0,0,0
40,03/02/20,6,0,0,0,0,0,0
41,03/03/20,7,0,0,1,0,0,0
42,03/04/20,10,0,0,3,0,0,0
43,03/05/20,13,0,0,3,0,0,0
44,03/06/20,13,0,0,0,0,0,0
45,03/07/20,13,0,0,0,0,0,0
46,03/08/20,14,0,0,1,0,0,0
47,03/09/20,15,0,0,1,0,0,0
48,03/10/20,15,0,0,0,0,0,0
49,03/11/20,17,0,0,2,0,0,0
50,03/12/20,17,0,0,0,0,0,0
51,03/13/20,17,0,0,0,0,0,0
52,03/14/20,28,2,0,11,2,0,2
53,03/15/20,28,2,0,0,0,0,0
54,03/16/20,37,2,0,9,0,0,0
55,03/17/20,58,2,0,21,0,0,0
56,03/18/20,111,2,0,53,0,0,0
57,03/19/20,199,3,0,88,1,0,1
58,03/20/20,367,5,0,168,2,0,2
59,03/21/20,506,7,3,139,2,3,5
60,03/22/20,789,14,3,283,7,0,7
61,03/23/20,981,18,3,192,4,0,4
62,03/24/20,1082,27,3,101,9,0,9
63,03/25/20,1173,28,3,91,1,0,1
64,03/26/20,1403,34,3,230,6,0,6
65,03/27/20,1595,36,3,192,2,0,2
66,03/28/20,1823,48,3,228,12,0,12
67,03/29/20,1924,58,3,101,10,0,10
68,03/30/20,1962,60,3,38,2,0,2
69,03/31/20,2240,75,54,278,15,51,66
70,04/01/20,2748,93,58,508,18,4,22
71,04/02/20,3163,120,65,415,27,7,34
72,04/03/20,3368,145,65,205,25,0,25
73,04/04/20,3465,172,100,97,27,35,62
74,04/05/20,3646,180,100,181,8,0,8
75,04/06/20,3747,191,100,101,11,0,11
76,04/07/20,3747,191,100,0,0,0,0
77,04/08/20,4450,242,140,703,51,40,91
78,04/09/20,4965,272,339,515,30,199,229
79,04/10/20,7161,297,368,2196,25,29,54
80,04/11/20,7257,315,411,96,18,43,61
81,04/12/20,7466,333,501,209,18,90,108
82,04/13/20,7529,355,597,63,22,96,118
83,04/14/20,7603,369,696,74,14,99,113
84,04/15/20,7858,388,780,255,19,84,103
