,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,01/22/20,0,0,0,0,0,0,0
1,01/23/20,0,0,0,0,0,0,0
2,01/24/20,2,0,0,2,0,0,0
3,01/25/20,3,0,0,1,0,0,0
4,01/26/20,3,0,0,0,0,0,0
5,01/27/20,3,0,0,0,0,0,0
6,01/28/20,4,0,0,1,0,0,0
7,01/29/20,5,0,0,1,0,0,0
8,01/30/20,5,0,0,0,0,0,0
9,01/31/20,5,0,0,0,0,0,0
10,02/01/20,6,0,0,1,0,0,0
11,02/02/20,6,0,0,0,0,0,0
12,02/03/20,6,0,0,0,0,0,0
13,02/04/20,6,0,0,0,0,0,0
14,02/05/20,6,0,0,0,0,0,0
15,02/06/20,6,0,0,0,0,0,0
16,02/07/20,6,0,0,0,0,0,0
17,02/08/20,11,0,0,5,0,0,0
18,02/09/20,11,0,0,0,0,0,0
19,02/10/20,11,0,0,0,0,0,0
20,02/11/20,11,0,0,0,0,0,0
21,02/12/20,11,0,2,0,0,2,2
22,02/13/20,11,0,2,0,0,0,0
23,02/14/20,11,0,2,0,0,0,0
24,02/15/20,12,1,4,1,1,2,3
25,02/16/20,12,1,4,0,0,0,0
26,02/17/20,12,1,4,0,0,0,0
27,02/18/20,12,1,4,0,0,0,0
28,02/19/20,12,1,4,0,0,0,0
29,02/20/20,12,1,4,0,0,0,0
30,02/21/20,12,1,4,0,0,0,0
31,02/22/20,12,1,4,0,0,0,0
32,02/23/20,12,1,4,0,0,0,0
33,02/24/20,12,1,4,0,0,0,0
34,02/25/20,14,1,11,2,0,7,7
35,02/26/20,18,2,11,4,1,0,1
36,02/27/20,38,2,11,20,0,0,0
37,02/28/20,57,2,11,19,0,0,0
38,02/29/20,100,2,12,43,0,1,1
39,03/01/20,130,2,12,30,0,0,0
40,03/02/20,191,3,12,61,1,0,1
41,03/03/20,204,4,12,13,1,0,1
42,03/04/20,285,4,12,81,0,0,0
43,03/05/20,377,6,12,92,2,0,2
44,03/06/20,653,9,12,276,3,0,3
45,03/07/20,949,11,12,296,2,0,2
46,03/08/20,1126,19,12,177,8,0,8
47,03/09/20,1209,19,12,83,0,0,0
48,03/10/20,1784,33,12,575,14,0,14
49,03/11/20,2281,48,12,497,15,0,15
50,03/12/20,2281,48,12,0,0,0,0
51,03/13/20,3661,79,12,1380,31,0,31
52,03/14/20,4469,91,12,808,12,0,12
53,03/15/20,4499,91,12,30,0,0,0
54,03/16/20,6633,148,12,2134,57,0,57
55,03/17/20,7652,148,12,1019,0,0,0
56,03/18/20,9043,148,12,1391,0,0,0
57,03/19/20,10871,243,12,1828,95,0,95
58,03/20/20,12612,450,12,1741,207,0,207
59,03/21/20,14282,562,12,1670,112,0,112
60,03/22/20,16018,674,2200,1736,112,2188,2300
61,03/23/20,19856,860,2200,3838,186,0,186
62,03/24/20,22304,1100,3243,2448,240,1043,1283
63,03/25/20,25233,1331,3900,2929,231,657,888
64,03/26/20,29155,1696,4948,3922,365,1048,1413
65,03/27/20,32964,1995,5700,3809,299,752,1051
66,03/28/20,37575,2314,5700,4611,319,0,319
67,03/29/20,40174,2606,7202,2599,292,1502,1794
68,03/30/20,44550,3024,7927,4376,418,725,1143
69,03/31/20,52128,3523,9444,7578,499,1517,2016
70,04/01/20,56989,4403,10934,4861,880,1490,2370
71,04/02/20,59105,5387,12428,2116,984,1494,2478
72,04/03/20,64338,6507,14008,5233,1120,1580,2700
73,04/04/20,68605,7560,15438,4267,1053,1430,2483
74,04/05/20,70478,8078,16183,1873,518,745,1263
75,04/06/20,74390,8911,17250,3912,833,1067,1900
76,04/07/20,78167,10328,19337,3777,1417,2087,3504
77,04/08/20,82048,10869,21254,3881,541,1917,2458
78,04/09/20,86334,12210,23206,4286,1341,1952,3293
79,04/10/20,90676,13197,24932,4342,987,1726,2713
80,04/11/20,93790,13832,26391,3114,635,1459,2094
81,04/12/20,120633,14393,27186,26843,561,795,1356
82,04/13/20,124298,14967,27718,3665,574,532,1106
83,04/14/20,130253,15729,28805,5955,762,1087,1849
84,04/15/20,133470,17167,30955,3217,1438,2150,3588
