dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
01/22/20,0,0,0,0,0,0,0
01/23/20,0,0,0,0,0,0,0
01/24/20,0,0,0,0,0,0,0
01/25/20,0,0,0,0,0,0,0
01/26/20,0,0,0,0,0,0,0
01/27/20,0,0,0,0,0,0,0
01/28/20,0,0,0,0,0,0,0
01/29/20,0,0,0,0,0,0,0
01/30/20,0,0,0,0,0,0,0
01/31/20,0,0,0,0,0,0,0
02/01/20,0,0,0,0,0,0,0
02/02/20,0,0,0,0,0,0,0
02/03/20,0,0,0,0,0,0,0
02/04/20,0,0,0,0,0,0,0
02/05/20,0,0,0,0,0,0,0
02/06/20,0,0,0,0,0,0,0
02/07/20,0,0,0,0,0,0,0
02/08/20,0,0,0,0,0,0,0
02/09/20,0,0,0,0,0,0,0
02/10/20,0,0,0,0,0,0,0
02/11/20,0,0,0,0,0,0,0
02/12/20,0,0,0,0,0,0,0
02/13/20,0,0,0,0,0,0,0
02/14/20,0,0,0,0,0,0,0
02/15/20,0,0,0,0,0,0,0
02/16/20,0,0,0,0,0,0,0
02/17/20,0,0,0,0,0,0,0
02/18/20,0,0,0,0,0,0,0
02/19/20,0,0,0,0,0,0,0
02/20/20,0,0,0,0,0,0,0
02/21/20,0,0,0,0,0,0,0
02/22/20,0,0,0,0,0,0,0
02/23/20,0,0,0,0,0,0,0
02/24/20,0,0,0,0,0,0,0
02/25/20,0,0,0,0,0,0,0
02/26/20,1,0,0,1,0,0,0
02/27/20,3,0,0,2,0,0,0
02/28/20,4,0,0,1,0,0,0
02/29/20,4,0,0,0,0,0,0
03/01/20,7,0,0,3,0,0,0
03/02/20,7,0,0,0,0,0,0
03/03/20,7,0,0,0,0,0,0
03/04/20,9,0,0,2,0,0,0
03/05/20,31,0,0,22,0,0,0
03/06/20,45,0,0,14,0,0,0
03/07/20,46,0,0,1,0,0,0
03/08/20,73,0,0,27,0,0,0
03/09/20,73,0,0,0,0,0,0
03/10/20,89,0,0,16,0,0,0
03/11/20,99,1,0,10,1,0,1
03/12/20,99,1,0,0,0,0,0
03/13/20,190,1,0,91,0,0,0
03/14/20,228,3,8,38,2,8,10
03/15/20,331,4,8,103,1,0,1
03/16/20,331,4,8,0,0,0,0
03/17/20,387,5,8,56,1,0,1
03/18/20,418,5,8,31,0,0,0
03/19/20,418,6,8,0,1,0,1
03/20/20,495,6,19,77,0,11,11
03/21/20,530,13,19,35,7,0,7
03/22/20,624,15,19,94,2,0,2
03/23/20,695,17,19,71,2,0,2
03/24/20,743,20,29,48,3,10,13
03/25/20,821,22,36,78,2,7,9
03/26/20,892,26,36,71,4,0,4
03/27/20,966,28,52,74,2,16,18
03/28/20,1061,32,52,95,4,0,4
03/29/20,1156,38,52,95,6,0,6
03/30/20,1212,43,52,56,5,0,5
03/31/20,1314,49,52,102,6,0,6
04/01/20,1415,50,52,101,1,0,1
04/02/20,1544,53,61,129,3,9,12
04/03/20,1613,63,78,69,10,17,27
04/04/20,1673,68,78,60,5,0,5
04/05/20,1735,73,78,62,5,0,5
04/06/20,1755,79,269,20,6,191,197
04/07/20,1832,81,269,77,2,0,2
04/08/20,1884,83,269,52,2,0,2
04/09/20,1955,87,269,71,4,0,4
04/10/20,2011,92,269,56,5,0,5
04/11/20,2081,93,269,70,1,0,1
04/12/20,2114,98,269,33,5,0,5
04/13/20,2145,99,269,31,1,0,1
04/14/20,2170,101,269,25,2,0,2
04/15/20,2192,102,269,22,1,0,1
04/16/20,2207,105,269,15,3,0,3
