,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,01/22/20,0,0,0,0,0,0,0
1,01/23/20,0,0,0,0,0,0,0
2,01/24/20,0,0,0,0,0,0,0
3,01/25/20,0,0,0,0,0,0,0
4,01/26/20,0,0,0,0,0,0,0
5,01/27/20,0,0,0,0,0,0,0
6,01/28/20,0,0,0,0,0,0,0
7,01/29/20,0,0,0,0,0,0,0
8,01/30/20,0,0,0,0,0,0,0
9,01/31/20,0,0,0,0,0,0,0
10,02/01/20,0,0,0,0,0,0,0
11,02/02/20,0,0,0,0,0,0,0
12,02/03/20,0,0,0,0,0,0,0
13,02/04/20,0,0,0,0,0,0,0
14,02/05/20,0,0,0,0,0,0,0
15,02/06/20,0,0,0,0,0,0,0
16,02/07/20,0,0,0,0,0,0,0
17,02/08/20,0,0,0,0,0,0,0
18,02/09/20,0,0,0,0,0,0,0
19,02/10/20,0,0,0,0,0,0,0
20,02/11/20,0,0,0,0,0,0,0
21,02/12/20,0,0,0,0,0,0,0
22,02/13/20,0,0,0,0,0,0,0
23,02/14/20,0,0,0,0,0,0,0
24,02/15/20,0,0,0,0,0,0,0
25,02/16/20,0,0,0,0,0,0,0
26,02/17/20,0,0,0,0,0,0,0
27,02/18/20,0,0,0,0,0,0,0
28,02/19/20,0,0,0,0,0,0,0
29,02/20/20,0,0,0,0,0,0,0
30,02/21/20,0,0,0,0,0,0,0
31,02/22/20,0,0,0,0,0,0,0
32,02/23/20,0,0,0,0,0,0,0
33,02/24/20,0,0,0,0,0,0,0
34,02/25/20,0,0,0,0,0,0,0
35,02/26/20,0,0,0,0,0,0,0
36,02/27/20,0,0,0,0,0,0,0
37,02/28/20,0,0,0,0,0,0,0
38,02/29/20,0,0,0,0,0,0,0
39,03/01/20,0,0,0,0,0,0,0
40,03/02/20,0,0,0,0,0,0,0
41,03/03/20,1,0,0,1,0,0,0
42,03/04/20,1,0,0,0,0,0,0
43,03/05/20,1,0,0,0,0,0,0
44,03/06/20,1,0,0,0,0,0,0
45,03/07/20,1,0,0,0,0,0,0
46,03/08/20,1,0,0,0,0,0,0
47,03/09/20,1,0,0,0,0,0,0
48,03/10/20,1,0,0,0,0,0,0
49,03/11/20,1,0,0,0,0,0,0
50,03/12/20,1,0,0,0,0,0,0
51,03/13/20,1,0,1,0,0,1,1
52,03/14/20,1,0,1,0,0,0,0
53,03/15/20,8,0,1,7,0,0,0
54,03/16/20,17,0,1,9,0,0,0
55,03/17/20,34,0,1,17,0,0,0
56,03/18/20,52,0,1,18,0,0,0
57,03/19/20,69,0,1,17,0,0,0
58,03/20/20,85,0,1,16,0,0,0
59,03/21/20,85,0,1,0,0,0,0
60,03/22/20,112,0,1,27,0,0,0
61,03/23/20,127,0,1,15,0,0,0
62,03/24/20,154,0,1,27,0,0,0
63,03/25/20,172,0,1,18,0,0,0
64,03/26/20,212,0,1,40,0,0,0
65,03/27/20,235,1,18,23,1,17,18
66,03/28/20,246,1,18,11,0,0,0
67,03/29/20,259,3,18,13,2,0,2
68,03/30/20,268,5,26,9,2,8,10
69,03/31/20,274,5,30,6,0,4,4
70,04/01/20,278,5,36,4,0,6,6
71,04/02/20,299,5,45,21,0,9,9
72,04/03/20,310,5,58,11,0,13,13
73,04/04/20,323,5,74,13,0,16,16
74,04/05/20,345,5,110,22,0,36,36
75,04/06/20,349,6,126,4,1,16,17
76,04/07/20,353,6,138,4,0,12,12
77,04/08/20,358,6,150,5,0,12,12
78,04/09/20,372,7,161,14,1,11,12
79,04/10/20,372,7,170,0,0,9,9
80,04/11/20,381,7,177,9,0,7,7
81,04/12/20,389,7,201,8,0,24,24
82,04/13/20,391,7,215,2,0,14,14
83,04/14/20,397,7,235,6,0,20,20
84,04/15/20,401,7,250,4,0,15,15
