dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
01/22/20,0,0,0,0,0,0,0
01/23/20,0,0,0,0,0,0,0
01/24/20,0,0,0,0,0,0,0
01/25/20,0,0,0,0,0,0,0
01/26/20,0,0,0,0,0,0,0
01/27/20,0,0,0,0,0,0,0
01/28/20,0,0,0,0,0,0,0
01/29/20,0,0,0,0,0,0,0
01/30/20,0,0,0,0,0,0,0
01/31/20,0,0,0,0,0,0,0
02/01/20,0,0,0,0,0,0,0
02/02/20,0,0,0,0,0,0,0
02/03/20,0,0,0,0,0,0,0
02/04/20,0,0,0,0,0,0,0
02/05/20,0,0,0,0,0,0,0
02/06/20,0,0,0,0,0,0,0
02/07/20,0,0,0,0,0,0,0
02/08/20,0,0,0,0,0,0,0
02/09/20,0,0,0,0,0,0,0
02/10/20,0,0,0,0,0,0,0
02/11/20,0,0,0,0,0,0,0
02/12/20,0,0,0,0,0,0,0
02/13/20,0,0,0,0,0,0,0
02/14/20,0,0,0,0,0,0,0
02/15/20,0,0,0,0,0,0,0
02/16/20,0,0,0,0,0,0,0
02/17/20,0,0,0,0,0,0,0
02/18/20,0,0,0,0,0,0,0
02/19/20,0,0,0,0,0,0,0
02/20/20,0,0,0,0,0,0,0
02/21/20,0,0,0,0,0,0,0
02/22/20,0,0,0,0,0,0,0
02/23/20,0,0,0,0,0,0,0
02/24/20,0,0,0,0,0,0,0
02/25/20,0,0,0,0,0,0,0
02/26/20,0,0,0,0,0,0,0
02/27/20,0,0,0,0,0,0,0
02/28/20,0,0,0,0,0,0,0
02/29/20,0,0,0,0,0,0,0
03/01/20,0,0,0,0,0,0,0
03/02/20,0,0,0,0,0,0,0
03/03/20,0,0,0,0,0,0,0
03/04/20,0,0,0,0,0,0,0
03/05/20,0,0,0,0,0,0,0
03/06/20,0,0,0,0,0,0,0
03/07/20,0,0,0,0,0,0,0
03/08/20,0,0,0,0,0,0,0
03/09/20,0,0,0,0,0,0,0
03/10/20,0,0,0,0,0,0,0
03/11/20,0,0,0,0,0,0,0
03/12/20,0,0,0,0,0,0,0
03/13/20,1,0,0,1,0,0,0
03/14/20,1,0,0,0,0,0,0
03/15/20,3,0,0,2,0,0,0
03/16/20,3,0,0,0,0,0,0
03/17/20,3,0,0,0,0,0,0
03/18/20,3,0,0,0,0,0,0
03/19/20,7,0,0,4,0,0,0
03/20/20,7,0,0,0,0,0,0
03/21/20,7,0,0,0,0,0,0
03/22/20,15,0,0,8,0,0,0
03/23/20,16,0,0,1,0,0,0
03/24/20,25,0,0,9,0,0,0
03/25/20,28,0,1,3,0,1,1
03/26/20,31,1,1,3,1,0,1
03/27/20,31,1,1,0,0,0,0
03/28/20,38,1,1,7,0,0,0
03/29/20,42,1,1,4,0,0,0
03/30/20,50,1,1,8,0,0,0
03/31/20,59,1,1,9,0,0,0
04/01/20,81,1,3,22,0,2,2
04/02/20,110,3,4,29,2,1,3
04/03/20,122,4,4,12,1,0,1
04/04/20,126,4,4,4,0,0,0
04/05/20,142,4,4,16,0,0,0
04/06/20,158,6,4,16,2,0,2
04/07/20,172,6,7,14,0,3,3
04/08/20,179,6,9,7,0,2,2
04/09/20,184,7,12,5,1,3,4
04/10/20,189,7,22,5,0,10,10
04/11/20,191,7,24,2,0,2,2
04/12/20,197,8,25,6,1,1,2
04/13/20,208,9,40,11,1,15,16
04/14/20,216,9,41,8,0,1,1
04/15/20,225,10,53,9,1,12,13
04/16/20,234,11,53,9,1,0,1
