,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,01/22/20,0,0,0,0,0,0,0
1,01/23/20,0,0,0,0,0,0,0
2,01/24/20,0,0,0,0,0,0,0
3,01/25/20,0,0,0,0,0,0,0
4,01/26/20,0,0,0,0,0,0,0
5,01/27/20,0,0,0,0,0,0,0
6,01/28/20,0,0,0,0,0,0,0
7,01/29/20,0,0,0,0,0,0,0
8,01/30/20,0,0,0,0,0,0,0
9,01/31/20,0,0,0,0,0,0,0
10,02/01/20,0,0,0,0,0,0,0
11,02/02/20,0,0,0,0,0,0,0
12,02/03/20,0,0,0,0,0,0,0
13,02/04/20,0,0,0,0,0,0,0
14,02/05/20,0,0,0,0,0,0,0
15,02/06/20,0,0,0,0,0,0,0
16,02/07/20,0,0,0,0,0,0,0
17,02/08/20,0,0,0,0,0,0,0
18,02/09/20,0,0,0,0,0,0,0
19,02/10/20,0,0,0,0,0,0,0
20,02/11/20,0,0,0,0,0,0,0
21,02/12/20,0,0,0,0,0,0,0
22,02/13/20,0,0,0,0,0,0,0
23,02/14/20,0,0,0,0,0,0,0
24,02/15/20,0,0,0,0,0,0,0
25,02/16/20,0,0,0,0,0,0,0
26,02/17/20,0,0,0,0,0,0,0
27,02/18/20,0,0,0,0,0,0,0
28,02/19/20,0,0,0,0,0,0,0
29,02/20/20,0,0,0,0,0,0,0
30,02/21/20,1,0,0,1,0,0,0
31,02/22/20,1,0,0,0,0,0,0
32,02/23/20,1,0,0,0,0,0,0
33,02/24/20,1,0,0,0,0,0,0
34,02/25/20,1,0,0,0,0,0,0
35,02/26/20,2,0,0,1,0,0,0
36,02/27/20,2,0,0,0,0,0,0
37,02/28/20,2,0,0,0,0,0,0
38,02/29/20,4,0,0,2,0,0,0
39,03/01/20,10,0,0,6,0,0,0
40,03/02/20,13,0,0,3,0,0,0
41,03/03/20,13,0,0,0,0,0,0
42,03/04/20,13,0,1,0,0,1,1
43,03/05/20,16,0,1,3,0,0,0
44,03/06/20,22,0,1,6,0,0,0
45,03/07/20,22,0,1,0,0,0,0
46,03/08/20,32,0,1,10,0,0,0
47,03/09/20,32,0,1,0,0,0,0
48,03/10/20,41,1,1,9,1,0,1
49,03/11/20,61,3,1,20,2,0,2
50,03/12/20,61,3,1,0,0,0,0
51,03/13/20,77,3,1,16,0,0,0
52,03/14/20,93,3,1,16,0,0,0
53,03/15/20,110,3,1,17,0,0,0
54,03/16/20,110,3,1,0,0,0,0
55,03/17/20,120,3,3,10,0,2,2
56,03/18/20,133,3,3,13,0,0,0
57,03/19/20,157,4,4,24,1,1,2
58,03/20/20,163,4,4,6,0,0,0
59,03/21/20,187,4,4,24,0,0,0
60,03/22/20,248,4,8,61,0,4,4
61,03/23/20,267,4,8,19,0,0,0
62,03/24/20,318,4,8,51,0,0,0
63,03/25/20,333,6,20,15,2,12,14
64,03/26/20,368,6,23,35,0,3,3
65,03/27/20,391,8,27,23,2,4,6
66,03/28/20,412,8,30,21,0,3,3
67,03/29/20,438,10,30,26,2,0,2
68,03/30/20,446,11,35,8,1,5,6
69,03/31/20,470,12,37,24,1,2,3
70,04/01/20,479,14,43,9,2,6,8
71,04/02/20,494,16,46,15,2,3,5
72,04/03/20,508,17,50,14,1,4,5
73,04/04/20,520,17,54,12,0,4,4
74,04/05/20,527,18,54,7,1,0,1
75,04/06/20,541,19,60,14,1,6,7
76,04/07/20,548,19,62,7,0,2,2
77,04/08/20,576,19,62,28,0,0,0
78,04/09/20,582,19,67,6,0,5,5
79,04/10/20,609,20,76,27,1,9,10
80,04/11/20,619,20,77,10,0,1,1
81,04/12/20,630,20,80,11,0,3,3
82,04/13/20,632,20,80,2,0,0,0
83,04/14/20,641,21,80,9,1,0,1
84,04/15/20,658,21,85,17,0,5,5
