,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,01/22/20,0,0,0,0,0,0,0
1,01/23/20,0,0,0,0,0,0,0
2,01/24/20,0,0,0,0,0,0,0
3,01/25/20,3,0,0,3,0,0,0
4,01/26/20,4,0,0,1,0,0,0
5,01/27/20,4,0,0,0,0,0,0
6,01/28/20,4,0,0,0,0,0,0
7,01/29/20,7,0,0,3,0,0,0
8,01/30/20,8,0,0,1,0,0,0
9,01/31/20,8,0,0,0,0,0,0
10,02/01/20,8,0,0,0,0,0,0
11,02/02/20,8,0,0,0,0,0,0
12,02/03/20,8,0,0,0,0,0,0
13,02/04/20,10,0,0,2,0,0,0
14,02/05/20,12,0,0,2,0,0,0
15,02/06/20,12,0,0,0,0,0,0
16,02/07/20,12,0,1,0,0,1,1
17,02/08/20,16,0,1,4,0,0,0
18,02/09/20,16,0,1,0,0,0,0
19,02/10/20,18,0,1,2,0,0,0
20,02/11/20,18,0,3,0,0,2,2
21,02/12/20,18,0,3,0,0,0,0
22,02/13/20,19,0,3,1,0,0,0
23,02/14/20,19,0,3,0,0,0,0
24,02/15/20,22,0,7,3,0,4,4
25,02/16/20,22,0,7,0,0,0,0
26,02/17/20,22,0,7,0,0,0,0
27,02/18/20,22,0,13,0,0,6,6
28,02/19/20,22,0,15,0,0,2,2
29,02/20/20,22,0,15,0,0,0,0
30,02/21/20,22,0,15,0,0,0,0
31,02/22/20,22,0,15,0,0,0,0
32,02/23/20,22,0,15,0,0,0,0
33,02/24/20,22,0,18,0,0,3,3
34,02/25/20,22,0,18,0,0,0,0
35,02/26/20,22,0,18,0,0,0,0
36,02/27/20,23,0,18,1,0,0,0
37,02/28/20,23,0,18,0,0,0,0
38,02/29/20,25,0,18,2,0,0,0
39,03/01/20,29,0,18,4,0,0,0
40,03/02/20,29,0,18,0,0,0,0
41,03/03/20,36,0,22,7,0,4,4
42,03/04/20,50,0,22,14,0,0,0
43,03/05/20,50,0,22,0,0,0,0
44,03/06/20,83,0,22,33,0,0,0
45,03/07/20,93,0,23,10,0,1,1
46,03/08/20,99,0,24,6,0,1,1
47,03/09/20,117,0,24,18,0,0,0
48,03/10/20,129,0,24,12,0,0,0
49,03/11/20,149,0,26,20,0,2,2
50,03/12/20,149,0,26,0,0,0,0
51,03/13/20,197,0,26,48,0,0,0
52,03/14/20,238,0,35,41,0,9,9
53,03/15/20,428,0,42,190,0,7,7
54,03/16/20,566,0,42,138,0,0,0
55,03/17/20,673,2,49,107,2,7,9
56,03/18/20,790,2,60,117,0,11,11
57,03/19/20,900,2,75,110,0,15,15
58,03/20/20,1030,3,87,130,1,12,13
59,03/21/20,1183,4,114,153,1,27,28
60,03/22/20,1306,10,139,123,6,25,31
61,03/23/20,1518,14,139,212,4,0,4
62,03/24/20,1624,16,183,106,2,44,46
63,03/25/20,1796,20,199,172,4,16,20
64,03/26/20,2031,23,215,235,3,16,19
65,03/27/20,2161,26,259,130,3,44,47
66,03/28/20,2320,27,320,159,1,61,62
67,03/29/20,2470,35,388,150,8,68,76
68,03/30/20,2626,37,479,156,2,91,93
69,03/31/20,2766,43,537,140,6,58,64
70,04/01/20,2908,45,645,142,2,108,110
71,04/02/20,3116,50,767,208,5,122,127
72,04/03/20,3333,53,827,217,3,60,63
73,04/04/20,3483,57,915,150,4,88,92
74,04/05/20,3662,61,1005,179,4,90,94
75,04/06/20,3793,62,1241,131,1,236,237
76,04/07/20,3963,63,1321,170,1,80,81
77,04/08/20,4119,65,1487,156,2,166,168
78,04/09/20,4228,67,1608,109,2,121,123
79,04/10/20,4346,70,1830,118,3,222,225
80,04/11/20,4530,73,1995,184,3,165,168
81,04/12/20,4683,76,2108,153,3,113,116
82,04/13/20,4817,77,2276,134,1,168,169
83,04/14/20,4987,82,2478,170,5,202,207
84,04/15/20,5072,83,2647,85,1,169,170
