dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
01/22/20,0,0,0,0,0,0,0
01/23/20,0,0,0,0,0,0,0
01/24/20,0,0,0,0,0,0,0
01/25/20,0,0,0,0,0,0,0
01/26/20,0,0,0,0,0,0,0
01/27/20,0,0,0,0,0,0,0
01/28/20,0,0,0,0,0,0,0
01/29/20,0,0,0,0,0,0,0
01/30/20,0,0,0,0,0,0,0
01/31/20,0,0,0,0,0,0,0
02/01/20,0,0,0,0,0,0,0
02/02/20,0,0,0,0,0,0,0
02/03/20,0,0,0,0,0,0,0
02/04/20,0,0,0,0,0,0,0
02/05/20,0,0,0,0,0,0,0
02/06/20,0,0,0,0,0,0,0
02/07/20,0,0,0,0,0,0,0
02/08/20,0,0,0,0,0,0,0
02/09/20,0,0,0,0,0,0,0
02/10/20,0,0,0,0,0,0,0
02/11/20,0,0,0,0,0,0,0
02/12/20,0,0,0,0,0,0,0
02/13/20,0,0,0,0,0,0,0
02/14/20,0,0,0,0,0,0,0
02/15/20,0,0,0,0,0,0,0
02/16/20,0,0,0,0,0,0,0
02/17/20,0,0,0,0,0,0,0
02/18/20,0,0,0,0,0,0,0
02/19/20,0,0,0,0,0,0,0
02/20/20,0,0,0,0,0,0,0
02/21/20,0,0,0,0,0,0,0
02/22/20,0,0,0,0,0,0,0
02/23/20,0,0,0,0,0,0,0
02/24/20,0,0,0,0,0,0,0
02/25/20,0,0,0,0,0,0,0
02/26/20,0,0,0,0,0,0,0
02/27/20,0,0,0,0,0,0,0
02/28/20,1,0,0,1,0,0,0
02/29/20,1,0,0,0,0,0,0
03/01/20,1,0,0,0,0,0,0
03/02/20,1,0,0,0,0,0,0
03/03/20,1,0,0,0,0,0,0
03/04/20,1,0,0,0,0,0,0
03/05/20,1,0,0,0,0,0,0
03/06/20,1,0,0,0,0,0,0
03/07/20,1,0,0,0,0,0,0
03/08/20,1,0,0,0,0,0,0
03/09/20,2,0,0,1,0,0,0
03/10/20,2,0,0,0,0,0,0
03/11/20,2,0,0,0,0,0,0
03/12/20,2,0,0,0,0,0,0
03/13/20,2,0,0,0,0,0,0
03/14/20,2,0,0,0,0,0,0
03/15/20,2,0,0,0,0,0,0
03/16/20,2,0,0,0,0,0,0
03/17/20,3,0,0,1,0,0,0
03/18/20,8,0,1,5,0,1,1
03/19/20,8,0,1,0,0,0,0
03/20/20,12,0,1,4,0,0,0
03/21/20,22,0,1,10,0,0,0
03/22/20,30,0,2,8,0,1,1
03/23/20,40,1,2,10,1,0,1
03/24/20,44,1,2,4,0,0,0
03/25/20,51,1,2,7,0,0,0
03/26/20,65,1,2,14,0,0,0
03/27/20,70,1,3,5,0,1,1
03/28/20,89,1,3,19,0,0,0
03/29/20,111,1,3,22,0,0,0
03/30/20,131,2,8,20,1,5,6
03/31/20,135,2,8,4,0,0,0
04/01/20,174,2,9,39,0,1,1
04/02/20,184,2,20,10,0,11,11
04/03/20,210,4,25,26,2,5,7
04/04/20,214,4,25,4,0,0,0
04/05/20,232,5,33,18,1,8,9
04/06/20,238,5,35,6,0,2,2
04/07/20,254,6,44,16,1,9,10
04/08/20,276,6,44,22,0,0,0
04/09/20,288,7,51,12,1,7,8
04/10/20,305,7,58,17,0,7,7
04/11/20,318,10,70,13,3,12,15
04/12/20,323,10,85,5,0,15,15
04/13/20,343,10,91,20,0,6,6
04/14/20,373,11,99,30,1,8,9
04/15/20,407,12,128,34,1,29,30
04/16/20,442,13,152,35,1,24,25
