,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,01/22/20,0,0,0,0,0,0,0
1,01/23/20,0,0,0,0,0,0,0
2,01/24/20,0,0,0,0,0,0,0
3,01/25/20,0,0,0,0,0,0,0
4,01/26/20,0,0,0,0,0,0,0
5,01/27/20,0,0,0,0,0,0,0
6,01/28/20,0,0,0,0,0,0,0
7,01/29/20,0,0,0,0,0,0,0
8,01/30/20,0,0,0,0,0,0,0
9,01/31/20,0,0,0,0,0,0,0
10,02/01/20,0,0,0,0,0,0,0
11,02/02/20,0,0,0,0,0,0,0
12,02/03/20,0,0,0,0,0,0,0
13,02/04/20,0,0,0,0,0,0,0
14,02/05/20,0,0,0,0,0,0,0
15,02/06/20,0,0,0,0,0,0,0
16,02/07/20,0,0,0,0,0,0,0
17,02/08/20,0,0,0,0,0,0,0
18,02/09/20,0,0,0,0,0,0,0
19,02/10/20,0,0,0,0,0,0,0
20,02/11/20,0,0,0,0,0,0,0
21,02/12/20,0,0,0,0,0,0,0
22,02/13/20,0,0,0,0,0,0,0
23,02/14/20,0,0,0,0,0,0,0
24,02/15/20,0,0,0,0,0,0,0
25,02/16/20,0,0,0,0,0,0,0
26,02/17/20,0,0,0,0,0,0,0
27,02/18/20,0,0,0,0,0,0,0
28,02/19/20,0,0,0,0,0,0,0
29,02/20/20,0,0,0,0,0,0,0
30,02/21/20,0,0,0,0,0,0,0
31,02/22/20,0,0,0,0,0,0,0
32,02/23/20,0,0,0,0,0,0,0
33,02/24/20,0,0,0,0,0,0,0
34,02/25/20,0,0,0,0,0,0,0
35,02/26/20,0,0,0,0,0,0,0
36,02/27/20,0,0,0,0,0,0,0
37,02/28/20,0,0,0,0,0,0,0
38,02/29/20,0,0,0,0,0,0,0
39,03/01/20,0,0,0,0,0,0,0
40,03/02/20,0,0,0,0,0,0,0
41,03/03/20,0,0,0,0,0,0,0
42,03/04/20,0,0,0,0,0,0,0
43,03/05/20,2,0,0,2,0,0,0
44,03/06/20,7,0,0,5,0,0,0
45,03/07/20,7,0,0,0,0,0,0
46,03/08/20,16,0,0,9,0,0,0
47,03/09/20,16,0,0,0,0,0,0
48,03/10/20,31,0,0,15,0,0,0
49,03/11/20,57,0,0,26,0,0,0
50,03/12/20,89,0,0,32,0,0,0
51,03/13/20,141,0,0,52,0,0,0
52,03/14/20,181,1,0,40,1,0,1
53,03/15/20,219,1,0,38,0,0,0
54,03/16/20,253,1,0,34,0,0,0
55,03/17/20,275,1,0,22,0,0,0
56,03/18/20,275,1,0,0,0,0,0
57,03/19/20,286,1,0,11,0,0,0
58,03/20/20,341,1,0,55,0,0,0
59,03/21/20,383,1,0,42,0,0,0
60,03/22/20,414,2,0,31,1,0,1
61,03/23/20,442,3,0,28,1,0,1
62,03/24/20,480,4,0,38,1,0,1
63,03/25/20,528,5,10,48,1,10,11
64,03/26/20,562,6,10,34,1,0,1
65,03/27/20,632,9,10,70,3,0,3
66,03/28/20,684,9,10,52,0,0,0
67,03/29/20,730,11,10,46,2,0,2
68,03/30/20,756,11,10,26,0,0,0
69,03/31/20,802,15,10,46,4,0,4
70,04/01/20,841,15,10,39,0,0,0
71,04/02/20,897,17,70,56,2,60,62
72,04/03/20,934,20,70,37,3,0,3
73,04/04/20,977,22,79,43,2,9,11
74,04/05/20,997,28,79,20,6,0,6
75,04/06/20,1021,30,102,24,2,23,25
76,04/07/20,1059,36,102,38,6,0,6
77,04/08/20,1091,40,120,32,4,18,22
78,04/09/20,1124,43,128,33,3,8,11
79,04/10/20,1160,45,137,36,2,9,11
80,04/11/20,1188,50,148,28,5,11,16
81,04/12/20,1205,53,150,17,3,2,5
82,04/13/20,1212,55,152,7,2,2,4
83,04/14/20,1220,56,152,8,1,0,1
84,04/15/20,1248,61,165,28,5,13,18
