dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
01/22/20,0,0,0,0,0,0,0
01/23/20,0,0,0,0,0,0,0
01/24/20,0,0,0,0,0,0,0
01/25/20,0,0,0,0,0,0,0
01/26/20,0,0,0,0,0,0,0
01/27/20,0,0,0,0,0,0,0
01/28/20,0,0,0,0,0,0,0
01/29/20,0,0,0,0,0,0,0
01/30/20,0,0,0,0,0,0,0
01/31/20,0,0,0,0,0,0,0
02/01/20,0,0,0,0,0,0,0
02/02/20,0,0,0,0,0,0,0
02/03/20,0,0,0,0,0,0,0
02/04/20,0,0,0,0,0,0,0
02/05/20,0,0,0,0,0,0,0
02/06/20,0,0,0,0,0,0,0
02/07/20,0,0,0,0,0,0,0
02/08/20,0,0,0,0,0,0,0
02/09/20,0,0,0,0,0,0,0
02/10/20,0,0,0,0,0,0,0
02/11/20,0,0,0,0,0,0,0
02/12/20,0,0,0,0,0,0,0
02/13/20,0,0,0,0,0,0,0
02/14/20,0,0,0,0,0,0,0
02/15/20,0,0,0,0,0,0,0
02/16/20,0,0,0,0,0,0,0
02/17/20,0,0,0,0,0,0,0
02/18/20,0,0,0,0,0,0,0
02/19/20,0,0,0,0,0,0,0
02/20/20,0,0,0,0,0,0,0
02/21/20,0,0,0,0,0,0,0
02/22/20,0,0,0,0,0,0,0
02/23/20,0,0,0,0,0,0,0
02/24/20,0,0,0,0,0,0,0
02/25/20,0,0,0,0,0,0,0
02/26/20,0,0,0,0,0,0,0
02/27/20,0,0,0,0,0,0,0
02/28/20,0,0,0,0,0,0,0
02/29/20,0,0,0,0,0,0,0
03/01/20,0,0,0,0,0,0,0
03/02/20,0,0,0,0,0,0,0
03/03/20,0,0,0,0,0,0,0
03/04/20,0,0,0,0,0,0,0
03/05/20,0,0,0,0,0,0,0
03/06/20,1,0,0,1,0,0,0
03/07/20,1,0,0,0,0,0,0
03/08/20,1,0,0,0,0,0,0
03/09/20,1,0,0,0,0,0,0
03/10/20,1,0,0,0,0,0,0
03/11/20,1,0,0,0,0,0,0
03/12/20,1,0,0,0,0,0,0
03/13/20,1,0,0,0,0,0,0
03/14/20,1,0,0,0,0,0,0
03/15/20,1,0,0,0,0,0,0
03/16/20,1,0,0,0,0,0,0
03/17/20,1,0,0,0,0,0,0
03/18/20,1,0,0,0,0,0,0
03/19/20,1,0,0,0,0,0,0
03/20/20,9,0,1,8,0,1,1
03/21/20,16,0,1,7,0,0,0
03/22/20,16,0,1,0,0,0,0
03/23/20,18,0,1,2,0,0,0
03/24/20,20,0,1,2,0,0,0
03/25/20,23,0,1,3,0,0,0
03/26/20,23,0,1,0,0,0,0
03/27/20,25,1,1,2,1,0,1
03/28/20,25,1,1,0,0,0,0
03/29/20,25,1,1,0,0,0,0
03/30/20,30,1,1,5,0,0,0
03/31/20,34,1,10,4,0,9,9
04/01/20,36,2,10,2,1,0,1
04/02/20,39,2,17,3,0,7,7
04/03/20,40,3,17,1,1,0,1
04/04/20,41,3,17,1,0,0,0
04/05/20,44,3,20,3,0,3,3
04/06/20,58,3,23,14,0,3,3
04/07/20,65,3,23,7,0,0,0
04/08/20,70,3,23,5,0,0,0
04/09/20,73,3,24,3,0,1,1
04/10/20,76,3,25,3,0,1,1
04/11/20,76,3,25,0,0,0,0
04/12/20,76,3,29,0,0,4,4
04/13/20,77,3,29,1,0,0,0
04/14/20,77,3,32,0,0,3,3
04/15/20,81,3,35,4,0,3,3
04/16/20,81,5,45,0,2,10,12
