,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,01/22/20,1,0,0,0,0,0,0
1,01/23/20,1,0,0,0,0,0,0
2,01/24/20,2,0,0,1,0,0,0
3,01/25/20,2,0,0,0,0,0,0
4,01/26/20,5,0,0,3,0,0,0
5,01/27/20,5,0,0,0,0,0,0
6,01/28/20,5,0,0,0,0,0,0
7,01/29/20,5,0,0,0,0,0,0
8,01/30/20,5,0,0,0,0,0,0
9,01/31/20,7,0,0,2,0,0,0
10,02/01/20,8,0,0,1,0,0,0
11,02/02/20,8,0,0,0,0,0,0
12,02/03/20,11,0,0,3,0,0,0
13,02/04/20,11,0,0,0,0,0,0
14,02/05/20,11,0,0,0,0,0,0
15,02/06/20,11,0,0,0,0,0,0
16,02/07/20,11,0,0,0,0,0,0
17,02/08/20,11,0,0,0,0,0,0
18,02/09/20,11,0,3,0,0,3,3
19,02/10/20,11,0,3,0,0,0,0
20,02/11/20,12,0,3,1,0,0,0
21,02/12/20,12,0,3,0,0,0,0
22,02/13/20,13,0,3,1,0,0,0
23,02/14/20,13,0,3,0,0,0,0
24,02/15/20,13,0,3,0,0,0,0
25,02/16/20,13,0,3,0,0,0,0
26,02/17/20,13,0,3,0,0,0,0
27,02/18/20,13,0,3,0,0,0,0
28,02/19/20,13,0,3,0,0,0,0
29,02/20/20,13,0,3,0,0,0,0
30,02/21/20,15,0,5,2,0,2,2
31,02/22/20,15,0,5,0,0,0,0
32,02/23/20,15,0,5,0,0,0,0
33,02/24/20,51,0,5,36,0,0,0
34,02/25/20,51,0,6,0,0,1,1
35,02/26/20,57,0,6,6,0,0,0
36,02/27/20,58,0,6,1,0,0,0
37,02/28/20,60,0,7,2,0,1,1
38,02/29/20,68,1,7,8,1,0,1
39,03/01/20,74,1,7,6,0,0,0
40,03/02/20,98,6,7,24,5,0,5
41,03/03/20,118,7,7,20,1,0,1
42,03/04/20,149,11,7,31,4,0,4
43,03/05/20,217,12,7,68,1,0,1
44,03/06/20,262,14,7,45,2,0,2
45,03/07/20,402,17,7,140,3,0,3
46,03/08/20,518,21,7,116,4,0,4
47,03/09/20,583,22,7,65,1,0,1
48,03/10/20,959,28,8,376,6,1,7
49,03/11/20,1281,36,8,322,8,0,8
50,03/12/20,1663,40,12,382,4,4,8
51,03/13/20,2179,47,12,516,7,0,7
52,03/14/20,2727,54,12,548,7,0,7
53,03/15/20,3499,63,12,772,9,0,9
54,03/16/20,4632,85,17,1133,22,5,27
55,03/17/20,6421,108,17,1789,23,0,23
56,03/18/20,7783,118,105,1362,10,88,98
57,03/19/20,13747,200,121,5964,82,16,98
58,03/20/20,19273,244,147,5526,44,26,70
59,03/21/20,25600,307,176,6327,63,29,92
60,03/22/20,33276,417,178,7676,110,2,112
61,03/23/20,43843,557,178,10567,140,0,140
62,03/24/20,53736,706,348,9893,149,170,319
63,03/25/20,65778,942,361,12042,236,13,249
64,03/26/20,83836,1209,681,18058,267,320,587
65,03/27/20,101657,1581,869,17821,372,188,560
66,03/28/20,121465,2026,1072,19808,445,203,648
67,03/29/20,140909,2467,2665,19444,441,1593,2034
68,03/30/20,161831,2978,5644,20922,511,2979,3490
69,03/31/20,188172,3873,7024,26341,895,1380,2275
70,04/01/20,213372,4757,8474,25200,884,1450,2334
71,04/02/20,243762,5926,9001,30390,1169,527,1696
72,04/03/20,275586,7087,9707,31824,1161,706,1867
73,04/04/20,308853,8407,14652,33267,1320,4945,6265
74,04/05/20,337072,9619,17448,28219,1212,2796,4008
75,04/06/20,366667,10783,19581,29595,1164,2133,3297
76,04/07/20,396223,12722,21763,29556,1939,2182,4121
77,04/08/20,429052,14695,23559,32829,1973,1796,3769
78,04/09/20,461437,16478,25410,32385,1783,1851,3634
79,04/10/20,496535,18586,28790,35098,2108,3380,5488
80,04/11/20,526396,20462,31270,29861,1876,2480,4356
81,04/12/20,555313,22019,32988,28917,1557,1718,3275
82,04/13/20,580619,23528,43482,25306,1509,10494,12003
83,04/14/20,607670,25831,47763,27051,2303,4281,6584
84,04/15/20,636350,28325,52096,28680,2494,4333,6827
