dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
03/01/20,1,0,0,0,0,0,0
03/02/20,1,0,0,0,0,0,0
03/03/20,2,0,0,1,0,0,0
03/04/20,2,0,0,0,0,0,0
03/05/20,2,0,0,0,0,0,0
03/06/20,3,0,0,1,0,0,0
03/07/20,2,0,0,-1,0,0,0
03/08/20,3,0,0,1,0,0,0
03/09/20,3,0,0,0,0,0,0
03/10/20,3,0,0,0,0,0,0
03/11/20,5,0,0,2,0,0,0
03/12/20,5,0,0,0,0,0,0
03/13/20,14,0,0,9,0,0,0
03/14/20,20,0,0,6,0,0,0
03/15/20,20,0,0,0,0,0,0
03/16/20,21,0,0,1,0,0,0
03/17/20,23,0,0,2,0,0,0
03/18/20,33,0,0,10,0,0,0
03/19/20,44,0,0,11,0,0,0
03/20/20,54,0,0,10,0,0,0
03/21/20,66,0,0,12,0,0,0
03/22/20,83,0,0,17,0,0,0
03/23/20,106,0,0,23,0,0,0
03/24/20,124,0,0,18,0,0,0
03/25/20,132,0,0,8,0,0,0
03/26/20,165,0,0,33,0,0,0
03/27/20,203,0,0,38,0,0,0
03/28/20,239,0,0,36,0,0,0
03/29/20,294,3,0,55,3,0,3
03/30/20,402,4,0,108,1,0,1
03/31/20,489,8,35,87,4,35,39
04/01/20,566,10,35,77,2,0,2
04/02/20,657,12,35,91,2,0,2
04/03/20,709,14,35,52,2,0,2
04/04/20,806,17,35,97,3,0,3
04/05/20,922,25,35,116,8,0,8
04/06/20,1082,27,35,160,2,0,2
04/07/20,1230,30,35,148,3,0,3
04/08/20,1450,35,35,220,5,0,5
04/09/20,1727,43,35,277,8,0,8
04/10/20,2015,49,35,288,6,0,6
04/11/20,2349,56,35,334,7,0,7
04/12/20,2665,63,35,316,7,0,7
04/13/20,2976,73,135,311,10,100,110
04/14/20,3251,80,135,275,7,0,7
04/15/20,3529,87,168,278,7,33,40
04/16/20,3838,105,182,309,18,14,32
