dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
03/07/20,1,0,0,0,0,0,0
03/08/20,1,0,0,0,0,0,0
03/09/20,1,0,0,0,0,0,0
03/10/20,2,0,0,1,0,0,0
03/11/20,2,0,0,0,0,0,0
03/12/20,4,0,0,2,0,0,0
03/13/20,6,0,0,2,0,0,0
03/14/20,6,0,0,0,0,0,0
03/15/20,28,0,0,22,0,0,0
03/16/20,39,0,0,11,0,0,0
03/17/20,51,0,0,12,0,0,0
03/18/20,63,0,0,12,0,0,0
03/19/20,78,0,0,15,0,0,0
03/20/20,112,0,0,34,0,0,0
03/21/20,136,0,0,24,0,0,0
03/22/20,181,1,0,45,1,0,1
03/23/20,257,1,0,76,0,0,0
03/24/20,299,1,0,42,0,0,0
03/25/20,346,1,0,47,0,0,0
03/26/20,402,1,0,56,0,0,0
03/27/20,480,2,0,78,1,0,1
03/28/20,602,2,0,122,0,0,0
03/29/20,719,2,0,117,0,0,0
03/30/20,806,4,0,87,2,0,2
03/31/20,887,5,0,81,1,0,1
04/01/20,1012,7,0,125,2,0,2
04/02/20,1074,7,0,62,0,0,0
04/03/20,1246,7,0,172,0,0,0
04/04/20,1428,8,0,182,1,0,1
04/05/20,1605,8,0,177,0,0,0
04/06/20,1675,13,0,70,5,0,5
04/07/20,1738,13,0,63,0,0,0
04/08/20,1846,13,0,108,0,0,0
04/09/20,1976,13,0,130,0,0,0
04/10/20,2102,17,0,126,4,0,4
04/11/20,2206,18,0,104,1,0,1
04/12/20,2303,18,0,97,0,0,0
04/13/20,2363,18,218,60,0,218,218
04/14/20,2412,19,218,49,1,0,1
04/15/20,2542,20,218,130,1,0,1
04/16/20,2683,21,357,141,1,139,140
