,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,01/22/20,0,0,0,0,0,0,0
1,01/23/20,0,0,0,0,0,0,0
2,01/24/20,0,0,0,0,0,0,0
3,01/25/20,0,0,0,0,0,0,0
4,01/26/20,0,0,0,0,0,0,0
5,01/27/20,0,0,0,0,0,0,0
6,01/28/20,0,0,0,0,0,0,0
7,01/29/20,0,0,0,0,0,0,0
8,01/30/20,0,0,0,0,0,0,0
9,01/31/20,0,0,0,0,0,0,0
10,02/01/20,0,0,0,0,0,0,0
11,02/02/20,0,0,0,0,0,0,0
12,02/03/20,0,0,0,0,0,0,0
13,02/04/20,0,0,0,0,0,0,0
14,02/05/20,0,0,0,0,0,0,0
15,02/06/20,0,0,0,0,0,0,0
16,02/07/20,0,0,0,0,0,0,0
17,02/08/20,0,0,0,0,0,0,0
18,02/09/20,0,0,0,0,0,0,0
19,02/10/20,0,0,0,0,0,0,0
20,02/11/20,0,0,0,0,0,0,0
21,02/12/20,0,0,0,0,0,0,0
22,02/13/20,0,0,0,0,0,0,0
23,02/14/20,0,0,0,0,0,0,0
24,02/15/20,0,0,0,0,0,0,0
25,02/16/20,0,0,0,0,0,0,0
26,02/17/20,0,0,0,0,0,0,0
27,02/18/20,0,0,0,0,0,0,0
28,02/19/20,0,0,0,0,0,0,0
29,02/20/20,0,0,0,0,0,0,0
30,02/21/20,0,0,0,0,0,0,0
31,02/22/20,0,0,0,0,0,0,0
32,02/23/20,0,0,0,0,0,0,0
33,02/24/20,0,0,0,0,0,0,0
34,02/25/20,0,0,0,0,0,0,0
35,02/26/20,0,0,0,0,0,0,0
36,02/27/20,0,0,0,0,0,0,0
37,02/28/20,0,0,0,0,0,0,0
38,02/29/20,0,0,0,0,0,0,0
39,03/01/20,0,0,0,0,0,0,0
40,03/02/20,0,0,0,0,0,0,0
41,03/03/20,0,0,0,0,0,0,0
42,03/04/20,0,0,0,0,0,0,0
43,03/05/20,0,0,0,0,0,0,0
44,03/06/20,0,0,0,0,0,0,0
45,03/07/20,0,0,0,0,0,0,0
46,03/08/20,0,0,0,0,0,0,0
47,03/09/20,0,0,0,0,0,0,0
48,03/10/20,0,0,0,0,0,0,0
49,03/11/20,0,0,0,0,0,0,0
50,03/12/20,0,0,0,0,0,0,0
51,03/13/20,0,0,0,0,0,0,0
52,03/14/20,0,0,0,0,0,0,0
53,03/15/20,1,0,0,1,0,0,0
54,03/16/20,6,0,0,5,0,0,0
55,03/17/20,10,0,0,4,0,0,0
56,03/18/20,15,0,0,5,0,0,0
57,03/19/20,23,0,0,8,0,0,0
58,03/20/20,33,0,0,10,0,0,0
59,03/21/20,43,0,0,10,0,0,0
60,03/22/20,43,0,0,0,0,0,0
61,03/23/20,46,0,0,3,0,0,0
62,03/24/20,50,0,0,4,0,0,0
63,03/25/20,60,0,0,10,0,0,0
64,03/26/20,75,0,0,15,0,0,0
65,03/27/20,88,1,5,13,1,5,6
66,03/28/20,104,2,5,16,1,0,1
67,03/29/20,144,2,7,40,0,2,2
68,03/30/20,149,2,7,5,0,0,0
69,03/31/20,172,2,7,23,0,0,0
70,04/01/20,181,2,12,9,0,5,5
71,04/02/20,205,2,25,24,0,13,13
72,04/03/20,227,2,25,22,0,0,0
73,04/04/20,266,2,25,39,0,0,0
74,04/05/20,342,2,30,76,0,5,5
75,04/06/20,457,2,30,115,0,0,0
76,04/07/20,520,2,30,63,0,0,0
77,04/08/20,545,3,30,25,1,0,1
78,04/09/20,582,3,38,37,0,8,8
79,04/10/20,624,3,42,42,0,4,4
80,04/11/20,767,4,42,143,1,0,1
81,04/12/20,865,4,66,98,0,24,24
82,04/13/20,998,4,85,133,0,19,19
83,04/14/20,1165,4,99,167,0,14,14
84,04/15/20,1302,4,107,137,0,8,8
