dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
01/22/20,0,0,0,0,0,0,0
01/23/20,0,0,0,0,0,0,0
01/24/20,0,0,0,0,0,0,0
01/25/20,0,0,0,0,0,0,0
01/26/20,0,0,0,0,0,0,0
01/27/20,0,0,0,0,0,0,0
01/28/20,0,0,0,0,0,0,0
01/29/20,0,0,0,0,0,0,0
01/30/20,0,0,0,0,0,0,0
01/31/20,0,0,0,0,0,0,0
02/01/20,0,0,0,0,0,0,0
02/02/20,0,0,0,0,0,0,0
02/03/20,0,0,0,0,0,0,0
02/04/20,0,0,0,0,0,0,0
02/05/20,0,0,0,0,0,0,0
02/06/20,0,0,0,0,0,0,0
02/07/20,0,0,0,0,0,0,0
02/08/20,0,0,0,0,0,0,0
02/09/20,0,0,0,0,0,0,0
02/10/20,0,0,0,0,0,0,0
02/11/20,0,0,0,0,0,0,0
02/12/20,0,0,0,0,0,0,0
02/13/20,0,0,0,0,0,0,0
02/14/20,0,0,0,0,0,0,0
02/15/20,0,0,0,0,0,0,0
02/16/20,0,0,0,0,0,0,0
02/17/20,0,0,0,0,0,0,0
02/18/20,0,0,0,0,0,0,0
02/19/20,0,0,0,0,0,0,0
02/20/20,0,0,0,0,0,0,0
02/21/20,0,0,0,0,0,0,0
02/22/20,0,0,0,0,0,0,0
02/23/20,0,0,0,0,0,0,0
02/24/20,0,0,0,0,0,0,0
02/25/20,0,0,0,0,0,0,0
02/26/20,0,0,0,0,0,0,0
02/27/20,0,0,0,0,0,0,0
02/28/20,0,0,0,0,0,0,0
02/29/20,0,0,0,0,0,0,0
03/01/20,0,0,0,0,0,0,0
03/02/20,0,0,0,0,0,0,0
03/03/20,0,0,0,0,0,0,0
03/04/20,0,0,0,0,0,0,0
03/05/20,0,0,0,0,0,0,0
03/06/20,0,0,0,0,0,0,0
03/07/20,0,0,0,0,0,0,0
03/08/20,0,0,0,0,0,0,0
03/09/20,2,0,0,2,0,0,0
03/10/20,10,0,0,8,0,0,0
03/11/20,12,1,0,2,1,0,1
03/12/20,23,1,0,11,0,0,0
03/13/20,33,1,0,10,0,0,0
03/14/20,38,1,0,5,0,0,0
03/15/20,42,1,0,4,0,0,0
03/16/20,51,1,0,9,0,0,0
03/17/20,55,1,0,4,0,0,0
03/18/20,59,2,0,4,1,0,1
03/19/20,64,2,0,5,0,0,0
03/20/20,70,2,0,6,0,0,0
03/21/20,76,2,2,6,0,2,2
03/22/20,89,2,2,13,0,0,0
03/23/20,104,4,2,15,2,0,2
03/24/20,123,5,10,19,1,8,9
03/25/20,146,5,17,23,0,7,7
03/26/20,174,6,17,28,1,0,1
03/27/20,186,8,31,12,2,14,16
03/28/20,197,10,31,11,2,0,2
03/29/20,212,10,33,15,0,2,2
03/30/20,223,11,44,11,1,11,12
03/31/20,243,15,52,20,4,8,12
04/01/20,259,15,67,16,0,15,15
04/02/20,277,16,76,18,1,9,10
04/03/20,304,17,89,27,1,13,14
04/04/20,333,20,99,29,3,10,13
04/05/20,361,20,104,28,0,5,5
04/06/20,377,21,116,16,1,12,13
04/07/20,383,22,131,6,1,15,16
04/08/20,400,22,154,17,0,23,23
04/09/20,409,23,165,9,1,11,12
04/10/20,416,23,182,7,0,17,17
04/11/20,433,23,197,17,0,15,15
04/12/20,446,23,217,13,0,20,20
04/13/20,467,23,232,21,0,15,15
04/14/20,475,24,248,8,1,16,17
04/15/20,494,25,251,19,1,3,4
04/16/20,518,26,277,24,1,26,27
04/17/20,539,26,283,21,0,6,6
04/18/20,548,26,302,9,0,19,19
04/19/20,562,26,314,14,0,12,12
04/20/20,584,26,327,22,0,13,13
04/21/20,609,26,345,25,0,18,18
04/22/20,634,27,356,25,1,11,12
04/23/20,663,27,385,29,0,29,29
04/24/20,678,27,394,15,0,9,9
04/25/20,712,27,403,34,0,9,9
04/26/20,726,28,410,14,1,7,8
04/27/20,736,28,422,10,0,12,12
