,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,01/22/20,0,0,0.0,0,0,0,0
1,01/23/20,0,0,0.0,0,0,0,0
2,01/24/20,0,0,0.0,0,0,0,0
3,01/25/20,0,0,0.0,0,0,0,0
4,01/26/20,0,0,0.0,0,0,0,0
5,01/27/20,0,0,0.0,0,0,0,0
6,01/28/20,0,0,0.0,0,0,0,0
7,01/29/20,0,0,0.0,0,0,0,0
8,01/30/20,0,0,0.0,0,0,0,0
9,01/31/20,0,0,0.0,0,0,0,0
10,02/01/20,0,0,0.0,0,0,0,0
11,02/02/20,0,0,0.0,0,0,0,0
12,02/03/20,0,0,0.0,0,0,0,0
13,02/04/20,0,0,0.0,0,0,0,0
14,02/05/20,0,0,0.0,0,0,0,0
15,02/06/20,0,0,0.0,0,0,0,0
16,02/07/20,0,0,0.0,0,0,0,0
17,02/08/20,0,0,0.0,0,0,0,0
18,02/09/20,0,0,0.0,0,0,0,0
19,02/10/20,0,0,0.0,0,0,0,0
20,02/11/20,0,0,0.0,0,0,0,0
21,02/12/20,0,0,0.0,0,0,0,0
22,02/13/20,0,0,0.0,0,0,0,0
23,02/14/20,0,0,0.0,0,0,0,0
24,02/15/20,0,0,0.0,0,0,0,0
25,02/16/20,0,0,0.0,0,0,0,0
26,02/17/20,0,0,0.0,0,0,0,0
27,02/18/20,0,0,0.0,0,0,0,0
28,02/19/20,0,0,0.0,0,0,0,0
29,02/20/20,0,0,0.0,0,0,0,0
30,02/21/20,0,0,0.0,0,0,0,0
31,02/22/20,0,0,0.0,0,0,0,0
32,02/23/20,0,0,0.0,0,0,0,0
33,02/24/20,0,0,0.0,0,0,0,0
34,02/25/20,0,0,0.0,0,0,0,0
35,02/26/20,0,0,0.0,0,0,0,0
36,02/27/20,0,0,0.0,0,0,0,0
37,02/28/20,0,0,0.0,0,0,0,0
38,02/29/20,0,0,0.0,0,0,0,0
39,03/01/20,0,0,0.0,0,0,0,0
40,03/02/20,1,0,0.0,1,0,0,0
41,03/03/20,1,0,0.0,0,0,0,0
42,03/04/20,1,0,0.0,0,0,0,0
43,03/05/20,1,0,0.0,0,0,0,0
44,03/06/20,1,0,0.0,0,0,0,0
45,03/07/20,1,0,0.0,0,0,0,0
46,03/08/20,1,0,0.0,0,0,0,0
47,03/09/20,1,0,0.0,0,0,0,0
48,03/10/20,1,0,0.0,0,0,0,0
49,03/11/20,1,0,0.0,0,0,0,0
50,03/12/20,1,0,1.0,0,0,1,1
51,03/13/20,1,0,,0,0,0,-1
52,03/14/20,1,0,1.0,0,0,0,1
53,03/15/20,1,0,1.0,0,0,0,0
54,03/16/20,2,0,1.0,1,0,0,0
55,03/17/20,39,0,1.0,37,0,0,0
56,03/18/20,39,0,1.0,0,0,0,0
57,03/19/20,53,0,1.0,14,0,0,0
58,03/20/20,75,0,1.0,22,0,0,0
59,03/21/20,88,0,1.0,13,0,0,0
60,03/22/20,113,1,1.0,25,1,0,1
61,03/23/20,133,1,1.0,20,0,0,0
62,03/24/20,164,1,1.0,31,0,0,0
63,03/25/20,188,1,1.0,24,0,0,0
64,03/26/20,224,3,1.0,36,2,0,2
65,03/27/20,267,3,1.0,43,0,0,0
66,03/28/20,308,3,1.0,41,0,0,0
67,03/29/20,334,6,1.0,26,3,0,3
68,03/30/20,370,8,10.0,36,2,9,11
69,03/31/20,376,12,10.0,6,4,0,4
70,04/01/20,390,14,10.0,14,2,0,2
71,04/02/20,428,15,10.0,38,1,0,1
72,04/03/20,439,16,16.0,11,1,6,7
73,04/04/20,466,17,21.0,27,1,5,6
74,04/05/20,501,18,26.0,35,1,5,6
75,04/06/20,525,21,31.0,24,3,5,8
76,04/07/20,545,22,39.0,20,1,8,9
77,04/08/20,564,23,52.0,19,1,13,14
78,04/09/20,583,25,58.0,19,2,6,8
79,04/10/20,601,26,71.0,18,1,13,14
80,04/11/20,601,26,71.0,0,0,0,0
81,04/12/20,638,29,128.0,37,3,57,60
82,04/13/20,646,29,128.0,8,0,0,0
83,04/14/20,659,31,128.0,13,2,0,2
84,04/15/20,673,33,169.0,14,2,41,43
85,04/16/20,673,33,169.0,0,0,0,0
86,04/17/20,696,35,191.0,23,2,22,24
87,04/18/20,704,35,205.0,8,0,14,14
88,04/19/20,713,36,235.0,9,1,30,31
89,04/20/20,717,37,248.0,4,1,13,14
90,04/21/20,717,37,282.0,0,0,34,34
91,04/22/20,723,37,309.0,6,0,27,27
92,04/23/20,723,37,333.0,0,0,24,24
93,04/24/20,731,40,344.0,8,3,11,14
94,04/25/20,738,40,344.0,7,0,0,0
95,04/26/20,738,40,344.0,0,0,0,0
