,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,01/22/20,0,0,0,0,0,0,0
1,01/23/20,0,0,0,0,0,0,0
2,01/24/20,0,0,0,0,0,0,0
3,01/25/20,0,0,0,0,0,0,0
4,01/26/20,0,0,0,0,0,0,0
5,01/27/20,0,0,0,0,0,0,0
6,01/28/20,0,0,0,0,0,0,0
7,01/29/20,0,0,0,0,0,0,0
8,01/30/20,0,0,0,0,0,0,0
9,01/31/20,0,0,0,0,0,0,0
10,02/01/20,0,0,0,0,0,0,0
11,02/02/20,0,0,0,0,0,0,0
12,02/03/20,0,0,0,0,0,0,0
13,02/04/20,0,0,0,0,0,0,0
14,02/05/20,0,0,0,0,0,0,0
15,02/06/20,0,0,0,0,0,0,0
16,02/07/20,0,0,0,0,0,0,0
17,02/08/20,0,0,0,0,0,0,0
18,02/09/20,0,0,0,0,0,0,0
19,02/10/20,0,0,0,0,0,0,0
20,02/11/20,0,0,0,0,0,0,0
21,02/12/20,0,0,0,0,0,0,0
22,02/13/20,0,0,0,0,0,0,0
23,02/14/20,0,0,0,0,0,0,0
24,02/15/20,0,0,0,0,0,0,0
25,02/16/20,0,0,0,0,0,0,0
26,02/17/20,0,0,0,0,0,0,0
27,02/18/20,0,0,0,0,0,0,0
28,02/19/20,0,0,0,0,0,0,0
29,02/20/20,0,0,0,0,0,0,0
30,02/21/20,0,0,0,0,0,0,0
31,02/22/20,0,0,0,0,0,0,0
32,02/23/20,0,0,0,0,0,0,0
33,02/24/20,0,0,0,0,0,0,0
34,02/25/20,0,0,0,0,0,0,0
35,02/26/20,0,0,0,0,0,0,0
36,02/27/20,0,0,0,0,0,0,0
37,02/28/20,0,0,0,0,0,0,0
38,02/29/20,0,0,0,0,0,0,0
39,03/01/20,0,0,0,0,0,0,0
40,03/02/20,0,0,0,0,0,0,0
41,03/03/20,1,0,0,1,0,0,0
42,03/04/20,1,0,0,0,0,0,0
43,03/05/20,1,0,0,0,0,0,0
44,03/06/20,2,0,0,1,0,0,0
45,03/07/20,8,0,0,6,0,0,0
46,03/08/20,12,1,0,4,1,0,1
47,03/09/20,12,1,0,0,0,0,0
48,03/10/20,17,1,0,5,0,0,0
49,03/11/20,19,1,0,2,0,0,0
50,03/12/20,19,1,0,0,0,0,0
51,03/13/20,31,2,0,12,1,0,1
52,03/14/20,34,2,1,3,0,1,1
53,03/15/20,45,2,1,11,0,0,0
54,03/16/20,56,2,1,11,0,0,0
55,03/17/20,68,2,3,12,0,2,2
56,03/18/20,79,2,3,11,0,0,0
57,03/19/20,97,3,3,18,1,0,1
58,03/20/20,128,3,3,31,0,0,0
59,03/21/20,158,4,3,30,1,0,1
60,03/22/20,266,4,3,108,0,0,0
61,03/23/20,301,4,3,35,0,0,0
62,03/24/20,387,6,52,86,2,49,51
63,03/25/20,387,8,52,0,2,0,2
64,03/26/20,502,9,63,115,1,11,12
65,03/27/20,589,13,72,87,4,9,13
66,03/28/20,690,18,72,101,5,0,5
67,03/29/20,745,19,72,55,1,0,1
68,03/30/20,820,23,228,75,4,156,160
69,03/31/20,1054,27,240,234,4,12,16
70,04/01/20,1054,28,248,0,1,8,9
71,04/02/20,1133,36,256,79,8,8,16
72,04/03/20,1265,39,266,132,3,10,13
73,04/04/20,1451,43,279,186,4,13,17
74,04/05/20,1451,44,280,0,1,1,2
75,04/06/20,1554,48,325,103,4,45,49
76,04/07/20,1628,56,338,74,8,13,21
77,04/08/20,1715,63,358,87,7,20,27
78,04/09/20,1795,72,365,80,9,7,16
79,04/10/20,1975,82,375,180,10,10,20
80,04/11/20,1975,83,440,0,1,65,66
81,04/12/20,2142,90,468,167,7,28,35
82,04/13/20,2208,97,515,66,7,47,54
83,04/14/20,2277,102,559,69,5,44,49
84,04/15/20,2443,111,596,166,9,37,46
85,04/16/20,2571,115,631,128,4,35,39
86,04/17/20,2669,123,666,98,8,35,43
87,04/18/20,2758,129,685,89,6,19,25
88,04/19/20,2839,132,709,81,3,24,27
89,04/20/20,2941,136,737,102,4,28,32
90,04/21/20,3031,147,840,90,11,103,114
91,04/22/20,3144,152,872,113,5,32,37
92,04/23/20,3435,165,919,291,13,47,60
93,04/24/20,3607,176,976,172,11,57,68
94,04/25/20,3780,185,1030,173,9,54,63
95,04/26/20,3892,192,1107,112,7,77,84
