,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,01/22/20,0,0,0,0,0,0,0
1,01/23/20,0,0,0,0,0,0,0
2,01/24/20,0,0,0,0,0,0,0
3,01/25/20,0,0,0,0,0,0,0
4,01/26/20,0,0,0,0,0,0,0
5,01/27/20,0,0,0,0,0,0,0
6,01/28/20,0,0,0,0,0,0,0
7,01/29/20,0,0,0,0,0,0,0
8,01/30/20,0,0,0,0,0,0,0
9,01/31/20,0,0,0,0,0,0,0
10,02/01/20,0,0,0,0,0,0,0
11,02/02/20,0,0,0,0,0,0,0
12,02/03/20,0,0,0,0,0,0,0
13,02/04/20,0,0,0,0,0,0,0
14,02/05/20,0,0,0,0,0,0,0
15,02/06/20,0,0,0,0,0,0,0
16,02/07/20,0,0,0,0,0,0,0
17,02/08/20,0,0,0,0,0,0,0
18,02/09/20,0,0,0,0,0,0,0
19,02/10/20,0,0,0,0,0,0,0
20,02/11/20,0,0,0,0,0,0,0
21,02/12/20,0,0,0,0,0,0,0
22,02/13/20,0,0,0,0,0,0,0
23,02/14/20,0,0,0,0,0,0,0
24,02/15/20,0,0,0,0,0,0,0
25,02/16/20,0,0,0,0,0,0,0
26,02/17/20,0,0,0,0,0,0,0
27,02/18/20,0,0,0,0,0,0,0
28,02/19/20,0,0,0,0,0,0,0
29,02/20/20,0,0,0,0,0,0,0
30,02/21/20,0,0,0,0,0,0,0
31,02/22/20,0,0,0,0,0,0,0
32,02/23/20,0,0,0,0,0,0,0
33,02/24/20,0,0,0,0,0,0,0
34,02/25/20,0,0,0,0,0,0,0
35,02/26/20,0,0,0,0,0,0,0
36,02/27/20,0,0,0,0,0,0,0
37,02/28/20,0,0,0,0,0,0,0
38,02/29/20,0,0,0,0,0,0,0
39,03/01/20,1,0,0,1,0,0,0
40,03/02/20,1,0,0,0,0,0,0
41,03/03/20,1,0,0,0,0,0,0
42,03/04/20,1,0,0,0,0,0,0
43,03/05/20,1,0,0,0,0,0,0
44,03/06/20,1,0,0,0,0,0,0
45,03/07/20,1,0,0,0,0,0,0
46,03/08/20,1,0,0,0,0,0,0
47,03/09/20,1,0,0,0,0,0,0
48,03/10/20,1,0,0,0,0,0,0
49,03/11/20,1,0,0,0,0,0,0
50,03/12/20,4,0,0,3,0,0,0
51,03/13/20,8,0,0,4,0,0,0
52,03/14/20,18,0,0,10,0,0,0
53,03/15/20,26,0,0,8,0,0,0
54,03/16/20,52,0,0,26,0,0,0
55,03/17/20,78,0,1,26,0,1,1
56,03/18/20,84,0,1,6,0,0,0
57,03/19/20,115,0,1,31,0,0,0
58,03/20/20,136,0,1,21,0,0,0
59,03/21/20,160,0,1,24,0,0,0
60,03/22/20,194,0,2,34,0,1,1
61,03/23/20,235,0,2,41,0,0,0
62,03/24/20,249,0,14,14,0,12,12
63,03/25/20,265,0,16,16,0,2,2
64,03/26/20,290,1,18,25,1,2,3
65,03/27/20,329,1,28,39,0,10,10
66,03/28/20,407,1,30,78,0,2,2
67,03/29/20,424,3,30,17,2,0,2
68,03/30/20,482,3,30,58,0,0,0
69,03/31/20,532,3,30,50,0,0,0
70,04/01/20,571,4,31,39,1,1,2
71,04/02/20,663,7,33,92,3,2,5
72,04/03/20,736,7,43,73,0,10,10
73,04/04/20,770,7,43,34,0,0,0
74,04/05/20,822,7,57,52,0,14,14
75,04/06/20,833,8,62,11,1,5,6
76,04/07/20,853,8,87,20,0,25,25
77,04/08/20,881,9,114,28,1,27,28
78,04/09/20,921,10,138,40,1,24,25
79,04/10/20,937,12,149,16,2,11,13
80,04/11/20,967,13,173,30,1,24,25
81,04/12/20,1013,13,197,46,0,24,24
82,04/13/20,1039,14,211,26,1,14,15
83,04/14/20,1067,16,265,28,2,54,56
84,04/15/20,1111,17,297,44,1,32,33
85,04/16/20,1159,18,358,48,1,61,62
86,04/17/20,1201,19,402,42,1,44,45
87,04/18/20,1248,20,523,47,1,121,122
88,04/19/20,1291,20,545,43,0,22,22
89,04/20/20,1339,22,580,48,2,35,37
90,04/21/20,1401,24,609,62,2,29,31
91,04/22/20,1473,24,633,72,0,24,24
92,04/23/20,1523,24,659,50,0,26,26
93,04/24/20,1596,27,728,73,3,69,72
94,04/25/20,1677,28,803,81,1,75,76
95,04/26/20,1746,28,833,69,0,30,30
