dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
01/22/20,0,0,0,0,0,0,0
01/23/20,0,0,0,0,0,0,0
01/24/20,0,0,0,0,0,0,0
01/25/20,0,0,0,0,0,0,0
01/26/20,0,0,0,0,0,0,0
01/27/20,0,0,0,0,0,0,0
01/28/20,0,0,0,0,0,0,0
01/29/20,0,0,0,0,0,0,0
01/30/20,0,0,0,0,0,0,0
01/31/20,0,0,0,0,0,0,0
02/01/20,0,0,0,0,0,0,0
02/02/20,0,0,0,0,0,0,0
02/03/20,0,0,0,0,0,0,0
02/04/20,0,0,0,0,0,0,0
02/05/20,0,0,0,0,0,0,0
02/06/20,0,0,0,0,0,0,0
02/07/20,0,0,0,0,0,0,0
02/08/20,0,0,0,0,0,0,0
02/09/20,0,0,0,0,0,0,0
02/10/20,0,0,0,0,0,0,0
02/11/20,0,0,0,0,0,0,0
02/12/20,0,0,0,0,0,0,0
02/13/20,0,0,0,0,0,0,0
02/14/20,0,0,0,0,0,0,0
02/15/20,0,0,0,0,0,0,0
02/16/20,0,0,0,0,0,0,0
02/17/20,0,0,0,0,0,0,0
02/18/20,0,0,0,0,0,0,0
02/19/20,0,0,0,0,0,0,0
02/20/20,0,0,0,0,0,0,0
02/21/20,0,0,0,0,0,0,0
02/22/20,0,0,0,0,0,0,0
02/23/20,0,0,0,0,0,0,0
02/24/20,0,0,0,0,0,0,0
02/25/20,2,0,0,2,0,0,0
02/26/20,2,0,0,0,0,0,0
02/27/20,3,0,0,1,0,0,0
02/28/20,3,0,0,0,0,0,0
02/29/20,9,0,0,6,0,0,0
03/01/20,14,0,0,5,0,0,0
03/02/20,18,0,0,4,0,0,0
03/03/20,21,0,0,3,0,0,0
03/04/20,29,0,0,8,0,0,0
03/05/20,41,0,0,12,0,0,0
03/06/20,55,0,0,14,0,0,0
03/07/20,79,0,0,24,0,0,0
03/08/20,104,0,0,25,0,0,0
03/09/20,131,0,2,27,0,2,2
03/10/20,182,0,4,51,0,2,2
03/11/20,246,0,4,64,0,0,0
03/12/20,302,1,4,56,1,0,1
03/13/20,504,1,6,202,0,2,2
03/14/20,655,1,6,151,0,0,0
03/15/20,860,1,6,205,0,0,0
03/16/20,1018,3,6,158,2,0,2
03/17/20,1332,3,1,314,0,-5,-5
03/18/20,1646,4,9,314,1,8,9
03/19/20,2013,6,9,367,2,0,2
03/20/20,2388,6,9,375,0,0,0
03/21/20,2814,8,9,426,2,0,2
03/22/20,3582,16,9,768,8,0,8
03/23/20,4474,21,9,892,5,0,5
03/24/20,5283,28,9,809,7,0,7
03/25/20,5588,30,9,305,2,0,2
03/26/20,6909,49,112,1321,19,103,122
03/27/20,7657,58,225,748,9,113,122
03/28/20,8271,68,225,614,10,0,10
03/29/20,8788,86,479,517,18,254,272
03/30/20,9618,108,636,830,22,157,179
03/31/20,10180,128,1095,562,20,459,479
04/01/20,10711,146,1436,531,18,341,359
04/02/20,11129,158,1749,418,12,313,325
04/03/20,11524,168,2022,395,10,273,283
04/04/20,11781,186,2507,257,18,485,503
04/05/20,12051,204,2998,270,18,491,509
04/06/20,12297,220,3463,246,16,465,481
04/07/20,12639,243,4046,342,23,583,606
04/08/20,12942,273,4512,303,30,466,496
04/09/20,13244,295,5240,302,22,728,750
04/10/20,13555,319,6064,311,24,824,848
04/11/20,13806,337,6604,251,18,540,558
04/12/20,13945,350,6987,139,13,383,396
04/13/20,14041,368,7343,96,18,356,374
04/14/20,14226,384,7633,185,16,290,306
04/15/20,14336,393,8098,110,9,465,474
04/16/20,14476,410,8986,140,17,888,905
04/17/20,14595,431,9704,119,21,718,739
04/18/20,14671,443,10214,76,12,510,522
04/19/20,14749,452,10501,78,9,287,296
04/20/20,14795,470,10631,46,18,130,148
04/21/20,14873,491,10971,78,21,340,361
04/22/20,14925,510,11328,52,19,357,376
04/23/20,15002,522,11694,77,12,366,378
04/24/20,15071,530,11872,69,8,178,186
04/25/20,15148,536,12103,77,6,231,237
04/26/20,15225,542,12282,77,6,179,185
04/27/20,15274,549,12362,49,7,80,87
