dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
01/22/20,0,0,0,0,0,0,0
01/23/20,0,0,0,0,0,0,0
01/24/20,0,0,0,0,0,0,0
01/25/20,0,0,0,0,0,0,0
01/26/20,0,0,0,0,0,0,0
01/27/20,0,0,0,0,0,0,0
01/28/20,0,0,0,0,0,0,0
01/29/20,0,0,0,0,0,0,0
01/30/20,0,0,0,0,0,0,0
01/31/20,0,0,0,0,0,0,0
02/01/20,0,0,0,0,0,0,0
02/02/20,0,0,0,0,0,0,0
02/03/20,0,0,0,0,0,0,0
02/04/20,0,0,0,0,0,0,0
02/05/20,0,0,0,0,0,0,0
02/06/20,0,0,0,0,0,0,0
02/07/20,0,0,0,0,0,0,0
02/08/20,0,0,0,0,0,0,0
02/09/20,0,0,0,0,0,0,0
02/10/20,0,0,0,0,0,0,0
02/11/20,0,0,0,0,0,0,0
02/12/20,0,0,0,0,0,0,0
02/13/20,0,0,0,0,0,0,0
02/14/20,0,0,0,0,0,0,0
02/15/20,0,0,0,0,0,0,0
02/16/20,0,0,0,0,0,0,0
02/17/20,0,0,0,0,0,0,0
02/18/20,0,0,0,0,0,0,0
02/19/20,0,0,0,0,0,0,0
02/20/20,0,0,0,0,0,0,0
02/21/20,0,0,0,0,0,0,0
02/22/20,0,0,0,0,0,0,0
02/23/20,0,0,0,0,0,0,0
02/24/20,0,0,0,0,0,0,0
02/25/20,0,0,0,0,0,0,0
02/26/20,0,0,0,0,0,0,0
02/27/20,0,0,0,0,0,0,0
02/28/20,0,0,0,0,0,0,0
02/29/20,0,0,0,0,0,0,0
03/01/20,0,0,0,0,0,0,0
03/02/20,0,0,0,0,0,0,0
03/03/20,0,0,0,0,0,0,0
03/04/20,0,0,0,0,0,0,0
03/05/20,0,0,0,0,0,0,0
03/06/20,0,0,0,0,0,0,0
03/07/20,0,0,0,0,0,0,0
03/08/20,0,0,0,0,0,0,0
03/09/20,1,0,0,1,0,0,0
03/10/20,1,0,0,0,0,0,0
03/11/20,11,0,0,10,0,0,0
03/12/20,11,0,0,0,0,0,0
03/13/20,37,0,0,26,0,0,0
03/14/20,40,0,0,3,0,0,0
03/15/20,50,0,0,10,0,0,0
03/16/20,54,0,0,4,0,0,0
03/17/20,56,0,0,2,0,0,0
03/18/20,68,0,0,12,0,0,0
03/19/20,75,0,0,7,0,0,0
03/20/20,78,0,1,3,0,1,1
03/21/20,83,0,2,5,0,1,1
03/22/20,88,0,2,5,0,0,0
03/23/20,91,0,2,3,0,0,0
03/24/20,104,0,2,13,0,0,0
03/25/20,109,0,2,5,0,0,0
03/26/20,114,0,5,5,0,3,3
03/27/20,115,0,11,1,0,6,6
03/28/20,120,1,25,5,1,14,15
03/29/20,126,1,34,6,0,9,9
03/30/20,127,1,38,1,0,4,4
03/31/20,129,1,45,2,0,7,7
04/01/20,131,1,52,2,0,7,7
04/02/20,133,1,56,2,0,4,4
04/03/20,134,1,65,1,0,9,9
04/04/20,135,1,66,1,0,1,1
04/05/20,135,1,73,0,0,7,7
04/06/20,135,1,82,0,0,9,9
04/07/20,135,1,85,0,0,3,3
04/08/20,135,1,91,0,0,6,6
04/09/20,135,1,92,0,0,1,1
04/10/20,136,1,99,1,0,7,7
04/11/20,136,1,104,0,0,5,5
04/12/20,136,1,106,0,0,2,2
04/13/20,136,1,107,0,0,1,1
04/14/20,136,1,107,0,0,0,0
04/15/20,136,1,108,0,0,1,1
04/16/20,136,1,108,0,0,0,0
04/17/20,136,1,112,0,0,4,4
04/18/20,137,1,113,1,0,1,1
04/19/20,138,1,115,1,0,2,2
04/20/20,138,1,116,0,0,1,1
04/21/20,138,1,116,0,0,0,0
04/22/20,138,1,117,0,0,1,1
04/23/20,138,1,119,0,0,2,2
04/24/20,138,1,120,0,0,1,1
04/25/20,138,1,121,0,0,1,1
04/26/20,138,1,123,0,0,2,2
04/27/20,138,1,124,0,0,1,1
