dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
01/22/20,0,0,0,0,0,0,0
01/23/20,0,0,0,0,0,0,0
01/24/20,0,0,0,0,0,0,0
01/25/20,0,0,0,0,0,0,0
01/26/20,0,0,0,0,0,0,0
01/27/20,0,0,0,0,0,0,0
01/28/20,0,0,0,0,0,0,0
01/29/20,0,0,0,0,0,0,0
01/30/20,0,0,0,0,0,0,0
01/31/20,0,0,0,0,0,0,0
02/01/20,0,0,0,0,0,0,0
02/02/20,0,0,0,0,0,0,0
02/03/20,0,0,0,0,0,0,0
02/04/20,0,0,0,0,0,0,0
02/05/20,0,0,0,0,0,0,0
02/06/20,0,0,0,0,0,0,0
02/07/20,0,0,0,0,0,0,0
02/08/20,0,0,0,0,0,0,0
02/09/20,0,0,0,0,0,0,0
02/10/20,0,0,0,0,0,0,0
02/11/20,0,0,0,0,0,0,0
02/12/20,0,0,0,0,0,0,0
02/13/20,0,0,0,0,0,0,0
02/14/20,0,0,0,0,0,0,0
02/15/20,0,0,0,0,0,0,0
02/16/20,0,0,0,0,0,0,0
02/17/20,0,0,0,0,0,0,0
02/18/20,0,0,0,0,0,0,0
02/19/20,0,0,0,0,0,0,0
02/20/20,0,0,0,0,0,0,0
02/21/20,0,0,0,0,0,0,0
02/22/20,0,0,0,0,0,0,0
02/23/20,0,0,0,0,0,0,0
02/24/20,0,0,0,0,0,0,0
02/25/20,0,0,0,0,0,0,0
02/26/20,0,0,0,0,0,0,0
02/27/20,0,0,0,0,0,0,0
02/28/20,0,0,0,0,0,0,0
02/29/20,0,0,0,0,0,0,0
03/01/20,0,0,0,0,0,0,0
03/02/20,0,0,0,0,0,0,0
03/03/20,0,0,0,0,0,0,0
03/04/20,0,0,0,0,0,0,0
03/05/20,0,0,0,0,0,0,0
03/06/20,1,0,0,1,0,0,0
03/07/20,1,0,0,0,0,0,0
03/08/20,2,0,0,1,0,0,0
03/09/20,2,0,0,0,0,0,0
03/10/20,2,0,0,0,0,0,0
03/11/20,2,0,0,0,0,0,0
03/12/20,2,0,0,0,0,0,0
03/13/20,2,0,0,0,0,0,0
03/14/20,2,0,0,0,0,0,0
03/15/20,2,0,0,0,0,0,0
03/16/20,4,0,0,2,0,0,0
03/17/20,10,0,0,6,0,0,0
03/18/20,10,0,0,0,0,0,0
03/19/20,13,0,0,3,0,0,0
03/20/20,20,0,0,7,0,0,0
03/21/20,27,0,0,7,0,0,0
03/22/20,40,0,0,13,0,0,0
03/23/20,56,0,0,16,0,0,0
03/24/20,66,0,0,10,0,0,0
03/25/20,75,1,2,9,1,2,3
03/26/20,75,1,2,0,0,0,0
03/27/20,91,2,2,16,1,0,1
03/28/20,91,2,2,0,0,0,0
03/29/20,139,6,5,48,4,3,7
03/30/20,139,6,5,0,0,0,0
03/31/20,193,6,5,54,0,0,0
04/01/20,233,6,10,40,0,5,5
04/02/20,306,7,10,73,1,0,1
04/03/20,509,8,17,203,1,7,8
04/04/20,555,9,17,46,1,0,1
04/05/20,650,9,17,95,0,0,0
04/06/20,658,9,17,8,0,0,0
04/07/20,658,9,43,0,0,26,26
04/08/20,730,10,60,72,1,17,18
04/09/20,730,10,60,0,0,0,0
04/10/20,820,12,98,90,2,38,40
04/11/20,820,12,98,0,0,0,0
04/12/20,820,12,98,0,0,0,0
04/13/20,820,12,98,0,0,0,0
04/14/20,848,14,130,28,2,32,34
04/15/20,848,17,165,0,3,35,38
04/16/20,996,22,164,148,5,-1,4
04/17/20,996,22,164,0,0,0,0
04/18/20,1017,22,177,21,0,13,13
04/19/20,1017,42,305,0,20,128,148
04/20/20,1163,42,305,146,0,0,0
04/21/20,1163,43,329,0,1,24,25
04/22/20,1163,43,397,0,0,68,68
04/23/20,1334,43,668,171,0,271,271
04/24/20,1430,43,668,96,0,0,0
04/25/20,1518,53,697,88,10,29,39
04/26/20,1621,56,786,103,3,89,92
04/27/20,1705,58,805,84,2,19,21
