dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
01/22/20,0,0,0,0,0,0,0
01/23/20,0,0,0,0,0,0,0
01/24/20,0,0,0,0,0,0,0
01/25/20,0,0,0,0,0,0,0
01/26/20,0,0,0,0,0,0,0
01/27/20,0,0,0,0,0,0,0
01/28/20,0,0,0,0,0,0,0
01/29/20,0,0,0,0,0,0,0
01/30/20,0,0,0,0,0,0,0
01/31/20,0,0,0,0,0,0,0
02/01/20,0,0,0,0,0,0,0
02/02/20,0,0,0,0,0,0,0
02/03/20,0,0,0,0,0,0,0
02/04/20,0,0,0,0,0,0,0
02/05/20,0,0,0,0,0,0,0
02/06/20,0,0,0,0,0,0,0
02/07/20,0,0,0,0,0,0,0
02/08/20,0,0,0,0,0,0,0
02/09/20,0,0,0,0,0,0,0
02/10/20,0,0,0,0,0,0,0
02/11/20,0,0,0,0,0,0,0
02/12/20,0,0,0,0,0,0,0
02/13/20,0,0,0,0,0,0,0
02/14/20,0,0,0,0,0,0,0
02/15/20,0,0,0,0,0,0,0
02/16/20,0,0,0,0,0,0,0
02/17/20,0,0,0,0,0,0,0
02/18/20,0,0,0,0,0,0,0
02/19/20,0,0,0,0,0,0,0
02/20/20,0,0,0,0,0,0,0
02/21/20,0,0,0,0,0,0,0
02/22/20,0,0,0,0,0,0,0
02/23/20,0,0,0,0,0,0,0
02/24/20,0,0,0,0,0,0,0
02/25/20,0,0,0,0,0,0,0
02/26/20,0,0,0,0,0,0,0
02/27/20,0,0,0,0,0,0,0
02/28/20,0,0,0,0,0,0,0
02/29/20,0,0,0,0,0,0,0
03/01/20,0,0,0,0,0,0,0
03/02/20,0,0,0,0,0,0,0
03/03/20,0,0,0,0,0,0,0
03/04/20,0,0,0,0,0,0,0
03/05/20,0,0,0,0,0,0,0
03/06/20,1,0,0,1,0,0,0
03/07/20,1,0,0,0,0,0,0
03/08/20,1,0,0,0,0,0,0
03/09/20,1,0,0,0,0,0,0
03/10/20,3,0,0,2,0,0,0
03/11/20,9,0,0,6,0,0,0
03/12/20,9,0,0,0,0,0,0
03/13/20,13,0,0,4,0,0,0
03/14/20,22,0,0,9,0,0,0
03/15/20,34,0,0,12,0,0,0
03/16/20,54,0,0,20,0,0,0
03/17/20,65,0,1,11,0,1,1
03/18/20,93,0,1,28,0,0,0
03/19/20,102,0,1,9,0,0,0
03/20/20,128,0,1,26,0,0,0
03/21/20,196,0,1,68,0,0,0
03/22/20,231,2,3,35,2,2,4
03/23/20,277,3,3,46,1,0,1
03/24/20,378,3,6,101,0,3,3
03/25/20,470,4,8,92,1,2,3
03/26/20,491,6,8,21,2,0,2
03/27/20,539,6,10,48,0,2,2
03/28/20,608,6,10,69,0,0,0
03/29/20,702,10,10,94,4,0,4
03/30/20,798,12,15,96,2,5,7
03/31/20,906,16,31,108,4,16,20
04/01/20,1065,17,39,159,1,8,9
04/02/20,1161,19,55,96,2,16,18
04/03/20,1267,25,55,106,6,0,6
04/04/20,1406,32,85,139,7,30,37
04/05/20,1485,35,88,79,3,3,6
04/06/20,1579,46,88,94,11,0,11
04/07/20,1780,50,100,201,4,12,16
04/08/20,2054,54,123,274,4,23,27
04/09/20,2223,69,174,169,15,51,66
04/10/20,2473,80,197,250,11,23,34
04/11/20,2709,100,214,236,20,17,37
04/12/20,2776,109,270,67,9,56,65
04/13/20,2852,112,319,76,3,49,52
04/14/20,2979,127,354,127,15,35,50
04/15/20,3105,131,452,126,4,98,102
04/16/20,3233,144,550,128,13,98,111
04/17/20,3439,153,634,206,9,84,93
04/18/20,3439,153,634,0,0,0,0
04/19/20,3792,179,711,353,26,77,103
04/20/20,3977,189,804,185,10,93,103
04/21/20,4149,196,804,172,7,0,7
04/22/20,4356,206,870,207,10,66,76
04/23/20,4561,215,927,205,9,57,66
04/24/20,4881,225,1003,320,10,76,86
04/25/20,5142,233,1067,261,8,64,72
04/26/20,5379,244,1133,237,11,66,77
04/27/20,5597,253,1210,218,9,77,86
