dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
01/22/20,0,0,0,0,0,0,0
01/23/20,0,0,0,0,0,0,0
01/24/20,0,0,0,0,0,0,0
01/25/20,0,0,0,0,0,0,0
01/26/20,0,0,0,0,0,0,0
01/27/20,0,0,0,0,0,0,0
01/28/20,0,0,0,0,0,0,0
01/29/20,0,0,0,0,0,0,0
01/30/20,0,0,0,0,0,0,0
01/31/20,0,0,0,0,0,0,0
02/01/20,0,0,0,0,0,0,0
02/02/20,0,0,0,0,0,0,0
02/03/20,0,0,0,0,0,0,0
02/04/20,0,0,0,0,0,0,0
02/05/20,0,0,0,0,0,0,0
02/06/20,0,0,0,0,0,0,0
02/07/20,0,0,0,0,0,0,0
02/08/20,0,0,0,0,0,0,0
02/09/20,0,0,0,0,0,0,0
02/10/20,0,0,0,0,0,0,0
02/11/20,0,0,0,0,0,0,0
02/12/20,0,0,0,0,0,0,0
02/13/20,0,0,0,0,0,0,0
02/14/20,0,0,0,0,0,0,0
02/15/20,0,0,0,0,0,0,0
02/16/20,0,0,0,0,0,0,0
02/17/20,0,0,0,0,0,0,0
02/18/20,0,0,0,0,0,0,0
02/19/20,0,0,0,0,0,0,0
02/20/20,0,0,0,0,0,0,0
02/21/20,0,0,0,0,0,0,0
02/22/20,0,0,0,0,0,0,0
02/23/20,0,0,0,0,0,0,0
02/24/20,0,0,0,0,0,0,0
02/25/20,0,0,0,0,0,0,0
02/26/20,0,0,0,0,0,0,0
02/27/20,0,0,0,0,0,0,0
02/28/20,0,0,0,0,0,0,0
02/29/20,0,0,0,0,0,0,0
03/01/20,0,0,0,0,0,0,0
03/02/20,0,0,0,0,0,0,0
03/03/20,0,0,0,0,0,0,0
03/04/20,0,0,0,0,0,0,0
03/05/20,0,0,0,0,0,0,0
03/06/20,0,0,0,0,0,0,0
03/07/20,0,0,0,0,0,0,0
03/08/20,0,0,0,0,0,0,0
03/09/20,0,0,0,0,0,0,0
03/10/20,0,0,0,0,0,0,0
03/11/20,1,0,0,1,0,0,0
03/12/20,1,0,0,0,0,0,0
03/13/20,2,0,0,1,0,0,0
03/14/20,2,0,0,0,0,0,0
03/15/20,2,0,0,0,0,0,0
03/16/20,2,0,0,0,0,0,0
03/17/20,3,0,0,1,0,0,0
03/18/20,4,0,0,1,0,0,0
03/19/20,14,0,0,10,0,0,0
03/20/20,18,0,0,4,0,0,0
03/21/20,23,1,0,5,1,0,1
03/22/20,30,1,0,7,0,0,0
03/23/20,36,1,0,6,0,0,0
03/24/20,45,2,0,9,1,0,1
03/25/20,48,2,0,3,0,0,0
03/26/20,51,3,0,3,1,0,1
03/27/20,51,3,2,0,0,2,2
03/28/20,65,6,2,14,3,0,3
03/29/20,65,6,2,0,0,0,0
03/30/20,81,8,2,16,2,0,2
03/31/20,98,8,2,17,0,0,0
04/01/20,109,9,3,11,1,1,2
04/02/20,134,13,3,25,4,0,4
04/03/20,134,13,3,0,0,0,0
04/04/20,154,18,3,20,5,0,5
04/05/20,154,18,3,0,0,0,0
04/06/20,161,18,5,7,0,2,2
04/07/20,180,18,9,19,0,4,4
04/08/20,180,18,9,0,0,0,0
04/09/20,180,18,9,0,0,0,0
04/10/20,215,20,13,35,2,4,6
04/11/20,223,20,16,8,0,3,3
04/12/20,234,20,16,11,0,0,0
04/13/20,235,20,17,1,0,1,1
04/14/20,241,20,20,6,0,3,3
04/15/20,254,21,21,13,1,1,2
04/16/20,267,22,23,13,1,2,3
04/17/20,287,23,25,20,1,2,3
04/18/20,307,25,26,20,2,1,3
04/19/20,327,25,26,20,0,0,0
04/20/20,332,25,27,5,0,1,1
04/21/20,350,25,35,18,0,8,8
04/22/20,359,25,45,9,0,10,10
04/23/20,377,25,47,18,0,2,2
04/24/20,394,25,48,17,0,1,1
04/25/20,416,28,49,22,3,1,4
04/26/20,442,28,50,26,0,1,1
04/27/20,459,28,50,17,0,0,0
