dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
01/22/20,0,0,0,0,0,0,0
01/23/20,0,0,0,0,0,0,0
01/24/20,0,0,0,0,0,0,0
01/25/20,0,0,0,0,0,0,0
01/26/20,0,0,0,0,0,0,0
01/27/20,0,0,0,0,0,0,0
01/28/20,0,0,0,0,0,0,0
01/29/20,0,0,0,0,0,0,0
01/30/20,0,0,0,0,0,0,0
01/31/20,0,0,0,0,0,0,0
02/01/20,0,0,0,0,0,0,0
02/02/20,0,0,0,0,0,0,0
02/03/20,0,0,0,0,0,0,0
02/04/20,0,0,0,0,0,0,0
02/05/20,0,0,0,0,0,0,0
02/06/20,0,0,0,0,0,0,0
02/07/20,0,0,0,0,0,0,0
02/08/20,0,0,0,0,0,0,0
02/09/20,0,0,0,0,0,0,0
02/10/20,0,0,0,0,0,0,0
02/11/20,0,0,0,0,0,0,0
02/12/20,0,0,0,0,0,0,0
02/13/20,0,0,0,0,0,0,0
02/14/20,0,0,0,0,0,0,0
02/15/20,0,0,0,0,0,0,0
02/16/20,0,0,0,0,0,0,0
02/17/20,0,0,0,0,0,0,0
02/18/20,0,0,0,0,0,0,0
02/19/20,0,0,0,0,0,0,0
02/20/20,0,0,0,0,0,0,0
02/21/20,0,0,0,0,0,0,0
02/22/20,0,0,0,0,0,0,0
02/23/20,0,0,0,0,0,0,0
02/24/20,0,0,0,0,0,0,0
02/25/20,0,0,0,0,0,0,0
02/26/20,0,0,0,0,0,0,0
02/27/20,0,0,0,0,0,0,0
02/28/20,0,0,0,0,0,0,0
02/29/20,0,0,0,0,0,0,0
03/01/20,0,0,0,0,0,0,0
03/02/20,0,0,0,0,0,0,0
03/03/20,0,0,0,0,0,0,0
03/04/20,0,0,0,0,0,0,0
03/05/20,0,0,0,0,0,0,0
03/06/20,0,0,0,0,0,0,0
03/07/20,0,0,0,0,0,0,0
03/08/20,0,0,0,0,0,0,0
03/09/20,0,0,0,0,0,0,0
03/10/20,0,0,0,0,0,0,0
03/11/20,0,0,0,0,0,0,0
03/12/20,0,0,0,0,0,0,0
03/13/20,0,0,0,0,0,0,0
03/14/20,0,0,0,0,0,0,0
03/15/20,0,0,0,0,0,0,0
03/16/20,0,0,0,0,0,0,0
03/17/20,0,0,0,0,0,0,0
03/18/20,1,0,0,1,0,0,0
03/19/20,1,0,0,0,0,0,0
03/20/20,1,0,0,0,0,0,0
03/21/20,1,0,0,0,0,0,0
03/22/20,1,0,0,0,0,0,0
03/23/20,3,0,0,2,0,0,0
03/24/20,3,0,0,0,0,0,0
03/25/20,11,0,0,8,0,0,0
03/26/20,11,0,0,0,0,0,0
03/27/20,12,0,0,1,0,0,0
03/28/20,14,0,0,2,0,0,0
03/29/20,18,0,0,4,0,0,0
03/30/20,18,0,0,0,0,0,0
03/31/20,30,0,0,12,0,0,0
04/01/20,33,0,0,3,0,0,0
04/02/20,40,0,0,7,0,0,0
04/03/20,49,0,8,9,0,8,8
04/04/20,50,0,8,1,0,0,0
04/05/20,59,0,9,9,0,1,1
04/06/20,90,0,9,31,0,0,0
04/07/20,90,0,9,0,0,0,0
04/08/20,135,0,25,45,0,16,16
04/09/20,135,0,25,0,0,0,0
04/10/20,150,1,36,15,1,11,12
04/11/20,187,2,36,37,1,0,1
04/12/20,214,2,36,27,0,0,0
04/13/20,298,2,41,84,0,5,5
04/14/20,363,2,53,65,0,12,12
04/15/20,435,2,71,72,0,18,18
04/16/20,591,2,73,156,0,2,2
04/17/20,732,2,76,141,0,3,3
04/18/20,732,2,76,0,0,0,0
04/19/20,846,2,102,114,0,26,26
04/20/20,846,2,102,0,0,0,0
04/21/20,945,2,112,99,0,10,10
04/22/20,974,2,183,29,0,71,71
04/23/20,986,2,252,12,0,69,69
04/24/20,999,2,330,13,0,78,78
04/25/20,1008,2,373,9,0,43,43
04/26/20,1023,2,411,15,0,38,38
04/27/20,1035,2,477,12,0,66,66
