dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
01/22/20,0,0,0,0,0,0,0
01/23/20,0,0,0,0,0,0,0
01/24/20,0,0,0,0,0,0,0
01/25/20,0,0,0,0,0,0,0
01/26/20,0,0,0,0,0,0,0
01/27/20,0,0,0,0,0,0,0
01/28/20,0,0,0,0,0,0,0
01/29/20,0,0,0,0,0,0,0
01/30/20,0,0,0,0,0,0,0
01/31/20,0,0,0,0,0,0,0
02/01/20,0,0,0,0,0,0,0
02/02/20,0,0,0,0,0,0,0
02/03/20,0,0,0,0,0,0,0
02/04/20,0,0,0,0,0,0,0
02/05/20,0,0,0,0,0,0,0
02/06/20,0,0,0,0,0,0,0
02/07/20,0,0,0,0,0,0,0
02/08/20,0,0,0,0,0,0,0
02/09/20,0,0,0,0,0,0,0
02/10/20,0,0,0,0,0,0,0
02/11/20,0,0,0,0,0,0,0
02/12/20,0,0,0,0,0,0,0
02/13/20,0,0,0,0,0,0,0
02/14/20,1,0,0,1,0,0,0
02/15/20,1,0,0,0,0,0,0
02/16/20,1,0,0,0,0,0,0
02/17/20,1,0,0,0,0,0,0
02/18/20,1,0,0,0,0,0,0
02/19/20,1,0,0,0,0,0,0
02/20/20,1,0,0,0,0,0,0
02/21/20,1,0,0,0,0,0,0
02/22/20,1,0,0,0,0,0,0
02/23/20,1,0,0,0,0,0,0
02/24/20,1,0,0,0,0,0,0
02/25/20,1,0,0,0,0,0,0
02/26/20,1,0,0,0,0,0,0
02/27/20,1,0,0,0,0,0,0
02/28/20,1,0,1,0,0,1,1
02/29/20,1,0,1,0,0,0,0
03/01/20,2,0,1,1,0,0,0
03/02/20,2,0,1,0,0,0,0
03/03/20,2,0,1,0,0,0,0
03/04/20,2,0,1,0,0,0,0
03/05/20,3,0,1,1,0,0,0
03/06/20,15,0,1,12,0,0,0
03/07/20,15,0,1,0,0,0,0
03/08/20,49,1,1,34,1,0,1
03/09/20,55,1,1,6,0,0,0
03/10/20,59,1,1,4,0,0,0
03/11/20,60,1,27,1,0,26,26
03/12/20,67,1,27,7,0,0,0
03/13/20,80,2,27,13,1,0,1
03/14/20,109,2,27,29,0,0,0
03/15/20,110,2,21,1,0,-6,-6
03/16/20,150,2,27,40,0,6,6
03/17/20,196,4,32,46,2,5,7
03/18/20,196,6,32,0,2,0,2
03/19/20,256,6,32,60,0,0,0
03/20/20,285,8,39,29,2,7,9
03/21/20,294,10,41,9,2,2,4
03/22/20,327,14,56,33,4,15,19
03/23/20,366,19,56,39,5,0,5
03/24/20,402,20,80,36,1,24,25
03/25/20,456,21,95,54,1,15,16
03/26/20,495,24,102,39,3,7,10
03/27/20,536,30,116,41,6,14,20
03/28/20,576,36,121,40,6,5,11
03/29/20,609,40,132,33,4,11,15
03/30/20,656,41,150,47,1,18,19
03/31/20,710,46,157,54,5,7,12
04/01/20,779,52,179,69,6,22,28
04/02/20,865,58,201,86,6,22,28
04/03/20,985,66,216,120,8,15,23
04/04/20,1070,71,241,85,5,25,30
04/05/20,1173,78,247,103,7,6,13
04/06/20,1322,85,259,149,7,12,19
04/07/20,1450,94,276,128,9,17,26
04/08/20,1560,103,305,110,9,29,38
04/09/20,1699,118,348,139,15,43,58
04/10/20,1794,135,384,95,17,36,53
04/11/20,1939,146,426,145,11,42,53
04/12/20,2065,159,589,126,13,163,176
04/13/20,2190,164,589,125,5,0,5
04/14/20,2350,178,589,160,14,0,14
04/15/20,2505,183,589,155,5,0,5
04/16/20,2673,196,596,168,13,7,20
04/17/20,2844,205,646,171,9,50,59
04/18/20,3032,224,701,188,19,55,74
04/19/20,3144,239,732,112,15,31,46
04/20/20,3333,250,821,189,11,89,100
04/21/20,3490,264,870,157,14,49,63
04/22/20,3659,276,935,169,12,65,77
04/23/20,3891,287,1004,232,11,69,80
04/24/20,4092,294,1075,201,7,71,78
04/25/20,4319,307,1114,227,13,39,52
04/26/20,4534,317,1176,215,10,62,72
04/27/20,4782,337,1236,248,20,60,80
