dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
01/22/20,0,0,0,0,0,0,0
01/23/20,0,0,0,0,0,0,0
01/24/20,0,0,0,0,0,0,0
01/25/20,0,0,0,0,0,0,0
01/26/20,0,0,0,0,0,0,0
01/27/20,0,0,0,0,0,0,0
01/28/20,0,0,0,0,0,0,0
01/29/20,0,0,0,0,0,0,0
01/30/20,0,0,0,0,0,0,0
01/31/20,0,0,0,0,0,0,0
02/01/20,0,0,0,0,0,0,0
02/02/20,0,0,0,0,0,0,0
02/03/20,0,0,0,0,0,0,0
02/04/20,0,0,0,0,0,0,0
02/05/20,0,0,0,0,0,0,0
02/06/20,0,0,0,0,0,0,0
02/07/20,0,0,0,0,0,0,0
02/08/20,0,0,0,0,0,0,0
02/09/20,0,0,0,0,0,0,0
02/10/20,0,0,0,0,0,0,0
02/11/20,0,0,0,0,0,0,0
02/12/20,0,0,0,0,0,0,0
02/13/20,0,0,0,0,0,0,0
02/14/20,0,0,0,0,0,0,0
02/15/20,0,0,0,0,0,0,0
02/16/20,0,0,0,0,0,0,0
02/17/20,0,0,0,0,0,0,0
02/18/20,0,0,0,0,0,0,0
02/19/20,0,0,0,0,0,0,0
02/20/20,0,0,0,0,0,0,0
02/21/20,0,0,0,0,0,0,0
02/22/20,0,0,0,0,0,0,0
02/23/20,0,0,0,0,0,0,0
02/24/20,0,0,0,0,0,0,0
02/25/20,0,0,0,0,0,0,0
02/26/20,0,0,0,0,0,0,0
02/27/20,0,0,0,0,0,0,0
02/28/20,0,0,0,0,0,0,0
02/29/20,0,0,0,0,0,0,0
03/01/20,0,0,0,0,0,0,0
03/02/20,0,0,0,0,0,0,0
03/03/20,0,0,0,0,0,0,0
03/04/20,0,0,0,0,0,0,0
03/05/20,0,0,0,0,0,0,0
03/06/20,0,0,0,0,0,0,0
03/07/20,0,0,0,0,0,0,0
03/08/20,0,0,0,0,0,0,0
03/09/20,0,0,0,0,0,0,0
03/10/20,0,0,0,0,0,0,0
03/11/20,0,0,0,0,0,0,0
03/12/20,0,0,0,0,0,0,0
03/13/20,0,0,0,0,0,0,0
03/14/20,0,0,0,0,0,0,0
03/15/20,0,0,0,0,0,0,0
03/16/20,0,0,0,0,0,0,0
03/17/20,0,0,0,0,0,0,0
03/18/20,0,0,0,0,0,0,0
03/19/20,1,0,0,1,0,0,0
03/20/20,1,0,0,0,0,0,0
03/21/20,3,0,0,2,0,0,0
03/22/20,3,0,0,0,0,0,0
03/23/20,3,0,0,0,0,0,0
03/24/20,5,0,0,2,0,0,0
03/25/20,9,0,0,4,0,0,0
03/26/20,13,0,0,4,0,0,0
03/27/20,13,0,0,0,0,0,0
03/28/20,19,0,0,6,0,0,0
03/29/20,24,0,0,5,0,0,0
03/30/20,30,0,0,6,0,0,0
03/31/20,32,1,0,2,1,0,1
04/01/20,32,1,0,0,0,0,0
04/02/20,41,2,0,9,1,0,1
04/03/20,46,2,0,5,0,0,0
04/04/20,56,3,2,10,1,2,3
04/05/20,62,3,2,6,0,0,0
04/06/20,69,4,5,7,1,3,4
04/07/20,78,4,5,9,0,0,0
04/08/20,93,5,9,15,1,4,5
04/09/20,103,6,14,10,1,5,6
04/10/20,117,6,15,14,0,1,1
04/11/20,118,6,19,1,0,4,4
04/12/20,125,6,21,7,0,2,2
04/13/20,137,6,22,12,0,1,1
04/14/20,149,6,25,12,0,3,3
04/15/20,159,6,30,10,0,5,5
04/16/20,164,6,33,5,0,3,3
04/17/20,177,7,38,13,1,5,6
04/18/20,190,7,43,13,0,5,5
04/19/20,201,7,44,11,0,1,1
04/20/20,218,7,46,17,0,2,2
04/21/20,225,7,48,7,0,2,2
04/22/20,237,7,63,12,0,15,15
04/23/20,250,8,67,13,1,4,5
04/24/20,274,8,75,24,0,8,8
04/25/20,274,8,75,0,0,0,0
04/26/20,298,8,83,24,0,8,8
04/27/20,323,8,89,25,0,6,6
