dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
01/22/20,0,0,0,0,0,0,0
01/23/20,0,0,0,0,0,0,0
01/24/20,2,0,0,2,0,0,0
01/25/20,3,0,0,1,0,0,0
01/26/20,3,0,0,0,0,0,0
01/27/20,3,0,0,0,0,0,0
01/28/20,4,0,0,1,0,0,0
01/29/20,5,0,0,1,0,0,0
01/30/20,5,0,0,0,0,0,0
01/31/20,5,0,0,0,0,0,0
02/01/20,6,0,0,1,0,0,0
02/02/20,6,0,0,0,0,0,0
02/03/20,6,0,0,0,0,0,0
02/04/20,6,0,0,0,0,0,0
02/05/20,6,0,0,0,0,0,0
02/06/20,6,0,0,0,0,0,0
02/07/20,6,0,0,0,0,0,0
02/08/20,11,0,0,5,0,0,0
02/09/20,11,0,0,0,0,0,0
02/10/20,11,0,0,0,0,0,0
02/11/20,11,0,0,0,0,0,0
02/12/20,11,0,2,0,0,2,2
02/13/20,11,0,2,0,0,0,0
02/14/20,11,0,2,0,0,0,0
02/15/20,12,1,4,1,1,2,3
02/16/20,12,1,4,0,0,0,0
02/17/20,12,1,4,0,0,0,0
02/18/20,12,1,4,0,0,0,0
02/19/20,12,1,4,0,0,0,0
02/20/20,12,1,4,0,0,0,0
02/21/20,12,1,4,0,0,0,0
02/22/20,12,1,4,0,0,0,0
02/23/20,12,1,4,0,0,0,0
02/24/20,12,1,4,0,0,0,0
02/25/20,14,1,11,2,0,7,7
02/26/20,18,2,11,4,1,0,1
02/27/20,38,2,11,20,0,0,0
02/28/20,57,2,11,19,0,0,0
02/29/20,100,2,12,43,0,1,1
03/01/20,130,2,12,30,0,0,0
03/02/20,191,3,12,61,1,0,1
03/03/20,204,4,12,13,1,0,1
03/04/20,285,4,12,81,0,0,0
03/05/20,377,6,12,92,2,0,2
03/06/20,653,9,12,276,3,0,3
03/07/20,949,11,12,296,2,0,2
03/08/20,1126,19,12,177,8,0,8
03/09/20,1209,19,12,83,0,0,0
03/10/20,1784,33,12,575,14,0,14
03/11/20,2281,48,12,497,15,0,15
03/12/20,2281,48,12,0,0,0,0
03/13/20,3661,79,12,1380,31,0,31
03/14/20,4469,91,12,808,12,0,12
03/15/20,4499,91,12,30,0,0,0
03/16/20,6633,148,12,2134,57,0,57
03/17/20,7652,148,12,1019,0,0,0
03/18/20,9043,148,12,1391,0,0,0
03/19/20,10871,243,12,1828,95,0,95
03/20/20,12612,450,12,1741,207,0,207
03/21/20,14282,562,12,1670,112,0,112
03/22/20,16018,674,2200,1736,112,2188,2300
03/23/20,19856,860,2200,3838,186,0,186
03/24/20,22304,1100,3243,2448,240,1043,1283
03/25/20,25233,1331,3900,2929,231,657,888
03/26/20,29155,1696,4948,3922,365,1048,1413
03/27/20,32964,1995,5700,3809,299,752,1051
03/28/20,37575,2314,5700,4611,319,0,319
03/29/20,40174,2606,7202,2599,292,1502,1794
03/30/20,44550,3024,7927,4376,418,725,1143
03/31/20,52128,3523,9444,7578,499,1517,2016
04/01/20,56989,4403,10934,4861,880,1490,2370
04/02/20,59105,5387,12428,2116,984,1494,2478
04/03/20,64338,6507,14008,5233,1120,1580,2700
04/04/20,68605,7560,15438,4267,1053,1430,2483
04/05/20,70478,8078,16183,1873,518,745,1263
04/06/20,74390,8911,17250,3912,833,1067,1900
04/07/20,78167,10328,19337,3777,1417,2087,3504
04/08/20,82048,10869,21254,3881,541,1917,2458
04/09/20,86334,12210,23206,4286,1341,1952,3293
04/10/20,90676,13197,24932,4342,987,1726,2713
04/11/20,93790,13832,26391,3114,635,1459,2094
04/12/20,120633,14393,27186,26843,561,795,1356
04/13/20,124298,14967,27718,3665,574,532,1106
04/14/20,129257,15729,28805,4959,762,1087,1849
04/15/20,132473,17167,30955,3216,1438,2150,3588
04/16/20,144944,17920,32812,12471,753,1857,2610
04/17/20,146923,18681,34420,1979,761,1608,2369
04/18/20,146906,19323,35983,-17,642,1563,2205
04/19/20,151808,19718,36578,4902,395,595,990
04/20/20,154188,20265,37409,2380,547,831,1378
04/21/20,156921,20796,39181,2733,531,1772,2303
04/22/20,154715,21340,40657,-2206,544,1476,2020
04/23/20,157026,21856,42088,2311,516,1431,1947
04/24/20,158636,22245,43493,1610,389,1405,1794
04/25/20,160292,22614,44594,1656,369,1101,1470
04/26/20,160847,22856,44903,555,242,309,551
04/27/20,164589,23293,45513,3742,437,610,1047
