dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
01/22/20,0,0,0,0,0,0,0
01/23/20,0,0,0,0,0,0,0
01/24/20,0,0,0,0,0,0,0
01/25/20,0,0,0,0,0,0,0
01/26/20,0,0,0,0,0,0,0
01/27/20,0,0,0,0,0,0,0
01/28/20,0,0,0,0,0,0,0
01/29/20,0,0,0,0,0,0,0
01/30/20,0,0,0,0,0,0,0
01/31/20,0,0,0,0,0,0,0
02/01/20,0,0,0,0,0,0,0
02/02/20,0,0,0,0,0,0,0
02/03/20,0,0,0,0,0,0,0
02/04/20,0,0,0,0,0,0,0
02/05/20,0,0,0,0,0,0,0
02/06/20,0,0,0,0,0,0,0
02/07/20,0,0,0,0,0,0,0
02/08/20,0,0,0,0,0,0,0
02/09/20,0,0,0,0,0,0,0
02/10/20,0,0,0,0,0,0,0
02/11/20,0,0,0,0,0,0,0
02/12/20,0,0,0,0,0,0,0
02/13/20,0,0,0,0,0,0,0
02/14/20,0,0,0,0,0,0,0
02/15/20,0,0,0,0,0,0,0
02/16/20,0,0,0,0,0,0,0
02/17/20,0,0,0,0,0,0,0
02/18/20,0,0,0,0,0,0,0
02/19/20,0,0,0,0,0,0,0
02/20/20,0,0,0,0,0,0,0
02/21/20,0,0,0,0,0,0,0
02/22/20,0,0,0,0,0,0,0
02/23/20,0,0,0,0,0,0,0
02/24/20,0,0,0,0,0,0,0
02/25/20,0,0,0,0,0,0,0
02/26/20,1,0,0,1,0,0,0
02/27/20,1,0,0,0,0,0,0
02/28/20,1,0,0,0,0,0,0
02/29/20,1,0,0,0,0,0,0
03/01/20,3,0,0,2,0,0,0
03/02/20,3,0,0,0,0,0,0
03/03/20,3,0,0,0,0,0,0
03/04/20,3,0,0,0,0,0,0
03/05/20,4,0,0,1,0,0,0
03/06/20,4,0,0,0,0,0,0
03/07/20,4,0,0,0,0,0,0
03/08/20,13,0,0,9,0,0,0
03/09/20,15,0,0,2,0,0,0
03/10/20,15,0,0,0,0,0,0
03/11/20,24,0,0,9,0,0,0
03/12/20,24,0,0,0,0,0,0
03/13/20,25,0,0,1,0,0,0
03/14/20,30,0,0,5,0,0,0
03/15/20,33,0,0,3,0,0,0
03/16/20,33,0,1,0,0,1,1
03/17/20,34,0,1,1,0,0,0
03/18/20,38,0,1,4,0,0,0
03/19/20,40,0,1,2,0,0,0
03/20/20,43,0,1,3,0,0,0
03/21/20,49,0,1,6,0,0,0
03/22/20,54,0,3,5,0,2,2
03/23/20,61,0,3,7,0,0,0
03/24/20,70,0,9,9,0,6,6
03/25/20,75,0,10,5,0,1,1
03/26/20,79,0,11,4,0,1,1
03/27/20,83,0,14,4,0,3,3
03/28/20,90,0,14,7,0,0,0
03/29/20,91,0,18,1,0,4,4
03/30/20,103,0,20,12,0,2,2
03/31/20,110,0,21,7,0,1,1
04/01/20,117,0,23,7,0,2,2
04/02/20,134,0,26,17,0,3,3
04/03/20,155,0,28,21,0,2,2
04/04/20,162,1,36,7,1,8,9
04/05/20,174,2,36,12,1,0,1
04/06/20,188,2,39,14,0,3,3
04/07/20,196,3,46,8,1,7,8
04/08/20,211,3,50,15,0,4,4
04/09/20,218,3,51,7,0,1,1
04/10/20,234,3,54,16,0,3,3
04/11/20,242,3,60,8,0,6,6
04/12/20,257,3,67,15,0,7,7
04/13/20,272,3,68,15,0,1,1
04/14/20,300,3,69,28,0,1,1
04/15/20,306,3,71,6,0,2,2
04/16/20,348,3,76,42,0,5,5
04/17/20,370,3,79,22,0,3,3
04/18/20,388,4,86,18,1,7,8
04/19/20,394,4,93,6,0,7,7
04/20/20,402,4,95,8,0,2,2
04/21/20,408,4,97,6,0,2,2
04/22/20,416,5,107,8,1,10,11
04/23/20,425,5,111,9,0,4,4
04/24/20,444,5,132,19,0,21,21
04/25/20,456,5,139,12,0,7,7
04/26/20,486,6,149,30,1,10,11
04/27/20,497,6,156,11,0,7,7
