dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
01/22/20,0,0,0,0,0,0,0
01/23/20,0,0,0,0,0,0,0
01/24/20,0,0,0,0,0,0,0
01/25/20,0,0,0,0,0,0,0
01/26/20,0,0,0,0,0,0,0
01/27/20,1,0,0,1,0,0,0
01/28/20,4,0,0,3,0,0,0
01/29/20,4,0,0,0,0,0,0
01/30/20,4,0,0,0,0,0,0
01/31/20,5,0,0,1,0,0,0
02/01/20,8,0,0,3,0,0,0
02/02/20,10,0,0,2,0,0,0
02/03/20,12,0,0,2,0,0,0
02/04/20,12,0,0,0,0,0,0
02/05/20,12,0,0,0,0,0,0
02/06/20,12,0,0,0,0,0,0
02/07/20,13,0,0,1,0,0,0
02/08/20,13,0,0,0,0,0,0
02/09/20,14,0,0,1,0,0,0
02/10/20,14,0,0,0,0,0,0
02/11/20,16,0,0,2,0,0,0
02/12/20,16,0,0,0,0,0,0
02/13/20,16,0,1,0,0,1,1
02/14/20,16,0,1,0,0,0,0
02/15/20,16,0,1,0,0,0,0
02/16/20,16,0,1,0,0,0,0
02/17/20,16,0,1,0,0,0,0
02/18/20,16,0,12,0,0,11,11
02/19/20,16,0,12,0,0,0,0
02/20/20,16,0,12,0,0,0,0
02/21/20,16,0,14,0,0,2,2
02/22/20,16,0,14,0,0,0,0
02/23/20,16,0,14,0,0,0,0
02/24/20,16,0,14,0,0,0,0
02/25/20,17,0,14,1,0,0,0
02/26/20,27,0,15,10,0,1,1
02/27/20,46,0,16,19,0,1,1
02/28/20,48,0,16,2,0,0,0
02/29/20,79,0,16,31,0,0,0
03/01/20,130,0,16,51,0,0,0
03/02/20,159,0,16,29,0,0,0
03/03/20,196,0,16,37,0,0,0
03/04/20,262,0,16,66,0,0,0
03/05/20,482,0,16,220,0,0,0
03/06/20,670,0,17,188,0,1,1
03/07/20,799,0,18,129,0,1,1
03/08/20,1040,0,18,241,0,0,0
03/09/20,1176,2,18,136,2,0,2
03/10/20,1457,2,18,281,0,0,0
03/11/20,1908,3,25,451,1,7,8
03/12/20,2078,3,25,170,0,0,0
03/13/20,3675,7,46,1597,4,21,25
03/14/20,4585,9,46,910,2,0,2
03/15/20,5795,11,46,1210,2,0,2
03/16/20,7272,17,67,1477,6,21,27
03/17/20,9257,24,67,1985,7,0,7
03/18/20,12327,28,105,3070,4,38,42
03/19/20,15320,44,113,2993,16,8,24
03/20/20,19848,67,180,4528,23,67,90
03/21/20,22213,84,233,2365,17,53,70
03/22/20,24873,94,266,2660,10,33,43
03/23/20,29056,123,266,4183,29,0,29
03/24/20,32986,157,3243,3930,34,2977,3011
03/25/20,37323,206,3547,4337,49,304,353
03/26/20,43938,267,5673,6615,61,2126,2187
03/27/20,50871,342,6658,6933,75,985,1060
03/28/20,57695,433,8481,6824,91,1823,1914
03/29/20,62095,533,9211,4400,100,730,830
03/30/20,66885,645,13500,4790,112,4289,4401
03/31/20,71808,775,16100,4923,130,2600,2730
04/01/20,77872,920,18700,6064,145,2600,2745
04/02/20,84794,1107,22440,6922,187,3740,3927
04/03/20,91159,1275,24575,6365,168,2135,2303
04/04/20,96092,1444,26400,4933,169,1825,1994
04/05/20,100123,1584,28700,4031,140,2300,2440
04/06/20,103374,1810,28700,3251,226,0,226
04/07/20,107663,2016,36081,4289,206,7381,7587
04/08/20,113296,2349,46300,5633,333,10219,10552
04/09/20,118181,2607,52407,4885,258,6107,6365
04/10/20,122171,2767,53913,3990,160,1506,1666
04/11/20,124908,2736,57400,2737,-31,3487,3456
04/12/20,127854,3022,60300,2946,286,2900,3186
04/13/20,130072,3194,64300,2218,172,4000,4172
04/14/20,131359,3294,68200,1287,100,3900,4000
04/15/20,134753,3804,72600,3394,510,4400,4910
04/16/20,137698,4052,77000,2945,248,4400,4648
04/17/20,141397,4352,83114,3699,300,6114,6414
04/18/20,143342,4459,85400,1945,107,2286,2393
04/19/20,145184,4586,88000,1842,127,2600,2727
04/20/20,147065,4862,91500,1881,276,3500,3776
04/21/20,148291,5033,95200,1226,171,3700,3871
04/22/20,150648,5279,99400,2357,246,4200,4446
04/23/20,153129,5575,103300,2481,296,3900,4196
04/24/20,154999,5760,109800,1870,185,6500,6685
04/25/20,156513,5877,109800,1514,117,0,117
04/26/20,157770,5976,112000,1257,99,2200,2299
04/27/20,158758,6126,114500,988,150,2500,2650
