dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
01/22/20,0,0,0,0,0,0,0
01/23/20,0,0,0,0,0,0,0
01/24/20,0,0,0,0,0,0,0
01/25/20,0,0,0,0,0,0,0
01/26/20,0,0,0,0,0,0,0
01/27/20,0,0,0,0,0,0,0
01/28/20,0,0,0,0,0,0,0
01/29/20,0,0,0,0,0,0,0
01/30/20,0,0,0,0,0,0,0
01/31/20,0,0,0,0,0,0,0
02/01/20,0,0,0,0,0,0,0
02/02/20,0,0,0,0,0,0,0
02/03/20,0,0,0,0,0,0,0
02/04/20,0,0,0,0,0,0,0
02/05/20,0,0,0,0,0,0,0
02/06/20,0,0,0,0,0,0,0
02/07/20,0,0,0,0,0,0,0
02/08/20,0,0,0,0,0,0,0
02/09/20,0,0,0,0,0,0,0
02/10/20,0,0,0,0,0,0,0
02/11/20,0,0,0,0,0,0,0
02/12/20,0,0,0,0,0,0,0
02/13/20,0,0,0,0,0,0,0
02/14/20,0,0,0,0,0,0,0
02/15/20,0,0,0,0,0,0,0
02/16/20,0,0,0,0,0,0,0
02/17/20,0,0,0,0,0,0,0
02/18/20,0,0,0,0,0,0,0
02/19/20,0,0,0,0,0,0,0
02/20/20,0,0,0,0,0,0,0
02/21/20,0,0,0,0,0,0,0
02/22/20,0,0,0,0,0,0,0
02/23/20,0,0,0,0,0,0,0
02/24/20,0,0,0,0,0,0,0
02/25/20,0,0,0,0,0,0,0
02/26/20,0,0,0,0,0,0,0
02/27/20,0,0,0,0,0,0,0
02/28/20,0,0,0,0,0,0,0
02/29/20,0,0,0,0,0,0,0
03/01/20,0,0,0,0,0,0,0
03/02/20,0,0,0,0,0,0,0
03/03/20,0,0,0,0,0,0,0
03/04/20,0,0,0,0,0,0,0
03/05/20,0,0,0,0,0,0,0
03/06/20,0,0,0,0,0,0,0
03/07/20,0,0,0,0,0,0,0
03/08/20,0,0,0,0,0,0,0
03/09/20,0,0,0,0,0,0,0
03/10/20,0,0,0,0,0,0,0
03/11/20,0,0,0,0,0,0,0
03/12/20,1,1,0,1,1,0,1
03/13/20,1,1,0,0,0,0,0
03/14/20,1,1,0,0,0,0,0
03/15/20,4,1,0,3,0,0,0
03/16/20,4,1,0,0,0,0,0
03/17/20,7,1,0,3,0,0,0
03/18/20,7,1,0,0,0,0,0
03/19/20,7,1,0,0,0,0,0
03/20/20,7,1,0,0,0,0,0
03/21/20,7,1,0,0,0,0,0
03/22/20,19,1,0,12,0,0,0
03/23/20,20,1,0,1,0,0,0
03/24/20,5,1,0,-15,0,0,0
03/25/20,5,1,0,0,0,0,0
03/26/20,5,1,0,0,0,0,0
03/27/20,5,1,0,0,0,0,0
03/28/20,8,1,0,3,0,0,0
03/29/20,8,1,0,0,0,0,0
03/30/20,8,1,0,0,0,0,0
03/31/20,12,2,0,4,1,0,1
04/01/20,19,2,0,7,0,0,0
04/02/20,19,4,0,0,2,0,2
04/03/20,23,4,0,4,0,0,0
04/04/20,23,4,0,0,0,0,0
04/05/20,24,4,0,1,0,0,0
04/06/20,31,4,8,7,0,8,8
04/07/20,33,5,8,2,1,0,1
04/08/20,37,6,8,4,1,0,1
04/09/20,37,6,8,0,0,0,0
04/10/20,37,6,8,0,0,0,0
04/11/20,45,6,8,8,0,0,0
04/12/20,45,6,8,0,0,0,0
04/13/20,45,6,8,0,0,0,0
04/14/20,47,6,8,2,0,0,0
04/15/20,55,6,8,8,0,0,0
04/16/20,55,6,8,0,0,0,0
04/17/20,63,6,9,8,0,1,1
04/18/20,63,6,9,0,0,0,0
04/19/20,65,7,9,2,1,0,1
04/20/20,65,7,9,0,0,0,0
04/21/20,66,7,9,1,0,0,0
04/22/20,67,7,9,1,0,0,0
04/23/20,70,7,9,3,0,0,0
04/24/20,73,7,12,3,0,3,3
04/25/20,73,7,12,0,0,0,0
04/26/20,74,8,12,1,1,0,1
04/27/20,74,8,15,0,0,3,3
