dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
01/22/20,0,0,0,0,0,0,0
01/23/20,0,0,0,0,0,0,0
01/24/20,0,0,0,0,0,0,0
01/25/20,0,0,0,0,0,0,0
01/26/20,0,0,0,0,0,0,0
01/27/20,0,0,0,0,0,0,0
01/28/20,0,0,0,0,0,0,0
01/29/20,0,0,0,0,0,0,0
01/30/20,0,0,0,0,0,0,0
01/31/20,0,0,0,0,0,0,0
02/01/20,0,0,0,0,0,0,0
02/02/20,0,0,0,0,0,0,0
02/03/20,0,0,0,0,0,0,0
02/04/20,0,0,0,0,0,0,0
02/05/20,0,0,0,0,0,0,0
02/06/20,0,0,0,0,0,0,0
02/07/20,0,0,0,0,0,0,0
02/08/20,0,0,0,0,0,0,0
02/09/20,0,0,0,0,0,0,0
02/10/20,0,0,0,0,0,0,0
02/11/20,0,0,0,0,0,0,0
02/12/20,0,0,0,0,0,0,0
02/13/20,0,0,0,0,0,0,0
02/14/20,0,0,0,0,0,0,0
02/15/20,0,0,0,0,0,0,0
02/16/20,0,0,0,0,0,0,0
02/17/20,0,0,0,0,0,0,0
02/18/20,0,0,0,0,0,0,0
02/19/20,0,0,0,0,0,0,0
02/20/20,0,0,0,0,0,0,0
02/21/20,0,0,0,0,0,0,0
02/22/20,0,0,0,0,0,0,0
02/23/20,0,0,0,0,0,0,0
02/24/20,0,0,0,0,0,0,0
02/25/20,0,0,0,0,0,0,0
02/26/20,0,0,0,0,0,0,0
02/27/20,0,0,0,0,0,0,0
02/28/20,0,0,0,0,0,0,0
02/29/20,0,0,0,0,0,0,0
03/01/20,0,0,0,0,0,0,0
03/02/20,0,0,0,0,0,0,0
03/03/20,0,0,0,0,0,0,0
03/04/20,0,0,0,0,0,0,0
03/05/20,0,0,0,0,0,0,0
03/06/20,0,0,0,0,0,0,0
03/07/20,0,0,0,0,0,0,0
03/08/20,0,0,0,0,0,0,0
03/09/20,0,0,0,0,0,0,0
03/10/20,0,0,0,0,0,0,0
03/11/20,0,0,0,0,0,0,0
03/12/20,0,0,0,0,0,0,0
03/13/20,0,0,0,0,0,0,0
03/14/20,0,0,0,0,0,0,0
03/15/20,0,0,0,0,0,0,0
03/16/20,0,0,0,0,0,0,0
03/17/20,0,0,0,0,0,0,0
03/18/20,0,0,0,0,0,0,0
03/19/20,0,0,0,0,0,0,0
03/20/20,2,0,0,2,0,0,0
03/21/20,2,0,0,0,0,0,0
03/22/20,2,0,0,0,0,0,0
03/23/20,6,0,0,4,0,0,0
03/24/20,7,0,0,1,0,0,0
03/25/20,8,0,0,1,0,0,0
03/26/20,8,0,0,0,0,0,0
03/27/20,8,0,0,0,0,0,0
03/28/20,8,0,0,0,0,0,0
03/29/20,15,0,1,7,0,1,1
03/30/20,15,0,1,0,0,0,0
03/31/20,15,0,1,0,0,0,0
04/01/20,16,0,1,1,0,0,0
04/02/20,16,0,1,0,0,0,0
04/03/20,18,0,1,2,0,0,0
04/04/20,20,0,1,2,0,0,0
04/05/20,21,1,1,1,1,0,1
04/06/20,24,1,0,3,0,-1,-1
04/07/20,25,1,0,1,0,0,0
04/08/20,27,1,0,2,0,0,0
04/09/20,30,2,0,3,1,0,1
04/10/20,31,2,0,1,0,0,0
04/11/20,33,2,0,2,0,0,0
04/12/20,33,3,0,0,1,0,1
04/13/20,40,3,0,7,0,0,0
04/14/20,40,3,0,0,0,0,0
04/15/20,41,3,0,1,0,0,0
04/16/20,41,3,0,0,0,0,0
04/17/20,43,3,0,2,0,0,0
04/18/20,44,3,0,1,0,0,0
04/19/20,47,3,0,3,0,0,0
04/20/20,57,3,0,10,0,0,0
04/21/20,57,3,0,0,0,0,0
04/22/20,62,4,2,5,1,2,3
04/23/20,72,5,2,10,1,0,1
04/24/20,72,5,2,0,0,0,0
04/25/20,72,6,6,0,1,4,5
04/26/20,74,6,7,2,0,1,1
04/27/20,76,6,8,2,0,1,1
