,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,01/22/20,0,0,0,0,0,0,0
1,01/23/20,0,0,0,0,0,0,0
2,01/24/20,0,0,0,0,0,0,0
3,01/25/20,0,0,0,0,0,0,0
4,01/26/20,0,0,0,0,0,0,0
5,01/27/20,0,0,0,0,0,0,0
6,01/28/20,0,0,0,0,0,0,0
7,01/29/20,0,0,0,0,0,0,0
8,01/30/20,0,0,0,0,0,0,0
9,01/31/20,0,0,0,0,0,0,0
10,02/01/20,0,0,0,0,0,0,0
11,02/02/20,0,0,0,0,0,0,0
12,02/03/20,0,0,0,0,0,0,0
13,02/04/20,0,0,0,0,0,0,0
14,02/05/20,0,0,0,0,0,0,0
15,02/06/20,0,0,0,0,0,0,0
16,02/07/20,0,0,0,0,0,0,0
17,02/08/20,0,0,0,0,0,0,0
18,02/09/20,0,0,0,0,0,0,0
19,02/10/20,0,0,0,0,0,0,0
20,02/11/20,0,0,0,0,0,0,0
21,02/12/20,0,0,0,0,0,0,0
22,02/13/20,0,0,0,0,0,0,0
23,02/14/20,0,0,0,0,0,0,0
24,02/15/20,0,0,0,0,0,0,0
25,02/16/20,0,0,0,0,0,0,0
26,02/17/20,0,0,0,0,0,0,0
27,02/18/20,0,0,0,0,0,0,0
28,02/19/20,0,0,0,0,0,0,0
29,02/20/20,0,0,0,0,0,0,0
30,02/21/20,0,0,0,0,0,0,0
31,02/22/20,0,0,0,0,0,0,0
32,02/23/20,0,0,0,0,0,0,0
33,02/24/20,0,0,0,0,0,0,0
34,02/25/20,0,0,0,0,0,0,0
35,02/26/20,0,0,0,0,0,0,0
36,02/27/20,0,0,0,0,0,0,0
37,02/28/20,0,0,0,0,0,0,0
38,02/29/20,0,0,0,0,0,0,0
39,03/01/20,0,0,0,0,0,0,0
40,03/02/20,0,0,0,0,0,0,0
41,03/03/20,0,0,0,0,0,0,0
42,03/04/20,0,0,0,0,0,0,0
43,03/05/20,0,0,0,0,0,0,0
44,03/06/20,0,0,0,0,0,0,0
45,03/07/20,0,0,0,0,0,0,0
46,03/08/20,0,0,0,0,0,0,0
47,03/09/20,0,0,0,0,0,0,0
48,03/10/20,0,0,0,0,0,0,0
49,03/11/20,2,0,0,2,0,0,0
50,03/12/20,2,0,0,0,0,0,0
51,03/13/20,2,0,0,0,0,0,0
52,03/14/20,2,0,0,0,0,0,0
53,03/15/20,3,0,0,1,0,0,0
54,03/16/20,6,0,0,3,0,0,0
55,03/17/20,8,0,0,2,0,0,0
56,03/18/20,9,0,0,1,0,0,0
57,03/19/20,12,0,0,3,0,0,0
58,03/20/20,24,0,0,12,0,0,0
59,03/21/20,24,0,0,0,0,0,0
60,03/22/20,26,0,0,2,0,0,0
61,03/23/20,30,0,0,4,0,0,0
62,03/24/20,30,0,0,0,0,0,0
63,03/25/20,36,0,0,6,0,0,0
64,03/26/20,52,1,0,16,1,0,1
65,03/27/20,68,1,0,16,0,0,0
66,03/28/20,95,1,3,27,0,3,3
67,03/29/20,110,3,3,15,2,0,2
68,03/30/20,139,7,3,29,4,0,4
69,03/31/20,141,7,3,2,0,0,0
70,04/01/20,172,10,3,31,3,0,3
71,04/02/20,219,14,3,47,4,0,4
72,04/03/20,222,15,3,3,1,0,1
73,04/04/20,264,15,3,42,0,0,0
74,04/05/20,268,22,6,4,7,3,10
75,04/06/20,298,22,6,30,0,0,0
76,04/07/20,305,22,6,7,0,0,0
77,04/08/20,312,22,6,7,0,0,0
78,04/09/20,343,23,6,31,1,0,1
79,04/10/20,382,23,7,39,0,1,1
80,04/11/20,392,24,7,10,1,0,1
81,04/12/20,393,25,7,1,1,0,1
82,04/13/20,397,25,7,4,0,0,0
83,04/14/20,407,26,7,10,1,0,1
84,04/15/20,419,31,9,12,5,2,7
85,04/16/20,426,35,9,7,4,0,4
86,04/17/20,442,41,10,16,6,1,7
87,04/18/20,457,46,10,15,5,0,5
88,04/19/20,472,46,15,15,0,5,5
89,04/20/20,477,46,25,5,0,10,10
90,04/21/20,494,46,29,17,0,4,4
91,04/22/20,510,46,30,16,0,1,1
92,04/23/20,519,47,31,9,1,1,2
93,04/24/20,591,55,58,72,8,27,35
94,04/25/20,627,59,65,36,4,7,11
95,04/26/20,627,59,65,0,0,0,0
