dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
01/22/20,0,0,0,0,0,0,0
01/23/20,0,0,0,0,0,0,0
01/24/20,0,0,0,0,0,0,0
01/25/20,0,0,0,0,0,0,0
01/26/20,0,0,0,0,0,0,0
01/27/20,0,0,0,0,0,0,0
01/28/20,0,0,0,0,0,0,0
01/29/20,0,0,0,0,0,0,0
01/30/20,1,0,0,1,0,0,0
01/31/20,1,0,0,0,0,0,0
02/01/20,1,0,0,0,0,0,0
02/02/20,2,0,0,1,0,0,0
02/03/20,3,0,0,1,0,0,0
02/04/20,3,0,0,0,0,0,0
02/05/20,3,0,0,0,0,0,0
02/06/20,3,0,0,0,0,0,0
02/07/20,3,0,0,0,0,0,0
02/08/20,3,0,0,0,0,0,0
02/09/20,3,0,0,0,0,0,0
02/10/20,3,0,0,0,0,0,0
02/11/20,3,0,0,0,0,0,0
02/12/20,3,0,0,0,0,0,0
02/13/20,3,0,0,0,0,0,0
02/14/20,3,0,0,0,0,0,0
02/15/20,3,0,0,0,0,0,0
02/16/20,3,0,3,0,0,3,3
02/17/20,3,0,3,0,0,0,0
02/18/20,3,0,3,0,0,0,0
02/19/20,3,0,3,0,0,0,0
02/20/20,3,0,3,0,0,0,0
02/21/20,3,0,3,0,0,0,0
02/22/20,3,0,3,0,0,0,0
02/23/20,3,0,3,0,0,0,0
02/24/20,3,0,3,0,0,0,0
02/25/20,3,0,3,0,0,0,0
02/26/20,3,0,3,0,0,0,0
02/27/20,3,0,3,0,0,0,0
02/28/20,3,0,3,0,0,0,0
02/29/20,3,0,3,0,0,0,0
03/01/20,3,0,3,0,0,0,0
03/02/20,5,0,3,2,0,0,0
03/03/20,5,0,3,0,0,0,0
03/04/20,28,0,3,23,0,0,0
03/05/20,30,0,3,2,0,0,0
03/06/20,31,0,3,1,0,0,0
03/07/20,34,0,3,3,0,0,0
03/08/20,39,0,3,5,0,0,0
03/09/20,43,0,3,4,0,0,0
03/10/20,56,0,4,13,0,1,1
03/11/20,62,1,4,6,1,0,1
03/12/20,73,1,4,11,0,0,0
03/13/20,82,2,4,9,1,0,1
03/14/20,102,2,4,20,0,0,0
03/15/20,113,2,13,11,0,9,9
03/16/20,119,2,13,6,0,0,0
03/17/20,142,3,14,23,1,1,2
03/18/20,156,3,14,14,0,0,0
03/19/20,194,4,15,38,1,1,2
03/20/20,244,5,20,50,1,5,6
03/21/20,330,4,23,86,-1,3,2
03/22/20,396,7,27,66,3,4,7
03/23/20,499,10,27,103,3,0,3
03/24/20,536,10,40,37,0,13,13
03/25/20,657,12,43,121,2,3,5
03/26/20,727,20,45,70,8,2,10
03/27/20,887,20,73,160,0,28,28
03/28/20,987,24,84,100,4,11,15
03/29/20,1024,27,95,37,3,11,14
03/30/20,1251,32,102,227,5,7,12
03/31/20,1397,35,123,146,3,21,24
04/01/20,1998,58,148,601,23,25,48
04/02/20,2543,72,191,545,14,43,57
04/03/20,2567,72,192,24,0,1,1
04/04/20,3082,86,229,515,14,37,51
04/05/20,3588,99,229,506,13,0,13
04/06/20,4778,136,375,1190,37,146,183
04/07/20,5311,150,421,533,14,46,60
04/08/20,5916,178,506,605,28,85,113
04/09/20,6725,226,620,809,48,114,162
04/10/20,7598,246,774,873,20,154,174
04/11/20,8446,288,969,848,42,195,237
04/12/20,9205,331,1080,759,43,111,154
04/13/20,10453,358,1181,1248,27,101,128
04/14/20,11487,393,1359,1034,35,178,213
04/15/20,12322,405,1432,835,12,73,85
04/16/20,13430,448,1768,1108,43,336,379
04/17/20,14352,486,2041,922,38,273,311
04/18/20,15722,521,2463,1370,35,422,457
04/19/20,17615,559,2854,1893,38,391,429
04/20/20,18539,592,3273,924,33,419,452
04/21/20,20080,645,3975,1541,53,702,755
04/22/20,21370,681,4370,1290,36,395,431
04/23/20,23077,721,5012,1707,40,642,682
04/24/20,24530,780,5498,1453,59,486,545
04/25/20,26283,825,5939,1753,45,441,486
04/26/20,27890,881,6523,1607,56,584,640
04/27/20,29451,939,7137,1561,58,614,672
