,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,01/22/20,0,0,0,0,0,0,0
1,01/23/20,0,0,0,0,0,0,0
2,01/24/20,0,0,0,0,0,0,0
3,01/25/20,0,0,0,0,0,0,0
4,01/26/20,0,0,0,0,0,0,0
5,01/27/20,0,0,0,0,0,0,0
6,01/28/20,0,0,0,0,0,0,0
7,01/29/20,0,0,0,0,0,0,0
8,01/30/20,0,0,0,0,0,0,0
9,01/31/20,0,0,0,0,0,0,0
10,02/01/20,0,0,0,0,0,0,0
11,02/02/20,0,0,0,0,0,0,0
12,02/03/20,0,0,0,0,0,0,0
13,02/04/20,0,0,0,0,0,0,0
14,02/05/20,0,0,0,0,0,0,0
15,02/06/20,0,0,0,0,0,0,0
16,02/07/20,0,0,0,0,0,0,0
17,02/08/20,0,0,0,0,0,0,0
18,02/09/20,0,0,0,0,0,0,0
19,02/10/20,0,0,0,0,0,0,0
20,02/11/20,0,0,0,0,0,0,0
21,02/12/20,0,0,0,0,0,0,0
22,02/13/20,0,0,0,0,0,0,0
23,02/14/20,0,0,0,0,0,0,0
24,02/15/20,0,0,0,0,0,0,0
25,02/16/20,0,0,0,0,0,0,0
26,02/17/20,0,0,0,0,0,0,0
27,02/18/20,0,0,0,0,0,0,0
28,02/19/20,0,0,0,0,0,0,0
29,02/20/20,0,0,0,0,0,0,0
30,02/21/20,0,0,0,0,0,0,0
31,02/22/20,0,0,0,0,0,0,0
32,02/23/20,0,0,0,0,0,0,0
33,02/24/20,0,0,0,0,0,0,0
34,02/25/20,0,0,0,0,0,0,0
35,02/26/20,0,0,0,0,0,0,0
36,02/27/20,0,0,0,0,0,0,0
37,02/28/20,0,0,0,0,0,0,0
38,02/29/20,1,0,0,1,0,0,0
39,03/01/20,1,0,0,0,0,0,0
40,03/02/20,1,0,0,0,0,0,0
41,03/03/20,2,0,0,1,0,0,0
42,03/04/20,6,0,0,4,0,0,0
43,03/05/20,6,0,0,0,0,0,0
44,03/06/20,18,0,0,12,0,0,0
45,03/07/20,18,0,0,0,0,0,0
46,03/08/20,19,0,0,1,0,0,0
47,03/09/20,21,0,0,2,0,0,0
48,03/10/20,34,0,0,13,0,0,0
49,03/11/20,43,1,0,9,1,0,1
50,03/12/20,43,1,0,0,0,0,0
51,03/13/20,90,1,0,47,0,0,0
52,03/14/20,129,2,0,39,1,0,1
53,03/15/20,129,2,0,0,0,0,0
54,03/16/20,169,2,0,40,0,0,0
55,03/17/20,223,2,5,54,0,5,5
56,03/18/20,292,2,5,69,0,0,0
57,03/19/20,557,3,5,265,1,0,1
58,03/20/20,683,3,5,126,0,0,0
59,03/21/20,785,3,5,102,0,0,0
60,03/22/20,906,4,5,121,1,0,1
61,03/23/20,1125,6,5,219,2,0,2
62,03/24/20,1329,7,5,204,1,0,1
63,03/25/20,1564,9,5,235,2,0,2
64,03/26/20,1819,19,5,255,10,0,10
65,03/27/20,2121,22,5,302,3,0,3
66,03/28/20,2415,36,5,294,14,0,14
67,03/29/20,2615,46,5,200,10,0,10
68,03/30/20,2910,54,5,295,8,0,8
69,03/31/20,3235,71,5,325,17,0,17
70,04/01/20,3447,85,5,212,14,0,14
71,04/02/20,3849,98,5,402,13,0,13
72,04/03/20,4273,120,5,424,22,0,22
73,04/04/20,4604,137,25,331,17,20,37
74,04/05/20,4994,158,25,390,21,0,21
75,04/06/20,5364,174,25,370,16,0,16
76,04/07/20,5709,210,25,345,36,0,36
77,04/08/20,6074,235,25,365,25,0,25
78,04/09/20,6574,263,25,500,28,0,28
79,04/10/20,8089,287,25,1515,24,0,24
80,04/11/20,8928,320,25,839,33,0,33
81,04/12/20,9655,334,25,727,14,0,14
82,04/13/20,10647,365,25,992,31,0,31
83,04/14/20,11479,406,25,832,41,0,41
84,04/15/20,12547,444,77,1068,38,52,90
85,04/16/20,13271,486,77,724,42,0,42
86,04/17/20,13980,530,77,709,44,0,44
87,04/18/20,14758,571,77,778,41,0,41
88,04/19/20,15251,610,77,493,39,0,39
89,04/20/20,15652,687,77,401,77,0,77
90,04/21/20,16040,730,9233,388,43,9156,9199
91,04/22/20,16671,769,9233,631,39,0,39
92,04/23/20,17607,794,9233,936,25,0,25
93,04/24/20,18184,1014,9233,577,220,0,220
94,04/25/20,18561,1063,9233,377,49,0,49
95,04/26/20,19262,1087,9233,701,24,0,24
