dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
01/22/20,0,0,0,0,0,0,0
01/23/20,0,0,0,0,0,0,0
01/24/20,0,0,0,0,0,0,0
01/25/20,0,0,0,0,0,0,0
01/26/20,0,0,0,0,0,0,0
01/27/20,0,0,0,0,0,0,0
01/28/20,0,0,0,0,0,0,0
01/29/20,0,0,0,0,0,0,0
01/30/20,0,0,0,0,0,0,0
01/31/20,2,0,0,2,0,0,0
02/01/20,2,0,0,0,0,0,0
02/02/20,2,0,0,0,0,0,0
02/03/20,2,0,0,0,0,0,0
02/04/20,2,0,0,0,0,0,0
02/05/20,2,0,0,0,0,0,0
02/06/20,2,0,0,0,0,0,0
02/07/20,3,0,0,1,0,0,0
02/08/20,3,0,0,0,0,0,0
02/09/20,3,0,0,0,0,0,0
02/10/20,3,0,0,0,0,0,0
02/11/20,3,0,0,0,0,0,0
02/12/20,3,0,0,0,0,0,0
02/13/20,3,0,0,0,0,0,0
02/14/20,3,0,0,0,0,0,0
02/15/20,3,0,0,0,0,0,0
02/16/20,3,0,0,0,0,0,0
02/17/20,3,0,0,0,0,0,0
02/18/20,3,0,0,0,0,0,0
02/19/20,3,0,0,0,0,0,0
02/20/20,3,0,0,0,0,0,0
02/21/20,20,1,0,17,1,0,1
02/22/20,62,2,1,42,1,1,2
02/23/20,155,3,2,93,1,1,2
02/24/20,229,7,1,74,4,-1,3
02/25/20,322,10,1,93,3,0,3
02/26/20,453,12,3,131,2,2,4
02/27/20,655,17,45,202,5,42,47
02/28/20,888,21,46,233,4,1,5
02/29/20,1128,29,46,240,8,0,8
03/01/20,1694,34,83,566,5,37,42
03/02/20,2036,52,149,342,18,66,84
03/03/20,2502,79,160,466,27,11,38
03/04/20,3089,107,276,587,28,116,144
03/05/20,3858,148,414,769,41,138,179
03/06/20,4636,197,523,778,49,109,158
03/07/20,5883,233,589,1247,36,66,102
03/08/20,7375,366,622,1492,133,33,166
03/09/20,9172,463,724,1797,97,102,199
03/10/20,10149,631,724,977,168,0,168
03/11/20,12462,827,1045,2313,196,321,517
03/12/20,12462,827,1045,0,0,0,0
03/13/20,17660,1266,1439,5198,439,394,833
03/14/20,21157,1441,1966,3497,175,527,702
03/15/20,24747,1809,2335,3590,368,369,737
03/16/20,27980,2158,2749,3233,349,414,763
03/17/20,31506,2503,2941,3526,345,192,537
03/18/20,35713,2978,4025,4207,475,1084,1559
03/19/20,41035,3405,4440,5322,427,415,842
03/20/20,47021,4032,4440,5986,627,0,627
03/21/20,53578,4825,6072,6557,793,1632,2425
03/22/20,59138,5476,7024,5560,651,952,1603
03/23/20,63927,6077,7024,4789,601,0,601
03/24/20,69176,6820,8326,5249,743,1302,2045
03/25/20,74386,7503,9362,5210,683,1036,1719
03/26/20,80589,8215,10361,6203,712,999,1711
03/27/20,86498,9134,10950,5909,919,589,1508
03/28/20,92472,10023,12384,5974,889,1434,2323
03/29/20,97689,10779,13030,5217,756,646,1402
03/30/20,101739,11591,14620,4050,812,1590,2402
03/31/20,105792,12428,15729,4053,837,1109,1946
04/01/20,110574,13155,16847,4782,727,1118,1845
04/02/20,115242,13915,18278,4668,760,1431,2191
04/03/20,119827,14681,19758,4585,766,1480,2246
04/04/20,124632,15362,20996,4805,681,1238,1919
04/05/20,128948,15887,21815,4316,525,819,1344
04/06/20,132547,16523,22837,3599,636,1022,1658
04/07/20,135586,17127,24392,3039,604,1555,2159
04/08/20,139422,17669,26491,3836,542,2099,2641
04/09/20,143626,18279,28470,4204,610,1979,2589
04/10/20,147577,18849,30455,3951,570,1985,2555
04/11/20,152271,19468,32534,4694,619,2079,2698
04/12/20,156363,19899,34211,4092,431,1677,2108
04/13/20,159516,20465,35435,3153,566,1224,1790
04/14/20,162488,21067,37130,2972,602,1695,2297
04/15/20,165155,21645,38092,2667,578,962,1540
04/16/20,168941,22170,40164,3786,525,2072,2597
04/17/20,172434,22745,42727,3493,575,2563,3138
04/18/20,175925,23227,44927,3491,482,2200,2682
04/19/20,178972,23660,47055,3047,433,2128,2561
04/20/20,181228,24114,48877,2256,454,1822,2276
04/21/20,183957,24648,51600,2729,534,2723,3257
04/22/20,187327,25085,54543,3370,437,2943,3380
04/23/20,189973,25549,57576,2646,464,3033,3497
04/24/20,192994,25969,60498,3021,420,2922,3342
04/25/20,195351,26384,63120,2357,415,2622,3037
04/26/20,197675,26644,64928,2324,260,1808,2068
04/27/20,199414,26977,66624,1739,333,1696,2029
