,dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
0,01/22/20,1,0,0.0,0,0,0,0
1,01/23/20,1,0,0.0,0,0,0,0
2,01/24/20,2,0,0.0,1,0,0,0
3,01/25/20,2,0,0.0,0,0,0,0
4,01/26/20,3,0,0.0,1,0,0,0
5,01/27/20,4,0,0.0,1,0,0,0
6,01/28/20,4,0,0.0,0,0,0,0
7,01/29/20,4,0,0.0,0,0,0,0
8,01/30/20,4,0,0.0,0,0,0,0
9,01/31/20,11,0,0.0,7,0,0,0
10,02/01/20,12,0,0.0,1,0,0,0
11,02/02/20,15,0,0.0,3,0,0,0
12,02/03/20,15,0,0.0,0,0,0,0
13,02/04/20,16,0,0.0,1,0,0,0
14,02/05/20,19,0,0.0,3,0,0,0
15,02/06/20,23,0,0.0,4,0,0,0
16,02/07/20,24,0,1.0,1,0,1,1
17,02/08/20,24,0,1.0,0,0,0,0
18,02/09/20,25,0,3.0,1,0,2,2
19,02/10/20,27,0,3.0,2,0,0,0
20,02/11/20,28,0,3.0,1,0,0,0
21,02/12/20,28,0,7.0,0,0,4,4
22,02/13/20,28,0,7.0,0,0,0,0
23,02/14/20,28,0,7.0,0,0,0,0
24,02/15/20,28,0,9.0,0,0,2,2
25,02/16/20,29,0,9.0,1,0,0,0
26,02/17/20,30,0,10.0,1,0,1,1
27,02/18/20,31,0,12.0,1,0,2,2
28,02/19/20,31,0,12.0,0,0,0,0
29,02/20/20,104,1,16.0,73,1,4,5
30,02/21/20,204,2,16.0,100,1,0,1
31,02/22/20,433,2,16.0,229,0,0,0
32,02/23/20,602,6,18.0,169,4,2,6
33,02/24/20,833,8,18.0,231,2,0,2
34,02/25/20,977,10,22.0,144,2,4,6
35,02/26/20,1261,12,22.0,284,2,0,2
36,02/27/20,1766,13,22.0,505,1,0,1
37,02/28/20,2337,13,22.0,571,0,0,0
38,02/29/20,3150,16,27.0,813,3,5,8
39,03/01/20,3736,17,30.0,586,1,3,4
40,03/02/20,4335,28,30.0,599,11,0,11
41,03/03/20,5186,28,30.0,851,0,0,0
42,03/04/20,5621,35,41.0,435,7,11,18
43,03/05/20,6088,35,41.0,467,0,0,0
44,03/06/20,6593,42,135.0,505,7,94,101
45,03/07/20,7041,44,135.0,448,2,0,2
46,03/08/20,7314,50,,273,6,0,-11
47,03/09/20,7478,53,135.0,164,3,0,3
48,03/10/20,7513,54,247.0,35,1,112,130
49,03/11/20,7755,60,288.0,242,6,41,47
50,03/12/20,7869,66,333.0,114,6,45,51
51,03/13/20,7979,66,510.0,110,0,177,177
52,03/14/20,8086,72,510.0,107,6,0,6
53,03/15/20,8162,75,510.0,76,3,0,3
54,03/16/20,8236,75,1137.0,74,0,627,627
55,03/17/20,8320,81,1407.0,84,6,270,276
56,03/18/20,8413,84,1540.0,93,3,133,136
57,03/19/20,8565,91,1540.0,152,7,0,7
58,03/20/20,8652,94,1540.0,87,3,0,3
59,03/21/20,8799,102,1540.0,147,8,0,8
60,03/22/20,8961,111,2909.0,162,9,1369,1378
61,03/23/20,8961,111,2909.0,0,0,0,0
62,03/24/20,9037,120,3507.0,76,9,598,607
63,03/25/20,9137,126,3730.0,100,6,223,229
64,03/26/20,9241,131,4144.0,104,5,414,419
65,03/27/20,9332,139,4528.0,91,8,384,392
66,03/28/20,9478,144,4811.0,146,5,283,288
67,03/29/20,9583,152,5033.0,105,8,222,230
68,03/30/20,9661,158,5228.0,78,6,195,201
69,03/31/20,9786,162,5408.0,125,4,180,184
70,04/01/20,9887,165,5567.0,101,3,159,162
71,04/02/20,9976,169,5828.0,89,4,261,265
72,04/03/20,10062,174,6021.0,86,5,193,198
73,04/04/20,10156,177,6325.0,94,3,304,307
74,04/05/20,10237,183,6463.0,81,6,138,144
75,04/06/20,10284,186,6598.0,47,3,135,138
76,04/07/20,10331,192,6694.0,47,6,96,102
77,04/08/20,10384,200,6776.0,53,8,82,90
78,04/09/20,10423,204,6973.0,39,4,197,201
79,04/10/20,10450,208,7117.0,27,4,144,148
80,04/11/20,10480,211,7243.0,30,3,126,129
81,04/12/20,10512,214,7368.0,32,3,125,128
82,04/13/20,10537,217,7447.0,25,3,79,82
83,04/14/20,10564,222,7534.0,27,5,87,92
84,04/15/20,10591,225,7616.0,27,3,82,85
85,04/16/20,10613,229,7757.0,22,4,141,145
86,04/17/20,10635,230,7829.0,22,1,72,73
87,04/18/20,10653,232,7937.0,18,2,108,110
88,04/19/20,10661,234,8042.0,8,2,105,107
89,04/20/20,10674,236,8114.0,13,2,72,74
90,04/21/20,10683,237,8213.0,9,1,99,100
91,04/22/20,10694,238,8277.0,11,1,64,65
92,04/23/20,10708,240,8501.0,14,2,224,226
93,04/24/20,10718,240,8635.0,10,0,134,134
94,04/25/20,10728,242,8717.0,10,2,82,84
95,04/26/20,10738,243,8764.0,10,1,47,48
