dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
01/22/20,0,0,0,0,0,0,0
01/23/20,0,0,0,0,0,0,0
01/24/20,0,0,0,0,0,0,0
01/25/20,0,0,0,0,0,0,0
01/26/20,0,0,0,0,0,0,0
01/27/20,0,0,0,0,0,0,0
01/28/20,0,0,0,0,0,0,0
01/29/20,0,0,0,0,0,0,0
01/30/20,0,0,0,0,0,0,0
01/31/20,0,0,0,0,0,0,0
02/01/20,0,0,0,0,0,0,0
02/02/20,0,0,0,0,0,0,0
02/03/20,0,0,0,0,0,0,0
02/04/20,0,0,0,0,0,0,0
02/05/20,0,0,0,0,0,0,0
02/06/20,0,0,0,0,0,0,0
02/07/20,0,0,0,0,0,0,0
02/08/20,0,0,0,0,0,0,0
02/09/20,0,0,0,0,0,0,0
02/10/20,0,0,0,0,0,0,0
02/11/20,0,0,0,0,0,0,0
02/12/20,0,0,0,0,0,0,0
02/13/20,0,0,0,0,0,0,0
02/14/20,0,0,0,0,0,0,0
02/15/20,0,0,0,0,0,0,0
02/16/20,0,0,0,0,0,0,0
02/17/20,0,0,0,0,0,0,0
02/18/20,0,0,0,0,0,0,0
02/19/20,0,0,0,0,0,0,0
02/20/20,0,0,0,0,0,0,0
02/21/20,0,0,0,0,0,0,0
02/22/20,0,0,0,0,0,0,0
02/23/20,0,0,0,0,0,0,0
02/24/20,0,0,0,0,0,0,0
02/25/20,0,0,0,0,0,0,0
02/26/20,0,0,0,0,0,0,0
02/27/20,0,0,0,0,0,0,0
02/28/20,0,0,0,0,0,0,0
02/29/20,0,0,0,0,0,0,0
03/01/20,0,0,0,0,0,0,0
03/02/20,1,0,0,1,0,0,0
03/03/20,1,0,0,0,0,0,0
03/04/20,1,0,0,0,0,0,0
03/05/20,1,0,0,0,0,0,0
03/06/20,1,0,0,0,0,0,0
03/07/20,1,0,0,0,0,0,0
03/08/20,2,0,0,1,0,0,0
03/09/20,6,0,0,4,0,0,0
03/10/20,8,0,1,2,0,1,1
03/11/20,10,0,1,2,0,0,0
03/12/20,10,0,1,0,0,0,0
03/13/20,17,0,1,7,0,0,0
03/14/20,26,0,1,9,0,0,0
03/15/20,30,0,1,4,0,0,0
03/16/20,34,0,1,4,0,0,0
03/17/20,49,0,1,15,0,0,0
03/18/20,71,0,1,22,0,0,0
03/19/20,86,0,1,15,0,0,0
03/20/20,111,0,1,25,0,0,0
03/21/20,124,0,1,13,0,0,0
03/22/20,139,0,1,15,0,0,0
03/23/20,180,0,1,41,0,0,0
03/24/20,197,0,1,17,0,0,0
03/25/20,221,0,1,24,0,0,0
03/26/20,244,0,1,23,0,0,0
03/27/20,280,0,1,36,0,0,0
03/28/20,305,0,1,25,0,0,0
03/29/20,347,0,1,42,0,0,0
03/30/20,376,0,1,29,0,0,0
03/31/20,398,0,1,22,0,0,0
04/01/20,446,0,1,48,0,0,0
04/02/20,458,0,31,12,0,30,30
04/03/20,493,1,1,35,1,-30,-29
04/04/20,509,1,1,16,0,0,0
04/05/20,533,1,1,24,0,0,0
04/06/20,542,1,16,9,0,15,15
04/07/20,548,2,16,6,1,0,1
04/08/20,577,2,16,29,0,0,0
04/09/20,589,3,16,12,1,0,1
04/10/20,612,3,16,23,0,0,0
04/11/20,630,3,16,18,0,0,0
04/12/20,651,5,16,21,2,0,2
04/13/20,655,5,16,4,0,0,0
04/14/20,657,5,16,2,0,0,0
04/15/20,666,5,44,9,0,28,28
04/16/20,675,5,57,9,0,13,13
04/17/20,682,5,88,7,0,31,31
04/18/20,712,5,88,30,0,0,0
04/19/20,727,5,88,15,0,0,0
04/20/20,739,5,88,12,0,0,0
04/21/20,748,9,133,9,4,45,49
04/22/20,761,11,133,13,2,0,2
04/23/20,778,11,133,17,0,0,0
04/24/20,784,12,267,6,1,134,135
04/25/20,804,12,267,20,0,0,0
04/26/20,812,12,267,8,0,0,0
04/27/20,818,13,267,6,1,0,1
