dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
01/22/20,0,0,0,0,0,0,0
01/23/20,0,0,0,0,0,0,0
01/24/20,0,0,0,0,0,0,0
01/25/20,3,0,0,3,0,0,0
01/26/20,4,0,0,1,0,0,0
01/27/20,4,0,0,0,0,0,0
01/28/20,4,0,0,0,0,0,0
01/29/20,7,0,0,3,0,0,0
01/30/20,8,0,0,1,0,0,0
01/31/20,8,0,0,0,0,0,0
02/01/20,8,0,0,0,0,0,0
02/02/20,8,0,0,0,0,0,0
02/03/20,8,0,0,0,0,0,0
02/04/20,10,0,0,2,0,0,0
02/05/20,12,0,0,2,0,0,0
02/06/20,12,0,0,0,0,0,0
02/07/20,12,0,1,0,0,1,1
02/08/20,16,0,1,4,0,0,0
02/09/20,16,0,1,0,0,0,0
02/10/20,18,0,1,2,0,0,0
02/11/20,18,0,3,0,0,2,2
02/12/20,18,0,3,0,0,0,0
02/13/20,19,0,3,1,0,0,0
02/14/20,19,0,3,0,0,0,0
02/15/20,22,0,7,3,0,4,4
02/16/20,22,0,7,0,0,0,0
02/17/20,22,0,7,0,0,0,0
02/18/20,22,0,13,0,0,6,6
02/19/20,22,0,15,0,0,2,2
02/20/20,22,0,15,0,0,0,0
02/21/20,22,0,15,0,0,0,0
02/22/20,22,0,15,0,0,0,0
02/23/20,22,0,15,0,0,0,0
02/24/20,22,0,18,0,0,3,3
02/25/20,22,0,18,0,0,0,0
02/26/20,22,0,18,0,0,0,0
02/27/20,23,0,18,1,0,0,0
02/28/20,23,0,18,0,0,0,0
02/29/20,25,0,18,2,0,0,0
03/01/20,29,0,18,4,0,0,0
03/02/20,29,0,18,0,0,0,0
03/03/20,36,0,22,7,0,4,4
03/04/20,50,0,22,14,0,0,0
03/05/20,50,0,22,0,0,0,0
03/06/20,83,0,22,33,0,0,0
03/07/20,93,0,23,10,0,1,1
03/08/20,99,0,24,6,0,1,1
03/09/20,117,0,24,18,0,0,0
03/10/20,129,0,24,12,0,0,0
03/11/20,149,0,26,20,0,2,2
03/12/20,149,0,26,0,0,0,0
03/13/20,197,0,26,48,0,0,0
03/14/20,238,0,35,41,0,9,9
03/15/20,428,0,42,190,0,7,7
03/16/20,566,0,42,138,0,0,0
03/17/20,673,2,49,107,2,7,9
03/18/20,790,2,60,117,0,11,11
03/19/20,900,2,75,110,0,15,15
03/20/20,1030,3,87,130,1,12,13
03/21/20,1183,4,114,153,1,27,28
03/22/20,1306,10,139,123,6,25,31
03/23/20,1518,14,139,212,4,0,4
03/24/20,1624,16,183,106,2,44,46
03/25/20,1796,20,199,172,4,16,20
03/26/20,2031,23,215,235,3,16,19
03/27/20,2161,26,259,130,3,44,47
03/28/20,2320,27,320,159,1,61,62
03/29/20,2470,35,388,150,8,68,76
03/30/20,2626,37,479,156,2,91,93
03/31/20,2766,43,537,140,6,58,64
04/01/20,2908,45,645,142,2,108,110
04/02/20,3116,50,767,208,5,122,127
04/03/20,3333,53,827,217,3,60,63
04/04/20,3483,57,915,150,4,88,92
04/05/20,3662,61,1005,179,4,90,94
04/06/20,3793,62,1241,131,1,236,237
04/07/20,3963,63,1321,170,1,80,81
04/08/20,4119,65,1487,156,2,166,168
04/09/20,4228,67,1608,109,2,121,123
04/10/20,4346,70,1830,118,3,222,225
04/11/20,4530,73,1995,184,3,165,168
04/12/20,4683,76,2108,153,3,113,116
04/13/20,4817,77,2276,134,1,168,169
04/14/20,4987,82,2478,170,5,202,207
04/15/20,5072,83,2647,85,1,169,170
04/16/20,5182,84,2766,110,1,119,120
04/17/20,5251,86,2967,69,2,201,203
04/18/20,5305,88,3102,54,2,135,137
04/19/20,5389,89,3197,84,1,95,96
04/20/20,5425,89,3295,36,0,98,98
04/21/20,5482,92,3349,57,3,54,57
04/22/20,5532,93,3452,50,1,103,104
04/23/20,5603,95,3542,71,2,90,92
04/24/20,5691,96,3663,88,1,121,122
04/25/20,5742,98,3762,51,2,99,101
04/26/20,5780,98,3862,38,0,100,100
04/27/20,5820,99,3957,40,1,95,96
