dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
01/22/20,0,0,0,0,0,0,0
01/23/20,0,0,0,0,0,0,0
01/24/20,0,0,0,0,0,0,0
01/25/20,0,0,0,0,0,0,0
01/26/20,0,0,0,0,0,0,0
01/27/20,0,0,0,0,0,0,0
01/28/20,0,0,0,0,0,0,0
01/29/20,0,0,0,0,0,0,0
01/30/20,0,0,0,0,0,0,0
01/31/20,0,0,0,0,0,0,0
02/01/20,0,0,0,0,0,0,0
02/02/20,0,0,0,0,0,0,0
02/03/20,0,0,0,0,0,0,0
02/04/20,0,0,0,0,0,0,0
02/05/20,0,0,0,0,0,0,0
02/06/20,0,0,0,0,0,0,0
02/07/20,0,0,0,0,0,0,0
02/08/20,0,0,0,0,0,0,0
02/09/20,0,0,0,0,0,0,0
02/10/20,0,0,0,0,0,0,0
02/11/20,0,0,0,0,0,0,0
02/12/20,0,0,0,0,0,0,0
02/13/20,0,0,0,0,0,0,0
02/14/20,0,0,0,0,0,0,0
02/15/20,0,0,0,0,0,0,0
02/16/20,0,0,0,0,0,0,0
02/17/20,0,0,0,0,0,0,0
02/18/20,0,0,0,0,0,0,0
02/19/20,0,0,0,0,0,0,0
02/20/20,0,0,0,0,0,0,0
02/21/20,0,0,0,0,0,0,0
02/22/20,0,0,0,0,0,0,0
02/23/20,0,0,0,0,0,0,0
02/24/20,0,0,0,0,0,0,0
02/25/20,0,0,0,0,0,0,0
02/26/20,0,0,0,0,0,0,0
02/27/20,0,0,0,0,0,0,0
02/28/20,0,0,0,0,0,0,0
02/29/20,0,0,0,0,0,0,0
03/01/20,0,0,0,0,0,0,0
03/02/20,0,0,0,0,0,0,0
03/03/20,0,0,0,0,0,0,0
03/04/20,0,0,0,0,0,0,0
03/05/20,0,0,0,0,0,0,0
03/06/20,0,0,0,0,0,0,0
03/07/20,3,0,0,3,0,0,0
03/08/20,3,0,0,0,0,0,0
03/09/20,3,0,0,0,0,0,0
03/10/20,5,0,0,2,0,0,0
03/11/20,6,0,0,1,0,0,0
03/12/20,6,0,0,0,0,0,0
03/13/20,12,0,1,6,0,1,1
03/14/20,18,0,1,6,0,0,0
03/15/20,21,0,1,3,0,0,0
03/16/20,30,0,2,9,0,1,1
03/17/20,38,0,2,8,0,0,0
03/18/20,38,0,2,0,0,0,0
03/19/20,53,0,2,15,0,0,0
03/20/20,64,0,2,11,0,0,0
03/21/20,73,0,2,9,0,0,0
03/22/20,90,0,2,17,0,0,0
03/23/20,107,0,2,17,0,0,0
03/24/20,110,0,2,3,0,0,0
03/25/20,129,0,2,19,0,0,0
03/26/20,134,0,2,5,0,0,0
03/27/20,139,0,2,5,0,0,0
03/28/20,149,0,2,10,0,0,0
03/29/20,151,0,2,2,0,0,0
03/30/20,156,0,2,5,0,0,0
03/31/20,169,0,2,13,0,0,0
04/01/20,188,0,2,19,0,0,0
04/02/20,196,0,2,8,0,0,0
04/03/20,202,0,2,6,0,0,0
04/04/20,213,0,2,11,0,0,0
04/05/20,227,0,5,14,0,3,3
04/06/20,241,0,5,14,0,0,0
04/07/20,293,0,5,52,0,0,0
04/08/20,299,1,16,6,1,11,12
04/09/20,337,2,16,38,1,0,1
04/10/20,350,2,16,13,0,0,0
04/11/20,370,3,16,20,1,0,1
04/12/20,378,3,44,8,0,28,28
04/13/20,384,3,44,6,0,0,0
04/14/20,393,3,44,9,0,0,0
04/15/20,399,3,44,6,0,0,0
04/16/20,412,3,82,13,0,38,38
04/17/20,422,3,91,10,0,9,9
04/18/20,426,3,99,4,0,8,8
04/19/20,427,3,118,1,0,19,19
04/20/20,431,3,126,4,0,8,8
04/21/20,443,3,150,12,0,24,24
04/22/20,444,3,165,1,0,15,15
04/23/20,445,3,204,1,0,39,39
04/24/20,447,3,223,2,0,19,19
04/25/20,448,4,249,1,1,26,27
04/26/20,448,4,282,0,0,33,33
04/27/20,450,4,286,2,0,4,4
