dates2,cum_cases,cum_deaths,cum_recover,new_cases,new_deaths,new_recover,new_uninfected
01/22/20,0,0,0,0,0,0,0
01/23/20,0,0,0,0,0,0,0
01/24/20,0,0,0,0,0,0,0
01/25/20,0,0,0,0,0,0,0
01/26/20,0,0,0,0,0,0,0
01/27/20,0,0,0,0,0,0,0
01/28/20,0,0,0,0,0,0,0
01/29/20,0,0,0,0,0,0,0
01/30/20,0,0,0,0,0,0,0
01/31/20,0,0,0,0,0,0,0
02/01/20,0,0,0,0,0,0,0
02/02/20,0,0,0,0,0,0,0
02/03/20,0,0,0,0,0,0,0
02/04/20,0,0,0,0,0,0,0
02/05/20,0,0,0,0,0,0,0
02/06/20,0,0,0,0,0,0,0
02/07/20,0,0,0,0,0,0,0
02/08/20,0,0,0,0,0,0,0
02/09/20,0,0,0,0,0,0,0
02/10/20,0,0,0,0,0,0,0
02/11/20,0,0,0,0,0,0,0
02/12/20,0,0,0,0,0,0,0
02/13/20,0,0,0,0,0,0,0
02/14/20,0,0,0,0,0,0,0
02/15/20,0,0,0,0,0,0,0
02/16/20,0,0,0,0,0,0,0
02/17/20,0,0,0,0,0,0,0
02/18/20,0,0,0,0,0,0,0
02/19/20,0,0,0,0,0,0,0
02/20/20,0,0,0,0,0,0,0
02/21/20,0,0,0,0,0,0,0
02/22/20,0,0,0,0,0,0,0
02/23/20,0,0,0,0,0,0,0
02/24/20,0,0,0,0,0,0,0
02/25/20,0,0,0,0,0,0,0
02/26/20,0,0,0,0,0,0,0
02/27/20,0,0,0,0,0,0,0
02/28/20,0,0,0,0,0,0,0
02/29/20,0,0,0,0,0,0,0
03/01/20,0,0,0,0,0,0,0
03/02/20,0,0,0,0,0,0,0
03/03/20,0,0,0,0,0,0,0
03/04/20,0,0,0,0,0,0,0
03/05/20,0,0,0,0,0,0,0
03/06/20,0,0,0,0,0,0,0
03/07/20,0,0,0,0,0,0,0
03/08/20,0,0,0,0,0,0,0
03/09/20,0,0,0,0,0,0,0
03/10/20,0,0,0,0,0,0,0
03/11/20,0,0,0,0,0,0,0
03/12/20,0,0,0,0,0,0,0
03/13/20,0,0,0,0,0,0,0
03/14/20,0,0,0,0,0,0,0
03/15/20,0,0,0,0,0,0,0
03/16/20,0,0,0,0,0,0,0
03/17/20,0,0,0,0,0,0,0
03/18/20,3,0,0,3,0,0,0
03/19/20,3,0,0,0,0,0,0
03/20/20,12,0,0,9,0,0,0
03/21/20,14,1,0,2,1,0,1
03/22/20,28,2,0,14,1,0,1
03/23/20,36,2,0,8,0,0,0
03/24/20,42,2,0,6,0,0,0
03/25/20,48,2,0,6,0,0,0
03/26/20,81,2,0,33,0,0,0
03/27/20,94,2,0,13,0,0,0
03/28/20,102,2,0,8,0,0,0
03/29/20,107,3,0,5,1,0,1
03/30/20,128,3,0,21,0,0,0
03/31/20,143,5,0,15,2,0,2
04/01/20,161,6,0,18,1,0,1
04/02/20,169,7,0,8,1,0,1
04/03/20,186,7,0,17,0,0,0
04/04/20,196,7,7,10,0,7,7
04/05/20,227,7,7,31,0,0,0
04/06/20,244,7,7,17,0,0,0
04/07/20,268,7,8,24,0,1,1
04/08/20,273,7,19,5,0,11,11
04/09/20,314,7,23,41,0,4,4
04/10/20,318,9,23,4,2,0,2
04/11/20,319,9,28,1,0,5,5
04/12/20,324,9,42,5,0,14,14
04/13/20,324,9,42,0,0,0,0
04/14/20,324,9,51,0,0,9,9
04/15/20,324,9,65,0,0,14,14
04/16/20,324,9,81,0,0,16,16
04/17/20,324,9,108,0,0,27,27
04/18/20,325,9,180,1,0,72,72
04/19/20,328,9,208,3,0,28,28
04/20/20,328,9,224,0,0,16,16
04/21/20,328,9,243,0,0,19,19
04/22/20,329,9,261,1,0,18,18
04/23/20,331,9,266,2,0,5,5
04/24/20,331,9,285,0,0,19,19
04/25/20,331,9,295,0,0,10,10
04/26/20,332,9,299,1,0,4,4
04/27/20,334,10,302,2,1,3,4
